alternatywny	alternatywa
obyty	obycie
rozważny	rozwaga
zabiegliwy	zabieganie
zakochany	zakochanie
zapalczywy	zapał
zdesperowany	desperacja
znerwicowany	nerwica
zgodliwy	zgoda
satyryczny	satyra
chmurny	chmura
niechętny	niechęć
niechętny	niechęć
nienawistny	nienawiść
nienawistny	nienawiść
zamyślony	zamyślenie
zamyślony	zamyślenie
osłupiały	osłupienie
osłupiały	osłupienie
otępiały	otępienie
płomienny	płomień
płomienny	płomień
skruszony	skrucha
skruszony	skrucha
tęskny	tęsknota
trwożliwy	trwoga
uważny	uwaga
wzgardliwy	wzgarda
zadumany	zaduma
zadumany	zaduma
zawistny	zawiść
zbaraniały	zbaranienie
głodny	głód
obrotowy	obrót
pacholęcy	pacholę
czteroklasowy	klasa
czteroklasowy	klasa
dwuklasowy	klasa
dwuklasowy	klasa
czteroklasowy	klasa
jednoklasowy	klasa
koedukacyjny	koedukacja
ośmioklasowy	klasa
policealny	liceum
pomaturalny	matura
trzyklasowy	klasa
trzyklasowy	klasa
sześcioklasowy	klasa
sześcioklasowy	klasa
siedmioklasowy	klasa
siedmioklasowy	klasa
anglojęzyczny	język
anglojęzyczny	język
francuskojęzyczny	język
francuskojęzyczny	język
francuskojęzyczny	język
hiszpańskojęzyczny	język
hiszpańskojęzyczny	język
hiszpańskojęzyczny	język
niemieckojęzyczny	język
niemieckojęzyczny	język
niemieckojęzyczny	język
śródziemnomorski	Morze Śródziemne
pierścienny	pierścień
samoobsługowy	samoobsługa
wyładunkowy	wyładunek
załadunkowy	załadunek
cebulkowy	cebulka
dwulistny	liść
heterotroficzny	heterotrofia
oleisty	olej
strączkowy	strączek
wielkolistny	liść
porowaty	por
wypoczynkowy	wypoczynek
smrodliwy	smród
wilgotny	wilgoć
wilgotny	wilgoć
groźny	groza
mroczny	mrok
faryzejski	faryzeizm
faryzeuszowski	faryzeuszostwo
reformistyczny	reformizm
opozycyjny	opozycja
liberalny	liberalizm
aryjski	aryjskość
dwustuletni	lata
gwiezdny	gwiazda
podjazdowy	podjazdy
agresywny	agresja
analogiczny	analogia
dwuipółletni	lata
wegetacyjny	wegetacja
dwunawowy	nawa
jednonawowy	nawa
trójnawowy	nawa
trzynawowy	nawa
bulwiasty	bulwa
laskonogi	noga
autorytarny	autorytaryzm
piszczałkowy	piszczałka
konsultacyjny	konsultacja
kwietni	kwiat
kwietni	kwiat
altruistyczny	altruizm
oportunistyczny	oportunizm
iglasty	igła
liściasty	liść
olszynowy	olszyna
zaroślowy	zarośla
tropikalny	tropik
stumilowy	mila
krzyżowy	krzyż
sześcienny	sześcian
drobnomieszczański	drobnomieszczaństwo
mafijny	mafia
ziemiański	ziemiaństwo
klęskowy	klęska
niskoprocentowy	procent
ratalny	rata
bosonogi	noga
czternastoletni	lata
dwunastoletni	lata
dziewiętnastoletni	lata
osiemnastoletni	lata
piętnastoletni	lata
szesnastoletni	lata
uprzedzony	uprzedzenie
grzbiecisty	grzbiet
miękkopodniebienny	podniebienie miękkie
liściowy	liść
listkowy	listek
ogonkowy	ogonek
palczasty	palec
pierzasty	pióro
pierzasty	pióro
eksploracyjny	eksploracja
laboratoryjny	laboratorium
magnetyczny	magnetyzm
siłowy	siła
złotodajny	złoto
złotonośny	złoto
drobnolistny	liść
izolacyjny	izolacja
refleksyjny	refleksja
refleksyjny	refleksja
kreskowy	kreska
sylabiczny	sylabizm
omnipotentny	omnipotencja
paternalistyczny	paternalizm
teokratyczny	teokracja
karo	karo
karo	karo
karowy	karo
karowy	karo
tłoczny	tłok
tłoczny	tłok
antagonistyczny	antagonizm
brodawkowaty	brodawka
grzebieniasty	grzebień
nawrotny	nawrót
niedokrwiony	niedokrwienie
prążkowany	prążek
węźlasty	węzeł
gruzłowaty	gruzeł
zębaty	ząb
zębaty	ząb
higieniczny	higiena
autystyczny	autyzm
dyslektyczny	dysleksja
kilkoletni	lata
niedorozwinięty	niedorozwój
skrofuliczny	skrofuły
skrofuliczny	skrofuloza
upośledzony	upośledzenie
błotny	błoto
gniewliwy	gniew
grzeszny	grzech
indyferentny	indyferentyzm
potężny	potęga
mocny	moc
egzaltowany	egzaltacja
symboliczny	symbol
polski	Polak
polski	Polska
dysharmoniczny	dysharmonia
nieuważny	nieuwaga
pesymistyczny	pesymizm
optymistyczny	optymizm
precyzyjny	precyzja
reaktywny	reakcja
sugestywny	sugestia
sugestywny	sugestia
weekendowy	weekend
winny	wino
winny	wino
żywy	życie
chłodny	chłód
ciepły	ciepło
unaczyniony	naczynie
ukrwiony	krew
chętny	chęć
wdzięczny	wdzięk
korzystny	korzyść
niszowy	nisza
pryszczaty	pryszcz
pyzaty	pyza
wariacyjny	wariacja
widłowy	widły
wieloetapowy	etap
wielofazowy	faza
wielofazowy	faza
wielofazowy	faza
wielofazowy	faza
wariacyjny	wariactwo
piątkowy	piątka
trójwymiarowy	trójwymiar
wąskotorowy	tor
szerokopasmowy	pasmo
markowy	marka
krzykliwy	krzyk
wrzaskliwy	wrzask
długookresowy	okres
wielozadaniowy	zadanie
stereotypowy	stereotyp
kilometrowy	kilometr
prototypowy	prototyp
dwuspadowy	spad
osiowy	oś
osiowy	oś
krótkookresowy	okres
dwucyfrowy	cyfra
białogłowy	głowa
III-ligowy	liga
średniookresowy	okres
niskopodłogowy	podłoga
wielobranżowy	branża
kilometrowy	kilometr
tonowy	tona
pierścieniowy	pierścień
normalnotorowy	tor
dwupłytowy	płyta
dwupłytowy	płyta
jarzeniowy	jarzenie
modułowy	moduł
sześcioosobowy	osoba
siedmioosobowy	osoba
kilkunastoosobowy	osoba
podstępny	podstęp
perswazyjny	perswazja
restryktywny	restrykcja
restrykcyjny	restrykcja
wietrzny	wiatr
bożonarodzeniowy	Boże Narodzenie
jadowity	jad
rozrywkowy	rozrywka
dydaktyczny	dydaktyzm
pajdocentryczny	pajdocentryzm
parlamentarny	parlament
rekrucki	rekrut
szarlatański	szarlatan
białogłowy	białogłowa
chrześcijański	chrześcijaństwo
cienkościenny	ściana
cienkościenny	ściana
dwuizbowy	izba
dwupłytowy	płyta
dwuprzęsłowy	przęsło
dwuprzęsłowy	przęsło
dwuosiowy	oś
osiowy	oś
dwuosiowy	oś
jednoizbowy	izba
wielonasienny	nasienie
jednoprzęsłowy	przęsło
jednoaspektowy	aspekt
ludzki	ludzie
polskojęzyczny	język
wąskopasmowy	pasmo
średnionakładowy	nakład
ubecki	UB
ubecki	ubek
fachowy	fachowiec
borelowski	zbiór borelowski
nawojowy	nawój
klownowski	klown
klaunowski	klaun
grupowy	grupa
neandertalski	neandertalczyk
newtonowski	Newton
koalicyjny	koalicja
zboczony	zboczenie
legalistyczny	legalizm
młodzieńczy	młodzieniec
całodobowy	doba
ascetyczny	asceza
hellenistyczny	hellenizm
konfucjański	konfucjanizm
medytacyjny	medytacja
tybetański	Tybet
cygański	Cygan
dziękczynny	dziękczynienie
noworoczny	Nowy Rok
odpustowy	odpust
pielgrzymkowy	pielgrzymka
ekspresywny	ekspresja
fleksyjny	fleksja
bełkotliwy	bełkot
wąsaty	wąsy
wąsaty	wąsy
wąsaty	wąsy
jezuicki	jezuita
jezuicki	jezuita
zabawowy	zabawa
powinowaty	powinowactwo
powinowaty	powinowactwo chemiczne
nieparzystokopytny	nieparzystokopytne
żagnicowaty	żagnicowate
ramowy	rama
pęcherzykowaty	pęcherzyk
samiczy	samica
samczy	samiec
stonkowaty	stonka
samorządny	samorząd
poważny	powaga
poważny	powaga
płatowaty	płat
natchniony	natchnienie
natchniony	natchnienie
pręgowaty	pręga
ambitny	ambicja
miłosierny	miłosierdzie
oporny	opór
cycaty	cyc
kobiecy	kobieta
stopowy	stopa
cyceroniański	Cyceron
żywiczny	żywica
preriowy	preria
pręgowany	pręga
cętkowany	cętka
rogaty	rogi
magnetyczny	magnetyzm
parchaty	parch
kołowaty	kołowacizna
lemowski	Lem
pejsaty	pejs
wyścigowy	wyścig
parszywy	parch
uszaty	ucho
hodowlany	hodowla
zaprzęgowy	zaprzęg
starokawalerski	stary kawaler
białogłowski	białogłowa
długorogi	róg
szparowaty	szpara
dizajnerski	dizajn
designerski	design
liszajowaty	liszaj
ognisty	ogień
ognisty	ogień
wirtuozerski	wirtuozeria
rusałkowaty	rusałka
goryczkowaty	goryczka
defiladowy	defilada
wirtuozerski	wirtuozeria
dwuzgłoskowy	zgłoska
żyłkowaty	żyłka
żyłkowaty	żyłka
arcypoważny	powaga
arcypoważny	powaga
arcypoważny	powaga
arcypoważny	powaga
arcypoważny	powaga
sportowy	sport
eksploratorski	eksploracja
epigoński	epigonizm
wargowy	warga
zębowy	ząb
karboksylowy	karboksyl
srebronośny	srebro
fluktuacyjny	fluktuacja
języczkowy	języczek
ażurowy	ażur
drobnokrystaliczny	kryształ
szalbierski	szalbierstwo
tureckojęzyczny	język
szwedzkojęzyczny	język
cekinowy	cekin
trzymilowy	mila
szczęśliwy	szczęście
cholesterolowy	cholesterol
kilkukilometrowy	kilometr
dwudziestominutowy	minuta
dwukilometrowy	kilometr
kilkudziesięciometrowy	metr
kilkunastometrowy	metr
parokilometrowy	kilometr
pięciometrowy	metr
półkilometrowy	kilometr
półtorametrowy	metr
stukilometrowy	kilometr
stumetrowy	metr
czterozaworowy	zawór
dwuśrubowy	śruba
siwogłowy	głowa
wielonożny	noga
żółtooki	oko
innojęzyczny	język
wielodostępny	dostęp
wieloprocesorowy	procesor
żyłkowany	żyłka
żyłkowany	żyłka
żyłkowany	żyłka
żyłkowany	żyłka
modalny	modus
nepotyczny	nepotyzm
straganiarski	stragan
defektywny	defekt
dysfunkcyjny	dysfunkcja
wąskoprofilowy	profil
wąskoprofilowy	profil
izomorficzny	izomorfizm
izomorficzny	izomorfizm
izomorficzny	izomorfizm
izomorficzny	izomorfizm
trzypokoleniowy	pokolenie
łuseczkowaty	łuseczka
hucpiarski	hucpa
hucpiarski	hucpiarz
stagnacyjny	stagnacja
klerkowski	klerkizm
młoteczkowy	młoteczek
konspiratorski	konspirator
strunowy	struna
stroikowy	stroik
dekoracyjny	dekoracja
ustnikowy	ustnik
dehumanizacyjny	dehumanizacja
hipermedialny	hipermedia
afirmacyjny	afirmacja
erotomański	erotoman
cebulowy	cebula
eskapistyczny	eskapizm
wallenrodyczny	wallenrodyzm
walenrodyczny	walenrodyzm
olsowy	ols
dwudziestodwuletni	lata
jasnowłosy	włosy
efektowny	efekt
fantazyjny	fantazja
wielozdaniowy	zdanie
czteropunktowy	punkt
kilkupunktowy	punkt
dwudziestopunktowy	punkt
dziesięciopunktowy	punkt
ośmiopunktowy	punkt
siedmiopunktowy	punkt
trzypunktowy	punkt
wielopunktowy	punkt
sześciocyfrowy	cyfra
dwubramkowy	bramka
dziesięcioprocentowy	procent
jednoprocentowy	procent
androginiczny	androginia
androginiczny	androginia
androgyniczny	androgynia
androgyniczny	androgynia
androginiczny	androginia
androgyniczny	androgynia
androginiczny	androginia
androgyniczny	androgynia
łachmaniarski	łachmaniarz
długogłowy	głowa
małpokształtny	kształt
kondygnacyjny	kondygnacja
trzykondygnacyjny	kondygnacja
czterokondygnacyjny	kondygnacja
pięciotonowy	tona
trzydziestokilogramowy	kilogram
czternastoosobowy	osoba
jedenastoosobowy	osoba
penicylinowy	penicylina
taninowy	tanina
szesnastozaworowy	zawór
futerkowy	futerko
futrzany	futro
samoświadomy	samoświadomość
superinteligentny	inteligencja
dwuhektarowy	hektar
jednohektarowy	hektar
kilkunastohektarowy	hektar
kilkusethektarowy	hektar
pięciohektarowy	hektar
półhektarowy	hektar
półtorahektarowy	hektar
stuhektarowy	hektar
tysiąchektarowy	hektar
wielohektarowy	hektar
morgowy	morga
metrowy	metr
ćwierćmetrowy	metr
czterometrowy	metr
sześciometrowy	metr
siedmiometrowy	metr
ośmiometrowy	metr
dziewięciometrowy	metr
dziesięciometrowy	metr
jedenastometrowy	metr
dwunastometrowy	metr
trzynastometrowy	metr
czternastometrowy	metr
piętnastometrowy	metr
szesnastometrowy	metr
siedemnastometrowy	metr
osiemnastometrowy	metr
dziewiętnastometrowy	metr
dwudziestometrowy	metr
trzydziestometrowy	metr
czterdziestometrowy	metr
pięćdziesięciometrowy	metr
sześćdziesięciometrowy	metr
siedemdziesięciometrowy	metr
osiemdziesięciometrowy	metr
dziewięćdziesięciometrowy	metr
kilkusetmetrowy	metr
dwustumetrowy	metr
trzystumetrowy	metr
czterystumetrowy	metr
pięćsetmetrowy	metr
sześćsetmetrowy	metr
siedemsetmetrowy	metr
krzywiczy	krzywica
siedmiusetmetrowy	metr
trzystametrowy	metr
sześciusetmetrowy	metr
ośmiusetmetrowy	metr
osiemsetmetrowy	metr
dziewięćsetmetrowy	metr
tysiącmetrowy	metr
kilkumetrowy	metr
dwumetrowy	metr
kępiasty	kępa
kępiasty	kępa
kępkowy	kępka
kępowy	kępa
połówkowy	połówka
robaczliwy	robak
trzymetrowy	metr
czterometrowy	metr
pięciometrowy	metr
sześciometrowy	metr
siedmiometrowy	metr
ośmiometrowy	metr
dziewięciometrowy	metr
dziesięciometrowy	metr
kilkunastometrowy	metr
jedenastometrowy	metr
wysokotemperaturowy	temperatura
allelopatyczny	allelopatia
groszkowaty	groszki
kanciaty	kant
zagniewany	gniew
dwunastometrowy	metr
trzynastometrowy	metr
czternastometrowy	metr
piętnastometrowy	metr
szesnastometrowy	metr
siedemnastometrowy	metr
osiemnastometrowy	metr
dziewiętnastometrowy	metr
dwudziestometrowy	metr
kilkudziesięciometrowy	metr
trzydziestometrowy	metr
czterdziestometrowy	metr
pięćdziesięciometrowy	metr
sześćdziesięciometrowy	metr
siedemdziesięciometrowy	metr
osiemdziesięciometrowy	metr
dziewięćdziesięciometrowy	metr
kilkusetmetrowy	metr
stumetrowy	metr
dwustumetrowy	metr
trzystumetrowy	metr
czterystumetrowy	metr
pięćsetmetrowy	metr
sześciusetmetrowy	metr
sześćsetmetrowy	metr
siedmiusetmetrowy	metr
ośmiusetmetrowy	metr
osiemsetmetrowy	metr
siedemsetmetrowy	metr
dziewięćsetmetrowy	metr
dziewięciusetmetrowy	metr
trzyhektarowy	hektar
kilkuhektarowy	hektar
czterohektarowy	hektar
sześciohektarowy	hektar
siedmiohektarowy	hektar
ośmiohektarowy	hektar
dziewięciohektarowy	hektar
dziesięciohektarowy	hektar
jedenastohektarowy	hektar
dwunastohektarowy	hektar
trzynastohektarowy	hektar
czternastohektarowy	hektar
piętnastohektarowy	hektar
szesnastohektarowy	hektar
siedemnastohektarowy	hektar
osiemnastohektarowy	hektar
śniegowy	śnieg
śnieżny	śnieg
krótkoogonkowy	ogonek
przedprątny	przedprątność
różnozarodnikowy	różnozarodnikowość
sensacyjny	sensacja
wersowy	wers
dwudziestoczteroletni	lata
dziewiętnastohektarowy	hektar
kilkudziesięciohektarowy	hektar
dwudziestohektarowy	hektar
trzydziestohektarowy	hektar
czterdziestohektarowy	hektar
pięćdziesięciohektarowy	hektar
sześćdziesięciohektarowy	hektar
siedemdziesięciohektarowy	hektar
osiemdziesięciohektarowy	hektar
dziewięćdziesięciohektarowy	hektar
dwustuhektarowy	hektar
trzystuhektarowy	hektar
czterystuhektarowy	hektar
pięciusethektarowy	hektar
pięćsethektarowy	hektar
sześciusethektarowy	hektar
sześćsethektarowy	hektar
siedmiusethektarowy	hektar
siedemsethektarowy	hektar
ośmiusethektarowy	hektar
dziewięciusethektarowy	hektar
wielookienny	okno
wielookienny	okno
półtorakilometrowy	kilometr
ćwierćkilometrowy	kilometr
trzykilometrowy	kilometr
czterokilometrowy	kilometr
pięciokilometrowy	kilometr
sześciokilometrowy	kilometr
siedmiokilometrowy	kilometr
ośmiokilometrowy	kilometr
dziewięciokilometrowy	kilometr
dziesięciokilometrowy	kilometr
kilkunastokilometrowy	kilometr
jedenastokilometrowy	kilometr
dwunastokilometrowy	kilometr
trzynastokilometrowy	kilometr
czternastokilometrowy	kilometr
piętnastokilometrowy	kilometr
szesnastokilometrowy	kilometr
siedemnastokilometrowy	kilometr
osiemnastokilometrowy	kilometr
dziewiętnastokilometrowy	kilometr
treflowy	trefl
treflowy	trefl
żołędny	żołądź
żołędny	żołądź
peryfrastyczny	peryfraza
wąskonosy	nos
karcynogenny	karcynogen
rozprzowy	rozprza
krzemienisty	krzemień
opleśniały	pleśń
sufiksalny	sufiks
prefiksalny	prefiks
presyjny	presja
aminokwasowy	aminokwas
faszynowy	faszyna
morowy	mora
specyficzny	specyfika
słupiasty	słup
dzwonkowy	dzwonek
dzwonkowy	dzwonek
sercowy	serce
sercowy	serce
poszlakowy	poszlaka
gimnazjalny	gimnazjalista
apartamentowy	apartament
merytoryczny	meritum
klejodajny	klej
wieloosiowy	oś
kunsztowny	kunszt
czteronogi	noga
czteronożny	noga
szpilkowy	szpilka
długopoły	poła
korzenny	korzeń
korzeniowy	korzeń
kurkowy	kurek
mutualistyczny	mutualizm
mutualistyczny	mutualizm
nukleotydowy	nukleotyd
sześćdziesięciominutowy	minuta
wągrowaty	wągr
wągrowaty	wągr
wągrowaty	wągr
dupleksowy	dupleks
szczekliwy	szczek
simpleksowy	simpleks
mozaikowy	mozaika
włoskojęzyczny	język
włoskojęzyczny	język
włoskojęzyczny	język
skazitelny	skaza
monofoniczny	monofonia
monofoniczny	monofonia
piętnastomiesięczny	miesiąc
piętnastomiesięczny	miesiąc
rozgestykulowany	gest
czternastomiesięczny	miesiąc
czternastomiesięczny	miesiąc
kilkomiesięczny	miesiąc
kilkomiesięczny	miesiąc
arogancki	arogancja
ząbkowaty	ząb
wolontariacki	wolontariat
łojotokowy	łojotok
forsiasty	forsa
wolnoobrotowy	obrót
dwuliterowy	litera
trzycyfrowy	cyfra
czteroliterowy	litera
trzyliterowy	litera
mikrobusowy	mikrobus
obrzękowy	obrzęk
torbielowaty	torbiel
kabotażowy	kabotaż
krościaty	krosta
krościaty	krosta
krostowaty	krosta
kilkuwyrazowy	wyraz
czterdziestostopniowy	stopień
czterdziestostopniowy	stopień
czterdziestostopniowy	stopień
wielodaniowy	danie
lojalistyczny	lojalizm
lojalistyczny	lojalizm
lojalistyczny	lojalizm
neutralistyczny	neutralizm
czterostopniowy	stopień
czterostopniowy	stopień
czterostopniowy	stopień
dwudziestostopniowy	stopień
dwudziestostopniowy	stopień
dwudziestostopniowy	stopień
dwudziestozłotowy	złoty
dwunastostopniowy	stopień
dwunastostopniowy	stopień
dwunastostopniowy	stopień
dziesięciostopniowy	stopień
dziesięciostopniowy	stopień
dziesięciostopniowy	stopień
jądrzasty	jądro
starodrzewny	drzewo
wysokodochodowy	dochód
różnopostaciowy	postać
wielooddziałowy	oddział
wielooddziałowy	oddział
wielooddziałowy	oddział
jednozakładowy	zakład
multinarodowy	naród
dziewięciostopniowy	stopień
dziewięciostopniowy	stopień
dziewięciostopniowy	stopień
forintowy	forint
frankowy	frank
guldenowy	gulden
koronowy	korona
pięćdziesięciostopniowy	stopień
pięćdziesięciostopniowy	stopień
charakterny	charakter
jednopasmowy	pasmo
mordziasty	morda
prodromalny	prodrom
bulwkowy	bulwka
kilkustronicowy	stronica
czterostronicowy	stronica
dwustronicowy	stronica
koźlonogi	noga
kłosisty	kłos
wszechpotężny	wszechpotęga
pięćdziesięciozłotowy	złoty
czterostopniowy	stopień
dziewięciostopniowy	stopień
pięćdziesięciostopniowy	stopień
dwunastostopniowy	stopień
dwudziestostopniowy	stopień
dziesięciostopniowy	stopień
kilkuetapowy	etap
pięcioetapowy	etap
dysforyczny	dysforia
upierścieniony	pierścień
urękawiczniony	rękawica
albańskojęzyczny	język
albańskojęzyczny	język
angielskojęzyczny	język
angielskojęzyczny	język
greckojęzyczny	język
greckojęzyczny	język
ukraińskojęzyczny	język
ukraińskojęzyczny	język
kilkudziesięciotonowy	tona
kilkunastotonowy	tona
kwasowy	kwas
segmentacyjny	segmentacja
albańskojęzyczny	język
pięciorublowy	rubel
pięciorublowy	rubel
greckojęzyczny	język
pięciozłotowy	złoty
węgierskojęzyczny	język
węgierskojęzyczny	język
węgierskojęzyczny	język
kilkunastopunktowy	punkt
kilkudziesięciopunktowy	punkt
stumarkowy	marka
bezdebitowy	debit
wielocyfrowy	cyfra
kilkucyfrowy	cyfra
kilkukilogramowy	kilogram
kilkudziesięciokilogramowy	kilogram
kilkusetkilogramowy	kilogram
kilkuliterowy	litera
stumarkowy	marka
płytkowaty	płytka
wyrobniczy	wyrobnik
pasiaty	pas
młodoliteracki	literat
dwudziestostopniowy	stopień
dziewięciostopniowy	stopień
dziesięciostopniowy	stopień
pięćdziesięciostopniowy	stopień
stustopniowy	stopień
stustopniowy	stopień
stustopniowy	stopień
stustopniowy	stopień
stustopniowy	stopień
trzydziestostopniowy	stopień
trzydziestostopniowy	stopień
trzydziestostopniowy	stopień
trzydziestostopniowy	stopień
sturublowy	rubel
sturublowy	rubel
czterdziestostopniowy	stopień
czterdziestostopniowy	stopień
czterostopniowy	stopień
dwunastostopniowy	stopień
beleczkowy	beleczka
dwuaktowy	akt
cenzurowany	cenzura
cenzurowany	cenzura
dwudziestoprocentowy	procent
kilkunastoprocentowy	procent
trzydziestoprocentowy	procent
ośmioprocentowy	procent
trzyaktowy	akt
pięcioaktowy	akt
jednoaktowy	akt
esencjalny	esencja
jednostanowiskowy	stanowisko
przeważny	przewaga
relacyjny	relacja
relacyjny	relacja
łysogłowy	głowa
wysokobudżetowy	budżet
agnostyczny	agnostycyzm
pełnospektaklowy	spektakl
arabskojęzyczny	język
arabskojęzyczny	język
arabskojęzyczny	język
dichroiczny	dichroizm
płaskodenny	dno
normotwórczy	twórczość
ogólnoinformacyjny	informacja
otworkowy	otworek
atroficzny	atrofia
półurzędowy	urząd
półurzędowy	urząd
szczeciniasty	szczecina
jednostopniowy	stopień
dwustopniowy	stopień
dwustopniowy	stopień
trzystopniowy	stopień
stuzłotowy	złoty
trzystopniowy	stopień
trzystopniowy	stopień
trzystopniowy	stopień
pięciostopniowy	stopień
pięciostopniowy	stopień
pięciostopniowy	stopień
dwukilogramowy	kilogram
trzykilogramowy	kilogram
czterokilogramowy	kilogram
pięciokilogramowy	kilogram
sześciokilogramowy	kilogram
siedmiokilogramowy	kilogram
ośmiokilogramowy	kilogram
dziewięciokilogramowy	kilogram
dziesięciokilogramowy	kilogram
jedenastokilogramowy	kilogram
dwunastokilogramowy	kilogram
trzynastokilogramowy	kilogram
czternastokilogramowy	kilogram
piętnastokilogramowy	kilogram
szesnastokilogramowy	kilogram
czteroprzymiotnikowy	przymiotnik
pięcioprzymiotnikowy	przymiotnik
sterydowy	steryd
dwumiesięczny	miesiąc
trzymiesięczny	miesiąc
czteromiesięczny	miesiąc
pięciomiesięczny	miesiąc
sześciomiesięczny	miesiąc
siedmiomiesięczny	miesiąc
ośmiomiesięczny	miesiąc
dziewięciomiesięczny	miesiąc
dziesięciomiesięczny	miesiąc
jedenastomiesięczny	miesiąc
jedenastomiesięczny	miesiąc
trzynastomiesięczny	miesiąc
trzynastomiesięczny	miesiąc
szesnastomiesięczny	miesiąc
szesnastomiesięczny	miesiąc
siedemnastomiesięczny	miesiąc
siedemnastomiesięczny	miesiąc
osiemnastomiesięczny	miesiąc
kilkucalowy	cal
osiemnastomiesięczny	miesiąc
dziewiętnastomiesięczny	miesiąc
dziewiętnastomiesięczny	miesiąc
dwudziestomiesięczny	miesiąc
kilkudziesięciomiesięczny	miesiąc
kilkudziesięciomiesięczny	miesiąc
dwudziestomiesięczny	miesiąc
dwudziestojednomiesięczny	miesiąc
dwudziestojednomiesięczny	miesiąc
kilkunastocalowy	cal
kilkudziesięciocalowy	cal
pięciocalowy	cal
sześciocalowy	cal
siedmiocalowy	cal
średnioformatowy	format
szerokoformatowy	format
ośmiocalowy	cal
dziewięciocalowy	cal
trzynastocalowy	cal
czternastocalowy	cal
piętnastocalowy	cal
szesnastocalowy	cal
siedemnastocalowy	cal
osiemnastocalowy	cal
trzydziestocalowy	cal
dwudziestodwumiesięczny	miesiąc
trzydziestodwucalowy	cal
dwudziestotrzymiesięczny	miesiąc
dwudziestotrzymiesięczny	miesiąc
dwudziestoczteromiesięczny	miesiąc
izbowy	izba
strukturalistyczny	strukturalizm
dwudziestopięciomiesięczny	miesiąc
dwudziestopięciomiesięczny	miesiąc
trzydziestosiedmiocalowy	cal
dwudziestosześciomiesięczny	miesiąc
trzydziestodziewięciocalowy	cal
czterdziestodwucalowy	cal
czterdziestosześciocalowy	cal
pięćdziesięciocalowy	cal
dwudziestosześciomiesięczny	miesiąc
pięćdziesięciodwucalowy	cal
pięćdziesięciopięciocalowy	cal
trzyramienny	ramię
pięćdziesięcioośmiocalowy	cal
sześćdziesięciocalowy	cal
sześćdziesięciopięciocalowy	cal
przyszłotygodniowy	tydzień
kilkucentymetrowy	centymetr
dziesięciocentymetrowy	centymetr
kilkucentymetrowy	centymetr
leszczowy	leszcz
siedemnastokilogramowy	kilogram
osiemnastokilogramowy	kilogram
dziewiętnastokilogramowy	kilogram
szczupakowy	szczupak
dwudziestokilogramowy	kilogram
czterdziestokilogramowy	kilogram
sześćdziesięciokilogramowy	kilogram
siedemdziesięciokilogramowy	kilogram
osiemdziesięciokilogramowy	kilogram
sielawowy	sielawa
dziewięćdziesięciokilogramowy	kilogram
stukilogramowy	kilogram
rudonośny	ruda
dwudziestojednokilogramowy	kilogram
dwudziestodwukilogramowy	kilogram
dwudziestotrzykilogramowy	kilogram
dwudziestoczterokilogramowy	kilogram
dwudziestopięciokilogramowy	kilogram
dwudziestosześciokilogramowy	kilogram
dwudziestosiedmiokilogramowy	kilogram
dwudziestoośmiokilogramowy	kilogram
dwudziestodziewięciokilogramowy	kilogram
czterogwiazdkowy	gwiazdka
dwugwiazdkowy	gwiazdka
trzygwiazdkowy	gwiazdka
dwudziestosiedmiomiesięczny	miesiąc
dwudziestosiedmiomiesięczny	miesiąc
dwudziestoośmiomiesięczny	miesiąc
dwudziestoośmiomiesięczny	miesiąc
dwudziestodziewięciomiesięczny	miesiąc
trzydziestomiesięczny	miesiąc
trzydziestomiesięczny	miesiąc
trzydziestojednomiesięczny	miesiąc
trzydziestojednomiesięczny	miesiąc
trzydziestodwumiesięczny	miesiąc
trzydziestodwumiesięczny	miesiąc
trzydziestotrzymiesięczny	miesiąc
trzydziestotrzymiesięczny	miesiąc
trzydziestoczteromiesięczny	miesiąc
trzydziestoczteromiesięczny	miesiąc
trzydziestopięciomiesięczny	miesiąc
trzydziestopięciomiesięczny	miesiąc
trzydziestosześciomiesięczny	miesiąc
trzydziestosześciomiesięczny	miesiąc
siedemdziesięciocalowy	cal
siedemdziesięciopięciocalowy	cal
trzydziestojednocalowy	cal
trzydziestoczterocalowy	cal
trzydziestosześciocalowy	cal
trzydziestoośmiocalowy	cal
izbowy	izba
czterdziestotrzycalowy	cal
czterdziestopięciocalowy	cal
czterdziestosiedmiocalowy	cal
czterdziestoośmiocalowy	cal
czterdziestodziewięciocalowy	cal
pięćdziesięciojednocalowy	cal
pięćdziesięcioczterocalowy	cal
pięćdziesięciosześciocalowy	cal
pięćdziesięciosiedmiocalowy	cal
pięćdziesięciodziewięciocalowy	cal
sześćdziesięciojednocalowy	cal
sześćdziesięciodwucalowy	cal
sześćdziesięciotrzycalowy	cal
sześćdziesięcioczterocalowy	cal
drobnowymiarowy	wymiar
średniowymiarowy	wymiar
wielkowymiarowy	wymiar
kolczaty	kolec
sześciostopniowy	stopień
sześciostopniowy	stopień
sześciostopniowy	stopień
siedmiostopniowy	stopień
siedmiostopniowy	stopień
siedmiostopniowy	stopień
siedmiostopniowy	stopień
ośmiostopniowy	stopień
ośmiostopniowy	stopień
ośmiostopniowy	stopień
ośmiostopniowy	stopień
siedemdziesięciojednocalowy	cal
siedemdziesięciodwucalowy	cal
jedenastostopniowy	stopień
osiemdziesięciodwucalowy	cal
jedenastostopniowy	stopień
