administrator	administrować
oblężeniec	oblegać
obmówca	obmawiać
łykacz	łykać
łykacz	łykać
łupaczka	łupać
krojczy	kroić
łapacz	łapać
przecinacz	przecinać
przecinacz	przecinać
oceniacz	oceniać
odbieracz	odbierać
odczyniacz	odczyniać
odkażacz	odkażać
odnawiacz	odnawiać
odpychacz	odpychać
pilnowacz	pilnować
kicaj	kicać
wyprawiacz	wyprawiać
wyprawiacz	wyprawiać
wybieracz	wybierać
pochlebnik	pochlebiać
podbieracz	podbierać
podchwyt	podchwycić
podgrzew	podgrzewać
podkładacz	podkładać
podlizywacz	podlizywać się
wykrawacz	wykrawać
wydmuchiwacz	wydmuchiwać
macak	macać
wyrwiząb	wyrwać
wybijacz	wybijać
wybijacz	wybijać
wybijacz	wybijać
napinacz	napinać
naprężacz	naprężać
naprężacz	naprężać
naprężacz	naprężać
narkotyzer	narkotyzować
nawijacz	nawijać
hałaśnik	hałasować
pracz	prać
oczyszczacz	oczyszczać
rozdzielca	rozdzielać
rozpieracz	rozpierać
przeglądacz	przeglądać
wymieniacz	wymieniać
wyłudzacz	wyłudzać
zabawiacz	zabawiać
zapylacz	zapylać
przekładacz	przekładać
przekładacz	przekładać
czep	czepiać się
przerabiacz	przerabiać
przestrzegacz	przestrzegać
przestrzegacz	przestrzegać
zastępnik	zastępować
fabrykator	fabrykować
zapychacz	zapychać
przyganiacz	przyganiać
klaskacz	klaskać
klejarz	kleić
kolaboracjonista	kolaborować
zapychacz	zapychać
zapychacz	zapychać
wypychacz	wypychać
wypychacz	wypychać
deklarant	deklarować się
deklarant	deklarować się
wymieniacz	wymieniać
brząkadło	brząkać
brzękacz	brzękać
brzękacz	brzękać
budowacz	budować
bujacz	bujać
bujowisko	bujać się
koronator	koronować
solarz	solić
denuncjant	denuncjować
pławaczka	pływać
kapownik	kapować
gardziciel	gardzić
ciągutka	ciągnąć się
grabieżnik	grabić
gratulant	gratulować
dopełniacz	dopełniać
czerpacz	czerpać
ryjec	ryć
ryjec	ryć
ciągutek	ciągnąć się
sterownik	sterować
ogranicznik	ograniczać
ogranicznik	ograniczać
przebieraniec	przebierać się
kształciciel	kształtować
obieraczka	obierać
uzdrawiacz	uzdrawiać
najeźdźca	najeżdżać
najezdnik	najeżdżać
potrzebujący	potrzebować
protestujący	protestować
walczący	walczyć
nadawca	nadawać
zapładniacz	zapładniać
rozrabiaka	rozrabiać
rozrabiacz	rozrabiać
przysposabiający	przysposobić
konający	konać
rękodajny	dawać
dupoliz	lizać dupę
zroślak	zrosnąć się
zroślak	zrosnąć się
wyżeracz	wyżerać
oskarżyciel	oskarżać
