akceptować	zaakceptować
wyżłabiać	wyżłobić
wypłukiwać	wypłukać
wymywać	wymyć
wygotowywać	wygotować
wygotowywać	wygotować
sproszkowywać	sproszkować
przetwarzać	przetworzyć
władowywać się	władować się
wpakowywać się	wpakować się
wpierdalać się	wpierdolić się
ulegać	ulec
owijać	owinąć
otulać	otulić
okręcać	okręcić
machać się	machnąć się
rąbać się	rąbnąć się
rypać się	rypnąć się
sypać się	sypnąć się
wyłuskiwać	wyłuskać
wyłuszczać	wyłuszczyć
trafiać jak kulą w płot	trafić jak kulą w płot
przeliczać się	przeliczyć się
przejęzyczać się	przejęzyczyć się
fałszować	zafałszować
ucinać koguta	uciąć koguta
wycinać koguta	wyciąć koguta
przegrywać	przegrać
wracać na tarczy	wrócić na tarczy
włączać	włączyć
wcielać	wcielić
wygrywać	wygrać
wracać z tarczą	wrócić z tarczą
bombardować	zbombardować
kolonizować	skolonizować
przepychać się	przepchać się
osiedlać	osiedlić
umieszczać	umieścić
instalować	zainstalować
przepychać się	przepchać się
zasiedlać	zasiedlić
zaludniać	zaludnić
kolonizować	skolonizować
osiągać	osiągnąć
dochodzić	dojść
dopinać celu	dopiąć celu
dopinać celu	dopiąć swego
sadzić	przysadzić
sadzić	posadzić
zasadzać	zasadzić
odnosić	odnieść
obsadzać	obsadzić
pobudzać	pobudzić
siać	zasiać
siać	posiać
obsadzać	obsadzić
przysiadać się	przysiąść się
dosiadać się	dosiąść się
wychylać się	wychylić się
odstępować	odstąpić
wychylać się	wychylić się
wycofywać się	wycofać się
przecierać	przetrzeć
wycierać	wytrzeć
przecierać	przetrzeć
wycierać	wytrzeć
przecierać	przetrzeć
przecierać	przetrzeć
przecierać	przetrzeć
przecierać	przetrzeć
nadgryzać	nadgryźć
przedzierać	przedrzeć
rozrywać	rozerwać
zamykać	zamknąć
zablokowywać	zablokować
zagradzać	zagrodzić
tarasować	zatarasować
zastawiać	zastawić
rozbierać	rozebrać
sprzątać	sprzątnąć
typować	wytypować
objeżdżać	objeździć
powierzać	powierzyć
obsadzać	obsadzić
zarybiać	zarybić
obsadzać	obsadzić
ostrzeliwać	ostrzelać
testować	przetestować
ostrzeliwać	ostrzelać
pustoszyć	opustoszyć
przystawać	przystanąć
przysuwać się	przysunąć się
dosuwać się	dosunąć się
pacyfikować	spacyfikować
tłumić	stłumić
przytulać się	przytulić się
kleić się	przykleić się
lepić się	przylepić się
przygarniać się	przygarnąć się
przypadać	przypaść
zagarniać	zagarnąć
przyciskać się	przycisnąć się
zagarniać	zagarnąć
przylegać	przylgnąć
przyklejać się	przykleić się
przylepiać się	przylepić się
przywierać	przywrzeć
pocierać	potrzeć
drapać	drapnąć
obciskać	obcisnąć
przedziurawiać	przedziurawić
opinać się	opiąć się
oblepić	oblepiać
przebijać	przebić
opiąć	opinać
kłuć	ukłuć
uskakiwać	uskoczyć
owiewać	owiać
ogarniać	ogarnąć
muskać	musnąć
zatapiać	zatopić
topić	utopić
zatapiać	zatopić
wypełniać	wypełnić
zapełniać	zapełnić
zajmować	zająć
wrastać	wrosnąć
zagłębiać się	zagłębić się
wcinać się	wciąć się
wczepiać się	wczepić się
wgryzać się	wgryźć się
wkuwać się	wkuć się
wwiercać się	wwiercić się
zapuszczać się	zapuścić się
zagłębiać się	zagłębić się
łączyć się	połączyć się
wrastać	wrosnąć
wtłaczać	wtłoczyć
wpychać	wepchnąć
podporządkowywać	podporządkować
wtłaczać	wtłoczyć
wprowadzać	wprowadzić
wtłaczać	wtłoczyć
nasycać	nasycić
nasączać	nasączyć
nasączać	nasączyć
zagłębiać	zagłębić
wbijać	wbić
wkręcać	wkręcić
wgłębiać	wgłębić
skakać do gardła	skoczyć do gardła
wyskakiwać z gębą	wyskoczyć z gębą
wyskakiwać z pyskiem	wyskoczyć z pyskiem
rzucać się do gardła	rzucić się do gardła
stawać w obronie	stanąć w obronie
wstawiać się	wstawić się
upominać się o krzywdę	upomnieć się o krzywdę
rozciągać się	rozciągnąć się
wyciągać się	wyciągnąć się
rozpychać się	rozepchać się
rozpychać się	rozepchnąć się
przechylać się	przechylić się
obijać	obić
obijać	obić
obijać	obić
obtłukiwać	obtłuc
obnażać	obnażyć
obnażać	obnażyć
obnażać	obnażyć
demaskować	zdemaskować
podcinać	podciąć
odcinać	odciąć
podcinać	podciąć
podcinać	podciąć
przyduszać	przydusić
rozdymać	rozdąć
nadymać	nadąć
naprężać	naprężyć
usztywniać	usztywnić
nadmuchiwać	nadmuchać
wyolbrzymiać	wyolbrzymić
przesadzać	przesadzić
przekraczać	przekroczyć
rozdzierać	rozedrzeć
rozjaśniać	rozjaśnić
rozświetlać	rozświetlić
rozdzierać	rozedrzeć
rozpruwać	rozpruć
rozłączać	rozłączyć
rozpruwać	rozpruć
rozpruwać	rozpruć
rozpychać	rozepchnąć
rozpychać	rozepchać
chłostać	chłosnąć
kosić	skosić
ścinać	ściąć
smagać	smagnąć
smagać	smagnąć
chłostać	chłosnąć
dynamizować	zdynamizować
ujednolicać	ujednolicić
upodabniać	upodobnić
normalizować	znormalizować
optymalizować	zoptymalizować
racjonalizować	zracjonalizować
racjonalizować	zracjonalizować
połykać	połknąć
rozczytywać się	rozczytać się
pisać	napisać
rozrastać się	rozrosnąć się
wychowywać się	wychować się
chować się	odchować się
wyrastać	wyrosnąć
dorośleć	wydorośleć
dorastać	dorosnąć
dorastać	dojrzeć
podrastać	podrosnąć
poważnieć	spoważnieć
wyrastać	wyrosnąć
dziecinnieć	zdziecinnieć
infantylnieć	zinfantylnieć
infantylizować się	zinfantylizować się
zwiększyć się	zwiększać się
zmniejszać się	zmniejszyć się
okrywać się	okryć się
przesłaniać się	przesłonić się
przyoblekać się	przyoblec się
zachodzić	zajść
zaciągać się	zaciągnąć się
zaćmiewać się	zaćmić się
zakrywać się	zakryć się
zawlekać się	zawlec się
obsypywać	obsypać
przymykać się	przymknąć się
otworzyć się	otwierać się
odmykać się	odemknąć się
rozwierać się	rozewrzeć się
uchylać się	uchylić się
milknąć	zamilknąć
przymykać się	przymknąć się
przytykać się	przytkać się
zamykać się	zamknąć się
nabierać wody w usta	nabrać wody w usta
nabierać wody w gębę	nabrać wody w gębę
nabierać wody do gęby	nabrać wody do gęby
normalizować	znormalizować
racjonalizować	zracjonalizować
uelastyczniać	uelastycznić
uelastyczniać	uelastycznić
usprawniać	usprawnić
uefektywniać	uefektywnić
intensyfikować	zintensyfikować
obwarowywać	obwarować
obwarowywać	obwarować
zastrzegać	zastrzec
obwarowywać	obwarować
rozsiewać	rozsiać
rozsypywać	rozsypać
rozrzucać	rozrzucić
rozsiewać	rozsiać
upadać	upaść
upadać	upaść
demoralizować	zdemoralizować
psuć	popsuć
psuć	zepsuć
deformować	zdeformować
demoralizować się	zdemoralizować się
upadać	upaść
zagospodarowywać	zagospodarować
zagospodarowywać	zagospodarować
sfruwać	sfrunąć
zamykać gębę na kłódkę	zamknąć gębę na kłódkę
zamykać mordę na kłódkę	zamknąć mordę na kłódkę
zamykać buzię na kłódkę	zamknąć buzię na kłódkę
urywać	urwać
wyłączać się	wyłączyć się
zawieszać głos	zawiesić głos
przestawać	przestać
ustawać	ustać
przerywać	przerwać
wydziobywać	wydziobać
podżerać	podeżreć
wydzióbywać	wydzióbać
wygryzać	wygryźć
wylizywać	wylizać
wydziobywać	wydziobać
wydzióbywać	wydzióbać
wydłubywać	wydłubać
wykłuwać	wykłuć
wyłupiać	wyłupić
wyjmować	wyjąć
wybierać	wybrać
żłobić	wyżłobić
dłubać	wydłubać
ryć	wyryć
grawerować	wygrawerować
wydrążać	wydrążyć
wydłubywać	wydłubać
wydłubywać	wydłubać
zamykać	zamknąć
przymrużać	przymrużyć
zmrużać	zmrużyć
zaniedbywać	zaniedbać
zrównywać	zrównać
zrównywać	zrównać
stawiać na równi	postawić na równi
ilustrować	zilustrować
umajać	umaić
ukwiecać	ukwiecić
wieńczyć	zwieńczyć
wieńczyć	uwieńczyć
wieńczyć	uwieńczyć
nagradzać	nagrodzić
wieńczyć	uwieńczyć
klecić	sklecić
konstruować	skonstruować
klecić	sklecić
malować	pomalować
robić makijaż	zrobić makijaż
pudrować	upudrować
różować	uróżować
szpikować	naszpikować
kurzyć	zakurzyć
plamić	splamić
plamić	poplamić
zakrwawiać	zakrwawić
okrwawiać	okrwawić
zadawać cios	zadać cios
wierzgać	wierzgnąć
minować	zaminować
obliczać się	obliczyć się
obrachowywać się	obrachować się
rozliczać się	rozliczyć się
obliczać się	obliczyć się
obrachowywać się	obrachować się
wyliczać się	wyliczyć się
regulować	uregulować
obrachowywać	obrachować
grać na nosie	zagrać na nosie
pogardzać	pogardzić
organizować się	zorganizować się
łączyć się	złączyć się
jednoczyć się	zjednoczyć się
wiązać się	związać się
zwierać szeregi	zewrzeć szeregi
zwierać szyki	zewrzeć szyki
sprzymierzać się	sprzymierzyć się
nakrywać	nakryć
przyłapywać	przyłapać
nakrywać	nakryć
zastawać	zastać
obkładać	obłożyć
stowarzyszać się	stowarzyszyć się
zrzeszać się	zrzeszyć się
idealizować	wyidealizować
uwznioślać	uwznioślić
sublimować	wysublimować
uduchawiać	uduchowić
wysławiać	wysławić
błogosławić	pobłogosławić
podnosić	podnieść
wychwalać	wychwalić
wynosić pod niebiosa	wynieść pod niebiosa
wychwalać pod niebiosa	wychwalić pod niebiosa
uszlachetniać	uszlachetnić
odidealizowywać	odidealizować
odbrązawiać	odbrązowić
uczłowieczać	uczłowieczyć
humanizować	zhumanizować
odczłowieczać	odczłowieczyć
dehumanizować	zdehumanizować
odhumanizowywać	odhumanizować
ujarzmiać	ujarzmić
zakuwać w kajdany	zakuć w kajdany
zakuwać w łańcuchy	zakuć w łańcuchy
zawojowywać	zawojować
zniewalać	zniewolić
gwałcić	zgwałcić
udzielać	udzielić
wysyłać	wysłać
posyłać	posłać
obkładać	obłożyć
zasłaniać	zasłonić
okrywać	okryć
okrywać	okryć
osłaniać	osłonić
osłaniać	osłonić
osłaniać	osłonić
rozkładać	rozłożyć
rozpościerać	rozpostrzeć
rozciągać	rozciągnąć
rozciągać	rozciągnąć
cyzelować	wycyzelować
dopieszczać	dopieścić
improwizować	zaimprowizować
grać	zagrać
odgrywać	odegrać
improwizować	zaimprowizować
improwizować	zaimprowizować
zwieńczać	zwieńczyć
przybierać	przybrać
ubierać	ubrać
stroić	ustroić
osładzać	osłodzić
chłostać	chłosnąć
wygładzać	wygładzić
spieniać	spienić
spieniać	spienić
odczulać	odczulić
odtruwać	odtruć
truć	struć
zatruwać	zatruć
farbować	pofarbować
farbować	ufarbować
ubarwiać	ubarwić
zabarwiać	zabarwić
kolorować	pokolorować
zabarwiać	zabarwić
zaczerniać	zaczernić
zaczerniać	zaczernić
przyciemniać	przyciemnić
przyciemniać	przyciemnić
różowić	zaróżowić
zaczerwieniać	zaczerwienić
zazieleniać	zazielenić
pozłacać	pozłocić
zniekształcać się	zniekształcić się
zginać się	zgiąć się
falować	sfalować
gorzeć	zgorzeć
oślepiać	oślepić
ćwiczyć się	wyćwiczyć się
wydoskonalać	wydoskonalić
zagmatwać	gmatwać
komplikować	pokomplikować
komplikować	skomplikować
gmatwać	pogmatwać
wikłać	powikłać
wikłać	zawikłać
zawstydzać	zawstydzić
mieszać	zmieszać
peszyć	speszyć
płoszyć	spłoszyć
żenować	zażenować
odkupywać	odkupić
okupywać	okupić
przypłacać	przypłacić
opłacać	opłacić
upijać się	upić się
dawać w gaz	dać w gaz
uderzać w gaz	uderzyć w gaz
dogadzać sobie	dogodzić sobie
doprawiać się	doprawić się
opijać się	opić się
spijać się	spić się
oślepiać	oślepić
ogłupiać	ogłupić
zaślepiać	zaślepić
oślepiać	oślepić
odwirowywać	odwirować
zmącać	zamącić
zmącać	zmącić
rozżarzać	rozżarzyć
rozżarzać	rozżarzyć
rozpalać	rozpalić
rozmywać	rozmyć
rozmywać	rozmyć
rozmazywać	rozmazać
roziskrzać	roziskrzyć
upajać się	upoić się
osłabiać	osłabić
przyćmiewać	przyćmić
zaćmiewać	zaćmić
urzynać się	urżnąć się
uwalać się	uwalić się
wstawiać się	wstawić się
uchlewać się	uchlać się
sprawdzać	sprawdzić
przeprowadzać	przeprowadzić
badać	zbadać
zaprawiać się	zaprawić się
zakrapiać się	zakropić się
prześwietlać	prześwietlić
zapruwać się	zapruć się
prześwietlać	prześwietlić
prześwietlać	prześwietlić
prześwietlać	prześwietlić
naświetlać	naświetlić
prześwietlać	prześwietlić
posrebrzać	posrebrzyć
posrebrzać	posrebrzyć
osrebrzać	osrebrzyć
spijać się na umór	spić się na umór
podświetlać	podświetlić
okaleczać	okaleczyć
ćpać	zaćpać
nawalać się	nawalić się
krzywdzić	skrzywdzić
okaleczać	okaleczyć
zażywać	zażyć
przyjmować	przyjąć
okaleczać	okaleczyć
dawać w żyłę	dać w żyłę
wstrzykiwać	wstrzyknąć
pochylać	pochylić
pogrążać	pogrążyć
pogrążać	pogrążyć
gubić	zgubić
pykać	pyknąć
zaciągać się	zaciągnąć się
wykonywać czynność fizjologiczną	wykonać czynność fizjologiczną
wciągać	wciągnąć
wsysać	wessać
chuchać	chuchnąć
chlapać językiem	chlapnąć językiem
chlapać jęzorem	chlapnąć jęzorem
chlapać ozorem	chlapnąć ozorem
nagrzewać	nagrzać
wygrzewać	wygrzać
ocieplać	ocieplić
dopływać	dopłynąć
powalać	powalić
powalać	powalić
powalać	powalić
chować	pochować
grzebać	pogrzebać
zasypywać	zasypać
grzebać	pogrzebać
przekreślać	przekreślić
przewyższać	przewyższyć
przerastać	przerosnąć
przewyższać	przewyższyć
przerastać	przerosnąć
przerastać	przerosnąć
przerastać	przerosnąć
przykuwać	przykuć
ograniczać	ograniczyć
przykuwać	przykuć
przygważdżać	przygwoździć
przywiązywać	przywiązać
przywiązywać	przywiązać
sadzać	posadzić
usadawiać	usadowić
usypiać	uśpić
zasypiać	zasnąć
pustoszeć	opustoszeć
usypiać	uśpić
koić	ukoić
amortyzować	zamortyzować
uśmierzać	uśmierzyć
znieczulać	znieczulić
usypiać	uśpić
usypiać	uśpić
więzić	uwięzić
uzbrajać	uzbroić
wpatrywać się	wpatrzyć się
wgapiać się	wgapić się
wślepiać się	wślepić się
uchodzić	ujść
ściekać	ściec
zbijać	zbić
stłaczać	stłoczyć
awizować	zaawizować
startować	wystartować
startować	zastartować
zadawać raz	zadać raz
zarysowywać się	zarysować się
odbijać się	odbić się
przeglądać się	przeglądnąć się
odcinać się	odciąć się
odgraniczać się	odgraniczyć się
wyodrębniać się	wyodrębnić się
bieleć	zbieleć
brunatnieć	zbrunatnieć
brązowieć	zbrązowieć
czernieć	poczernieć
ciemnieć	pociemnieć
zaczerniać się	zaczernić się
czernieć	poczernieć
różowieć	zaróżowieć
różowić się	zaróżowić się
szarzeć	zszarzeć
szarzeć	poszarzeć
siwieć	posiwieć
żółknąć	wyżółknąć
żółknąć	pożółknąć
żółknąć	zżółknąć
szarzeć	zszarzeć
szarzeć	poszarzeć
wybielać się	wybielić się
zabielać się	zabielić się
słabnąć	osłabnąć
uciszać się	uciszyć się
uspokajać się	uspokoić się
uspokajać się	uspokoić się
ucichać	ucichnąć
gasnąć	zgasnąć
łagodnieć	złagodnieć
opadać	opaść
przygasać	przygasnąć
tracić na sile	stracić na sile
przybierać na sile	przybrać na sile
wątleć	zwątleć
zagasać	zagasnąć
jaśnieć	zjaśnieć
rozjaśniać się	rozjaśnić się
rozjarzać się	rozjarzyć się
rozpraszać się	rozproszyć się
rozpromieniać się	rozpromienić się
rozświetlać się	rozświetlić się
rozwidniać się	rozwidnić się
szarzeć	poszarzeć
ciemnieć	ściemnieć
ściemniać się	ściemnić się
ciemnieć	pociemnieć
ciemnieć	pociemnieć
przygasać	przygasnąć
przyćmiewać się	przyćmić się
zmierzchać	zmierzchnąć
ozłacać	ozłocić
ozłacać	ozłocić
wyzłacać	wyzłocić
wysrebrzać	wysrebrzyć
atakować	zaatakować
odpadać	odpaść
odpadać	odpaść
kończyć się	zakończyć się
kończyć się	skończyć się
następować	nastąpić
tuczyć	utuczyć
odpasać	odpaść
umiejscawiać się	umiejscowić się
sytuować się	usytuować się
plasować się	uplasować się
plasować się	uplasować się
kiełkować	wykiełkować
remisować	zremisować
spisywać się	spisać się
triumfować	zatriumfować
tryumfować	zatryumfować
triumfować	zatriumfować
czuć się	poczuć się
wyprzedzać	wyprzedzić
degradować	zdegradować
degradować	zdegradować
mierzyć	zmierzyć
mierzyć się	zmierzyć się
mierzyć się	zmierzyć się
nokautować	znokautować
udomawiać	udomowić
oswajać	oswoić
przyzwyczajać	przyzwyczaić
oblekać	oblec
łajać	złajać
strofować	zestrofować
uświadamiać	uświadomić
odczarowywać	odczarować
przywracać	przywrócić
odprawiać	odprawić
czarować	zaczarować
odczyniać	odczynić
odżegnywać	odżegnać
odtwarzać	odtworzyć
regenerować	zregenerować
odmładzać	odmłodzić
odmładzać	odmłodzić
odmładzać	odmłodzić
odmładzać	odmłodzić
postarzać	postarzyć
przemawiać się	przemówić się
przyodziewać	przyodziać
szabrować	wyszabrować
szabrować	wyszabrować
wysługiwać się	wysłużyć się
zaprzysięgać	zaprzysięgnąć
zaprzysięgać	zaprzysiąc
zaprzysięgać	zaprzysięgnąć
zaprzysięgać	zaprzysiąc
zaprzysięgać	zaprzysięgnąć
zaprzysięgać	zaprzysiąc
biesić się	zbiesić się
przechowywać	przechować
obalać	obalić
obalać	obalić
obalać	obalić
zbijać	zbić
obalać	obalić
objawiać	objawić
regenerować się	zregenerować się
odradzać się	odrodzić się
odpokutowywać	odpokutować
przeciwstawiać	przeciwstawić
wyrównywać	wyrównać
równoważyć	zrównoważyć
przeciwstawiać	przeciwstawić
uświęcać	uświęcić
identyfikować	zidentyfikować
utożsamiać	utożsamić
upewniać	upewnić
utwierdzać	utwierdzić
utwierdzać	utwierdzić
utrwalać	utrwalić
umacniać	umocnić
utwierdzać	utwierdzić
oddziaływać	oddziałać
nachylać	nachylić
pogarszać się	pogorszyć się
psuć się	popsuć się
psuć się	popsuć się
przyćmiewać	przyćmić
wpajać	wpoić
uczyć	nauczyć
kreować	wykreować
kreować	wykreować
uodporniać	uodpornić
uodparniać	uodpornić
wszczepiać	wszczepić
zaszczepiać	zaszczepić
uszlachetniać	uszlachetnić
zaszczepiać	zaszczepić
zaszczepiać	zaszczepić
wszczepiać	wszczepić
bankrutować	zbankrutować
plajtować	splajtować
bankrutować	zbankrutować
kapitalizować	skapitalizować
przebudowywać	przebudować
reorganizować	zreorganizować
konsolidować	skonsolidować
konsolidować	skonsolidować
zabezpieczać	zabezpieczyć
pożyczać	pożyczyć
oddłużać	oddłużyć
podupadać	podupaść
podupadać	podupaść
słabnąć	zasłabnąć
słabnąć	osłabnąć
rozwijać się	rozwinąć się
prywatyzować	sprywatyzować
restrukturyzować	zrestrukturyzować
reformować	zreformować
uwalniać	uwolnić
zwalniać	zwolnić
usamodzielniać	usamodzielnić
uniezależniać	uniezależnić
usamodzielniać się	usamodzielnić się
uniezależniać się	uniezależnić się
obciążać	obciążyć
zadłużać	zadłużyć
poświęcać	poświęcić
utrwalać	utrwalić
wydostawać się	wydostać się
wychodzić	wyjść
wyrywać się	wyrwać się
wyrywać się	wyrwać się
porzucać	porzucić
opuszczać	opuścić
spuszczać	spuścić
potępiać	potępić
komponować	skomponować
układać	ułożyć
komponować	skomponować
inscenizować	zainscenizować
aranżować	zaaranżować
inscenizować	zainscenizować
filmować	sfilmować
nakręcać	nakręcić
parodiować	sparodiować
przeplatać	przepleść
przetykać	przetkać
przeplatać	przepleść
reżyserować	wyreżyserować
reżyserować	wyreżyserować
popularyzować	spopularyzować
upamiętniać	upamiętnić
pobudzać	pobudzić
inspirować	zainspirować
tytułować	zatytułować
opatrywać	opatrzyć
opatrywać	opatrzyć
bandażować	zabandażować
odrąbywać	odrąbać
wypinać	wypiąć
wypinać	wypiąć
gipsować	zagipsować
operować	zoperować
rozsuwać	rozsunąć
rozkraczać	rozkraczyć
rozczapierzać	rozczapierzyć
rozczapierzyć	rozcapierzyć
przestrzeliwać	przestrzelić
przykurczać	przykurczyć
przegryzać	przegryźć
przekąszać	przekąsić
podwijać	podwinąć
podkurczać	podkurczyć
podkulać	podkulić
podginać	podgiąć
zaginać	zagiąć
odstrzeliwać	odstrzelić
odstrzeliwać	odstrzelić
odstrzeliwać	odstrzelić
obuwać	obuć
doczepiać	doczepić
doklejać	dokleić
dolepiać	dolepić
przyklejać	przykleić
przylepiać	przylepić
umocowywać	umocować
zamocowywać	zamocować
nawijać	nawinąć
motać	namotać
obwijać	obwinąć
oplatać	opleść
oplątywać	oplątać
zawijać	zawinąć
spowijać	spowinąć
spowijać	spowić
wić	uwić
zaplatać	zapleść
przyczepiać	przyczepić
odczepiać	odczepić
przypinać	przypiąć
wpinać	wpiąć
odpinać	odpiąć
podpinać	podpiąć
podpinać	podpiąć
podczepiać	podczepić
lokalizować	zlokalizować
pomieszczać	pomieścić
umiejscawiać	umiejscowić
usadawiać	usadowić
przewieszać	przewiesić
wieszać	powiesić
zawieszać	zawiesić
przewieszać	przewiesić
przybijać	przybić
przybijać	przybić
odciskać	odcisnąć
odgniatać	odgnieść
przybijać	przybić
przyklepywać	przyklepać
przygniatać	przygnieść
dobijać	dobić
przybijać	przybić
przywalać	przywalić
skłócać	skłócić
kłócić	pokłócić
konfliktować	skonfliktować
poróżniać	poróżnić
zastępować	zastąpić
ogradzać	ogrodzić
pokrywać	pokryć
obladzać	oblodzić
obmurowywać	obmurować
omurowywać	omurować
obmurowywać	obmurować
obrzeżać	obrzeżyć
obramowywać	obramować
odgradzać	odgrodzić
odśnieżać	odśnieżyć
podmywać	podmyć
rozjeżdżać	rozjeździć
udeptywać	udeptać
utwardzać	utwardzić
utwardzać	utwardzić
wydeptywać	wydeptać
zadeptywać	zadeptać
zadeptywać	zadeptać
wyrąbywać	wyrąbać
wyrąbywać	wyrąbać
wyrąbywać	wyrąbać
przyszpilać	przyszpilić
przypierać	przyprzeć
wytyczać	wytyczyć
wytyczać	wytyczyć
przygważdżać	przygwoździć
przypierać do muru	przyprzeć do muru
przyszpilać	przyszpilić
zabudowywać	zabudować
zabudowywać	zabudować
zasłaniać	zasłonić
przytraczać	przytroczyć
zachwaszczać	zachwaścić
porastać	porosnąć
zachwaszczać	zachwaścić
zadrzewiać	zadrzewić
przytwierdzać	przytwierdzić
przytakiwać	przytaknąć
przyświadczać	przyświadczyć
potwierdzać	potwierdzić
potakiwać	potaknąć
korkować	wykorkować
żwirować	wyżwirować
przywieszać	przywiesić
uwieszać	uwiesić
zawieszać	zawiesić
uczepiać	uczepić
zamulać	zamulić
zamulać	zamulić
skażać	skazić
uwiązywać	uwiązać
zatruwać	zatruć
wyplatać	wypleść
wyplatać	wypleść
wplatać	wpleść
uzdatniać	uzdatnić
okrawać	okroić
okrawać	okroić
okrawać	okroić
przytykać	przytkać
odtykać	odetkać
kneblować	zakneblować
szpuntować	zaszpuntować
zaczopowywać	zaczopować
odszpuntowywać	odszpuntować
odkorkowywać	odkorkować
uszczuplać	uszczuplić
okrajać	okroić
obrzynać	oberżnąć
tamować	zatamować
zatykać	zatkać
zamykać usta	zamknąć usta
zatykać usta	zatkać usta
zamykać buzię	zamknąć buzię
zatykać buzię	zatkać buzię
zamykać gębę	zamknąć gębę
zamykać mordę	zamknąć mordę
zamykać pysk	zamknąć pysk
zatykać dziurę	zatkać dziurę
zapychać dziurę	zapchać dziurę
zatykać	zatknąć
wtykać	wetknąć
wsuwać	wsunąć
zasadzać	zasadzić
wyznaczać	wyznaczyć
oznaczać	oznaczyć
oznaczać	oznaczyć
wnosić	wnieść
znakować	oznakować
zaznaczać	zaznaczyć
wyróżniać	wyróżnić
wyróżniać	wyróżnić
cierpieć	odcierpieć
cierpieć	przecierpieć
zapadać	zapaść
zdrowieć	ozdrowieć
zdrowieć	wyzdrowieć
dochodzić do zdrowia	dojść do zdrowia
dochodzić do siebie	dojść do siebie
stawać na nogi	stanąć na nogi
wracać do zdrowia	wrócić do zdrowia
wylizywać się	wylizać się
dobrzeć	wydobrzeć
rozchorowywać się	rozchorować się
dorabiać się	dorobić się
doprawiać się	doprawić się
chorować	zachorować
przyporządkowywać	przyporządkować
rozbudowywać	rozbudować
deformować	zdeformować
zniekształcać	zniekształcić
zaśmiecać	zaśmiecić
oszpecać	oszpecić
zaśmiecać	zaśmiecić
zachwaszczać	zachwaścić
szpikować	naszpikować
dorabiać	dorobić
dorabiać	dorobić
dorabiać	dorobić
kolekcjonować	skolekcjonować
nabijać	nabić
nabijać	nabić
wbijać	wbić
nabijać	nabić
wybijać	wybić
podkładać	podłożyć
wkładać	włożyć
podkładać	podłożyć
podwijać	podwinąć
podkładać	podłożyć
podkładać	podłożyć
przerzucać	przerzucić
zarzucać	zarzucić
przerzucać	przerzucić
przerzucać	przerzucić
przemycać	przemycić
przerzucać	przerzucić
przerzucać	przerzucić
wpuszczać	wpuścić
wpuszczać	wpuścić
wrzucać	wrzucić
wsadzać	wsadzić
zamykać	zamknąć
wsadzać	wsadzić
wygrzebywać	wygrzebać
wygrzebywać	wygrzebać
wygrzebywać	wygrzebać
odgrzebywać	odgrzebać
wyciągać	wyciągnąć
wyławiać	wyłowić
wyławiać	wyłowić
wykrywać	wykryć
rozwijać	rozwinąć
rozwijać	rozwinąć
rozwijać	rozwinąć
rozwijać	rozwinąć
rozwijać	rozwinąć
zgarniać	zgarnąć
zsuwać	zsunąć
zgarniać	zgarnąć
rozwijać	rozwinąć
rozwijać	rozwinąć
zgarnąć	zgarniać
zrzucać	zrzucić
zrzucać	zrzucić
rozwijać się	rozwinąć się
odprowadzać	odprowadzić
rozwijać się	rozwinąć się
rozwijać się	rozwinąć się
zrzucać	zrzucić
odpowietrzać	odpowietrzyć
upuszczać	upuścić
odwijać	odwinąć
wywijać	wywinąć
odwijać	odwinąć
rozpakowywać	rozpakować
rozpakowywać	rozpakować
rozpakowywać	rozpakować
odpakowywać	odpakować
wypakowywać	wypakować
zawijać	zawinąć
zawijać	zawinąć
zakasywać	zakasać
zawijać	zawinąć
zawijać	zawinąć
zwijać	zwinąć
dawać awans	dać awans
odbębniać	odbębnić
odfajkowywać	odfajkować
odpędzlowywać	odpędzlować
machać	machnąć
odmachiwać	odmachnąć
odmachiwać	odmachać
odpieprzać	odpieprzyć
odpierdalać	odpierdolić
cierpieć	ścierpieć
rozzuchwalać	rozzuchwalić
rozbestwiać	rozbestwić
rozwydrzać	rozwydrzyć
dosypiać	dospać
uspokajać się	uspokoić się
wyciszać się	wyciszyć się
cofać się rakiem	cofnąć się rakiem
darować	podarować
dawać sobie spokój	dać spokój
kłaść lachę	położyć lachę
machać ręką	machnąć ręką
odchodzić	odejść
odpuszczać sobie	odpuścić sobie
spisywać na straty	spisać na straty
kłaść krzyżyk	położyć krzyżyk
zarzucać	zarzucić
zwijać żagle	zwinąć żagle
zwijać chorągiewkę	zwinąć chorągiewkę
odpuszczać	odpuścić
odhartowywać	odhartować
ostudzać	ostudzić
wystudzać	wystudzić
przestudzać	przestudzić
opróżniać	opróżnić
wyjmować	wyjąć
wyodrębniać	wyodrębnić
rozbudowywać się	rozbudować się
rozbudowywać się	rozbudować się
rozbudowywać się	rozbudować się
rozbudowywać się	rozbudować się
kompilować	skompilować
tuczyć się	utuczyć się
naładowywać się	naładować się
nażerać się	nażreć się
obżerać się	obeżreć się
popuszczać pasa	popuścić pasa
paść się	upaść się
zapasać się	zapaść się
tyć	utyć
nabierać ciała	nabrać ciała
nabierać wagi	nabrać wagi
obrastać w tłuszcz	obrosnąć w tłuszcz
porastać sadłem	porosnąć sadłem
poprawiać się	poprawić się
przybierać na wadze	przybrać na wadze
zaokrąglać się	zaokrąglić się
odurzać się	odurzyć się
padać na kolana	paść na kolana
