zezwalać|zgadzać się|pozwalać|akceptować|godzić się|przystawać|przyzwalać|wyrażać zgodę	odwieszać
toczyć|przetaczać|turlać|kulać|taczać	odtoczyć
toczyć|przetaczać|turlać|kulać|taczać	odtaczać
toczyć|przetaczać|turlać|kulać|taczać	przytaczać
toczyć|przetaczać|turlać|kulać|taczać	przytoczyć
toczyć|przetaczać|turlać|kulać|taczać	zatoczyć|wtoczyć
toczyć|przetaczać|turlać|kulać|taczać	zataczać|wtaczać
toczyć|przetaczać|turlać|kulać|taczać	utoczyć|wytoczyć
towarzyszyć|sekundować|asystować|akompaniować	przygrywać
trząść|potrząsać|wstrząsać	wytrząsnąć|wytrząść
trząść|potrząsać|wstrząsać	wytrząsać
trząść|potrząsać|wstrząsać	wytrząsnąć|wytrząść
trząść|potrząsać|wstrząsać	wytrząsać
trząść|potrząsać|wstrząsać	roztrząsać
trząść|potrząsać|wstrząsać	roztrząsnąć|roztrząść
trząść|potrząsać|wstrząsać	roztrzepywać
trzymać	potrzymać
trzymać	utrzymać
trzymać	przetrzymać
trzymać	nosić
trzymać	nieść
tłumaczyć|wyjaśniać|klarować|objaśniać	rozwiać|rozproszyć
tłumaczyć|wyjaśniać|klarować|objaśniać	rozwiewać|rozpraszać
starać się|ubiegać się|zabiegać|czynić starania|czynić zabiegi|dobijać się|dokładać starań|podejmować starania|pracować	pokręcić się
starać się|ubiegać się|zabiegać|czynić starania|czynić zabiegi|dobijać się|dokładać starań|podejmować starania|pracować	podlizać się
starać się|ubiegać się|zabiegać|czynić starania|czynić zabiegi|dobijać się|dokładać starań|podejmować starania|pracować	podlizywać się
starać się|ubiegać się|zabiegać|czynić starania|czynić zabiegi|dobijać się|dokładać starań|podejmować starania|pracować	postarać się|dołożyć starań|podjąć starania|zakrzątnąć się
uciec|ujść|zbiec	wsiąknąć
uciekać|czmychać|pierzchać|uchodzić|umykać	wsiąkać
ucieszyć się|uradować się|rozradować się	rozpromienić się|rozjaśnić się|rozświetlić się|opromienić się|pojaśnieć
uczyć się|kształcić się|edukować się|szkolić się|pobierać nauki	habilitować się
uczyć się|kształcić się|edukować się|szkolić się|pobierać nauki	pouczyć się
uczyć się|kształcić się|edukować się|szkolić się|pobierać nauki	doktoryzować się
uczyć się|kształcić się|edukować się|szkolić się|pobierać nauki	praktykować
uderzyć	odbić|obtłuc
uderzyć	pobić
uderzyć	odbić
uderzyć	stuknąć|puknąć|zakołatać
ukryć się|schować się|skryć się	zaczaić się
ukrywać|chować|skrywać|kryć	zachowywać|zatrzymywać
ukrywać|chować|skrywać|kryć	chować
umierać|konać|dogorywać|gasnąć|odchodzić|mrzeć|żegnać się ze światem	odumierać
umieścić|ulokować|usytuować|umiejscowić|usadowić	zakryć
umożliwić	upoważnić|uprawnić|upełnomocnić
umrzeć|skonać|zemrzeć|odejść|zgasnąć|wyzionąć ducha|dokonać żywota|dokonać życia|rozstać się z życiem|pożegnać się z życiem|pożegnać się ze światem|przenieść się na tamten świat|przenieść się do wieczności|przenieść się do lepszego świata|przenieść się na łono Abrahama|zakończyć życie|zasnąć na wieki|zasnąć snem wiecznym	odumrzeć
usłyszeć|posłyszeć	posłuchać
usłyszeć|posłyszeć	posłuchać
usłyszeć|posłyszeć	usłyszeć
utrzymać|wyżywić	wychować
uzasadniać|podbudowywać|argumentować|motywować|wyjaśniać	dyskutować|debatować|radzić|dysputować
użytkować|eksploatować	zajeżdżać
ważyć	odważyć
ważyć	odważać
ważyć	rozważyć
ważyć	rozważać
wspinać się|wchodzić|wstępować|wdrapywać się|piąć się	łazić
wchodzić	nadeptać|zadeptać
wchodzić	pchać się
wejść	obsiąść|obleźć
wezwać|zawołać|przywołać|przyzwać|zawezwać	zwołać się
oglądać	przejrzeć
oglądać	przeglądać
widzieć	zobaczyć|zoczyć|ujrzeć
widzieć	obejrzeć|widzieć|zobaczyć|oglądnąć
widzieć	oglądać
widzieć	patrzeć|patrzyć|patrzeć się|patrzyć się
wisieć|zwisać|zwieszać się	majtać się|majdać się
wzywać|wołać|przywoływać|przyzywać	wabić|zwabiać|przywabiać
nakłonić|skłonić|nacisnąć	zaciągnąć
wracać|powracać	zawracać|nawracać|wracać|zawracać się|wracać się
wskazywać	wywieść|wyprowadzić
wskazywać	wywodzić|wyprowadzać
wspominać|snuć wspomnienia	powspominać
zawiesić	skomunikować
wybierać|selekcjonować|typować	optować
cofnąć się	ustąpić
wygrać|zwyciężyć|pokonać	wracać z tarczą
wygrać|zwyciężyć|pokonać	wrócić z tarczą
wygrać|zwyciężyć|pokonać	zapanować|zawładnąć|opanować|owładnąć|podbić|zdobyć|ujarzmić|zawojować|zniewolić|zakuć w kajdany|zakuć w łańcuchy
wygrywać|zwyciężać|pokonywać	wygrać
wygrywać|zwyciężać|pokonywać	podbijać|opanowywać|zdobywać|ujarzmiać|zawojowywać|zniewalać|zakuwać w kajdany|zakuwać w łańcuchy
udowadniać|dowodzić|wykazywać	pokazywać
pracować	przepracować się
pracować	przepracowywać się
pracować	spracować się|napracować się|narobić się|urobić się|natrudzić się|utrudzić się|nabiedzić się|namęczyć się
wymieniać|wyliczać|wyszczególniać	spisywać
ogarniać|opanowywać|wypełniać|obejmować|przepełniać|unosić|przenikać	nadpływać
ogarniać|opanowywać|wypełniać|obejmować|przepełniać|unosić|przenikać	nadpłynąć
wypełniać|napełniać|zapełniać	fugować|testować|spoinować
wypełniać|napełniać|zapełniać	przepełnić
wypełniać|napełniać|zapełniać	przepełniać
wyposażyć|zaopatrzyć	urządzić
wyposażyć|zaopatrzyć	zainstalować|zamontować|założyć
wyposażyć|zaopatrzyć	zinformatyzować|skomputeryzować
wymawiać|artykułować|wypowiadać	zwężać|ścieśniać
wymawiać|artykułować|wypowiadać	mówić
wyrwać|wydrzeć	przerwać
wyrwać|wydrzeć	przerwać
wypisać się|wystąpić	przepisać się
wykładać	wystawiać
wyłożyć	wystawić
wypisywać się|występować	przepisywać się
zgasić|wyłączyć|zamknąć|wygasić|zagasić	przygasić
zgasić|wyłączyć|zamknąć|wygasić|zagasić	przygasić|przytłumić
powtórzyć	przetopić
powtórzyć	przekopać
zwiększać się|rosnąć|powiększać się|rozrastać się	zagłuszyć
zwiększać się|rosnąć|powiększać się|rozrastać się	głuszyć|zagłuszać
zwiększać się|rosnąć|powiększać się|rozrastać się	urastać
włączać	zapalać|świecić|zaświecać
zablokować|zatamować|zatarasować|zagrodzić	zabarykadować się|zatarasować się
zabrać|pozbawić|odebrać	zniewolić
zagrać	zagrać
zagrać	zagrać
usiąść|siąść	dosiąść się|przysiąść się
zasypać	zakopać
zakwalifikować|zaliczyć|zaklasyfikować	przeklasyfikować
zamknąć|zawrzeć	przyskrzynić|przytrzasnąć
zamówić|zadysponować	rozdysponować
zamykać|zawierać	przytrzaskiwać
zaplanować|obmyślić|rozplanować|zaprojektować|ułożyć	urządzić
zaproponować|zgłosić	przedłożyć|przedstawić
zarobkować|zarabiać	utrzymywać
zarobić|zyskać	utrzymać|wyżywić
zarządzać|administrować|menedżerować|zawiadywać|gospodarować	dawać
zarządzać|administrować|menedżerować|zawiadywać|gospodarować	pozarządzać
zastąpić|zająć miejsce	wyręczyć|odciążyć
zastępować|zajmować miejsce	wyręczać|odciążać
zatrzymać|wstrzymać|powstrzymać	przetrzymać
zanalizować|zbadać|przeanalizować|przebadać	zrecenzować|skrytykować
zanalizować|zbadać|przeanalizować|przebadać	omówić
zbierać|gromadzić|zgromadzać	uzbierać
zbliżyć się|przybliżyć się	dosięgnąć|sięgnąć
zdawać	zdawać
oddawać	sprywatyzować
oddawać	prywatyzować
zdjąć	rozpakować|odpakować
zgromadzić się|zebrać się|zgrupować się	wylec|wysypać się
zgromadzić|zgrupować|zebrać	pościągać
zjeść|spożyć|skonsumować|posilić się|pożywić się	dziobnąć|dzióbnąć|skubnąć
zmusić|wymóc|wymusić|zniewolić|przymusić	zgwałcić
zmuszać|przymuszać|wymuszać|zniewalać	poskramiać|ujarzmiać
zniszczyć	splądrować
zobowiązywać się|podejmować się|obligować się	subskrybować
tępić|wypleniać|trzebić	deratyzować|odszczurzać
zwalniać|odprawiać	zarządzać|administrować|menedżerować|zawiadywać|gospodarować
życzyć|składać życzenia|winszować	kolędować
złamać|przełamać|rozłamać	wyłamać
łamać|przełamywać|rozłamywać	wyłamywać
przekazać	podać|odegrać
ponieść konsekwencje złamania prawa lub normy społecznej	zhańbić się|pohańbić się|okryć się hańbą|splugawić się
dodać	dokupić
dodać	doświetlić
dodać	dopłacić
wzbudzać uczucia negatywne	nachodzić
walczyć|bić się	zwojować
walczyć|bić się	oblegać
walczyć|bić się	oblec|oblegnąć
walczyć|bić się	staczać
walczyć|bić się	powalczyć
walczyć|bić się	zwalczyć
dostarczać	dotleniać
dostarczać	nawadniać|nawodniać
dostarczać	oddawać|dawać
dostarczać	przesyłać|posyłać|wysyłać|słać
mieć|być w posiadaniu|posiadać	zachować|zatrzymać|schować
mieć|być w posiadaniu|posiadać	zachowywać|zatrzymywać
kraść|zgarniać|zwijać	okradać|obrabiać
kraść|zgarniać|zwijać	plądrować
kraść|zgarniać|zwijać	grasować|hulać|panoszyć się
przekazywać	podawać|odgrywać
rabować|grabić|łupić	szarpać
rozdawać	obdzielić
rozdawać	obdzielać
marnować|marnotrawić|tracić	strawić
marnować|marnotrawić|tracić	puszczać
utrzymywać	chować|trzymać
podawać|odgrywać	grać
wyposażać|zaopatrywać	doposażyć
wyposażać|zaopatrywać	doposażać
wyposażać|zaopatrywać	urządzać
wyposażać|zaopatrywać	obszyć
wyposażać|zaopatrywać	obszywać
wyposażać|zaopatrywać	montować|instalować|zakładać|zamontowywać
wyposażać|zaopatrywać	komputeryzować|informatyzować
dodawać	dokupować|dokupywać
dodawać	doświetlać
dodawać	dopłacać
dawać	wymieniać się|zamieniać się
dać	wymienić się|zamienić się
zużyć	wydać|wyłożyć
martwić się|boleć|cierpieć|smucić się	namartwić się
dogadzać|skakać	rozpieścić
połakomić się|połasić się|połaszczyć się	wyciągnąć rękę
wybaczać|przebaczać|darowywać|odpuszczać	rozgrzeszać|udzielać rozgrzeszenia|dawać rozgrzeszenie
śmiać się	uśmiać się|naśmiać się|obśmiać się
tchórzyć|chować głowę w piasek	rejterować|dezerterować
zawieść|rozczarować|sprawić zawód	rozminąć się|minąć się
zawieść|rozczarować|sprawić zawód	rozmijać się|mijać się
chcieć|mieć chęć|mieć ochotę|życzyć sobie	zgłaszać się
chcieć|mieć chęć|mieć ochotę|życzyć sobie	zgłosić się
karmić|żywić|odżywiać|wykarmiać	chować|trzymać
karmić|żywić|odżywiać|wykarmiać	sycić|nasycać
karmić|żywić|odżywiać|wykarmiać	nasycić
karmić|żywić|odżywiać|wykarmiać	odpasać
pić|wypijać	wysączać
pić|wypijać	ufetować się|uraczyć się
pić|wypijać	smakować
pić|wypijać	opijać
pisać	dopisywać
pisać	odpisywać|odpowiadać
pisać	popisać
pisać	przepisywać|odpisywać
przedstawić	obgadać|obrobić|obmówić|oczernić|obsmarować
przywołać	grać|grać w karty
skrytykować	czepić się|przyczepić się|przypiąć się|doczepić się
opowiadać	podbarwiać
opowiadać	rozpowiedzieć|rozgadać
opowiadać	rozpowiadać|rozgadywać
opowiadać	spalić
wymienić|wyliczyć|wyszczególnić	policzyć
wymienić|wyliczyć|wyszczególnić	spisać
zdać	zdać
wybrać	optować
wymyślać	nawymyślać
ubierać|wkładać|nakładać|zakładać|wdziewać	przymierzać|mierzyć
ubierać|wkładać|nakładać|zakładać|wdziewać	przebierać
ubierać|wkładać|nakładać|zakładać|wdziewać	przebierać
wlać|nalać	zalać
wlać|nalać	przelać
wlać|nalać	odlać
wylewać	lać wosk
wyrywać	przerywać
wyrywać	odchwaścić|opleć|wypielić
wyrywać	odchwaszczać|pleć|opielać|pielić|wypielać
wyrywać	przerywać
gasić|wygaszać|zagaszać	przygaszać|przytłumiać
leźć	wleźć
leźć	włazić
leźć	włazić
leźć	wleźć
łazić|łazęgować|łazikować	połazić|powałęsać się|powłóczyć się|poszwendać się|pobłąkać się|pobłądzić|połazikować
oblewać|polewać	płukać|opłukiwać|wypłukiwać
odbijać się	pluskać
okrążyć	oborać
opierać	weprzeć|zaprzeć
opierać	wpierać|zapierać
poruszać się|ruszać się	poruszać się
prowadzić|wieść	przeciąć
przechodzić	popchnąć
przechodzić	popychać
przechodzić	potrącać|trącać
przeciągnąć	przetkać|przepchnąć|przepchać
przemieszczać się|poruszać się|przenosić się	zrównywać się
przemieszczać się|poruszać się|przenosić się	koczować
przemieszczać się|poruszać się|przenosić się	wejść
przemieszczać się|poruszać się|przenosić się	wchodzić
przemieszczać się|poruszać się|przenosić się	zaczepić|zaczepić się|zahaczyć|zahaczyć się|zawadzić
przemieszczać się|poruszać się|przenosić się	zaczepiać|zaczepiać się|zahaczać|zahaczać się|zawadzać
przemieszczać się|poruszać się|przenosić się	wpaść|wlecieć|zderzyć się|władować się|wpakować się
przemieszczać się|poruszać się|przenosić się	mijać
umieszczać|lokować|sytuować|umiejscawiać|usadawiać	zakrywać
zwiedzać	pojeździć
informować|udzielać informacji	zorientować
informować|udzielać informacji	orientować
witać|witać się	spotykać|napotykać
pokrywać	izolować
okrywać	owijać|zawijać|obwijać|spowijać
hamować|wyhamowywać	zahamować
hamować|wyhamowywać	zahamować|wyhamować
umożliwiać	upoważniać|uprawniać|upełnomocniać
decydować|postanawiać|podejmować decyzję	gospodarować
decydować|postanawiać|podejmować decyzję	zarządzać
rozbijać|gruchotać	rozpruwać|pruć
buchać	tryskać|wytryskać|wytryskiwać|strzykać
zapalić	odpalić
piec	dopiekać
piec	przypiekać|podpiekać
smażyć	nasmażyć się
smażyć	obsmażać
smażyć	wysmażać
smażyć	zasmażać
smażyć	przysmażać|podsmażać
gryźć	podgryźć|podjeść|podeżreć
gryźć	podgryzać|podjadać|podżerać
gryźć	przygryźć
gryźć	zgryźć
gryźć	zgryzać
gryźć	pogryźć
gryźć	odgryźć
gryźć	odgryzać
gryźć	obgryźć|ogryźć
gryźć	obgryzać|ogryzać
gryźć	wygryzać
gryźć	wygryźć
gryźć	rozgryzać
gryźć	rozgryźć
gryźć	przegryźć
gryźć	przegryzać
gryźć	wygryźć
gryźć	chrupać
gryźć	jeść|spożywać|zjadać|konsumować|posilać się|pożywiać się
wypić	opić
chodzić|stawiać kroki	uchodzić się|nachodzić się|schodzić się
chodzić|stawiać kroki	obchodzić
chodzić|stawiać kroki	przechodzić
chodzić|stawiać kroki	deptać
chodzić|stawiać kroki	pochodzić
chodzić|stawiać kroki	nosić
chodzić|stawiać kroki	iść|zmierzać|podążać
dotknąć|tknąć	podotykać
dotknąć|tknąć	dosięgnąć|dostać
dotknąć|tknąć	przesunąć
dotknąć|tknąć	ruszyć|poruszyć|wprawić w ruch
frunąć|fruwać	odfrunąć
frunąć|fruwać	odfruwać
frunąć|fruwać	przefrunąć
frunąć|fruwać	przefruwać
frunąć|fruwać	sfrunąć
frunąć|fruwać	sfruwać
frunąć|fruwać	wyfrunąć
frunąć|fruwać	wyfruwać
frunąć|fruwać	nadfrunąć
frunąć|fruwać	przyfrunąć
frunąć|fruwać	przyfruwać
frunąć|fruwać	nadfruwać
kłócić się|wadzić się|waśnić się|sprzeczać się	wykłócać się
kłócić się|wadzić się|waśnić się|sprzeczać się	wykłócić się
kłócić się|wadzić się|waśnić się|sprzeczać się	nawojować się
iść|zmierzać|podążać	dochodzić|zachodzić
iść|zmierzać|podążać	przemierzyć
iść|zmierzać|podążać	rozchodzić się
iść|zmierzać|podążać	rozejść się
iść|zmierzać|podążać	przychodzić
iść|zmierzać|podążać	wyprzedzić|poprzedzić|przegonić|prześcignąć
iść|zmierzać|podążać	przejść
iść|zmierzać|podążać	przejść
iść|zmierzać|podążać	wodzić
iść|zmierzać|podążać	odchodzić
iść|zmierzać|podążać	przemierzać
iść|zmierzać|podążać	wyprzedzać|przeganiać|prześcigać
iść|zmierzać|podążać	przyjść|nadejść
iść|zmierzać|podążać	podejść|przystąpić
iść|zmierzać|podążać	podchodzić|przystępować
kroić|krajać	ukroić|ukrajać
kroić|krajać	odkroić|odkrajać
kroić|krajać	odkrawać
latać	wylatać
latać	oblatać
latać	oblatywać
latać	polatać
lecieć	nurkować
lecieć	oblecieć
lecieć	oblatywać
lecieć	odlecieć
lecieć	odlatywać
lecieć	podlecieć
lecieć	przelecieć
lecieć	przelatywać
lecieć	zlecieć
lecieć	zlatywać
lecieć	planować
lecieć	przelecieć
lecieć	przelatywać
lecieć	przylecieć
lecieć	przylatywać
lecieć	nadlecieć
lecieć	nadlatywać|podlatywać
lecieć	wpadać
lecieć	wpaść
lecieć	zlecieć|zwalić się
lecieć	zlatywać|zwalać się
lecieć	dolecieć|zalecieć
lecieć	dolatywać|zalatywać
lecieć	zanurkować
łączyć	podłączać
łączyć	podłączyć
łączyć	przyłączyć
łączyć	przyłączać
maszerować	pomaszerować
naciskać|przyciskać|uciskać	sprężać
naciskać|przyciskać|uciskać	załamać|zarwać
naciskać|przyciskać|uciskać	załamywać|zarywać
naciskać|przyciskać|uciskać	wybrać numer
naciskać|przyciskać|uciskać	wybierać numer
naciskać|przyciskać|uciskać	wcisnąć
naciskać|przyciskać|uciskać	wpierać|zapierać
naciskać|przyciskać|uciskać	odbijać|odciskać|odgniatać
naciskać|przyciskać|uciskać	wciskać
oświetlać	prześwietlać
stać	ustać
stać	wystać
wędrować	nawędrować się
wędrować	wywędrować
wędrować	przewędrować
wędrować	przewędrować
zdejmować	rozpakowywać|odpakowywać
drukować	dodrukowywać
drukować	dodrukowywać
drukować	dodrukować|dobić
wydrukować	dodrukować
powtarzać	przetapiać
powtarzać	przekopywać
powtarzać	retransmitować
robić|wytwarzać	zasiedzieć się
szyć	poszyć
szyć	wdać
szyć	wdawać
szyć	wyszyć
szyć	wyszywać
szyć	wyszyć
szyć	wyszywać
szyć	zacerować
szyć	zszyć|zeszyć
szyć	zszywać|zeszywać
szyć	zebrać
szyć	zbierać
szyć	przyszyć
szyć	obrobić
szyć	obrabiać
szyć	podkładać
szyć	naszywać
szyć	przyszywać
szyć	przeszywać
szyć	przeszyć
szyć	cerować
scalać|spajać|zespalać|złączać|przyłączać	rzucać
scalać|spajać|zespalać|złączać|przyłączać	komponować|kombinować|kompilować
współuczestniczyć|partnerować	koncelebrować
kierować|dyrygować	pokierować
kierować|dyrygować	reżyserować
kierować|dyrygować	wyreżyserować
głaskać|gładzić	ugłaskiwać
głaskać|gładzić	ugłaskać
łaskotać|łechtać|łachotać	połechtać|połaskotać|połachotać
klepać	wyklepać|oklepać
klepać	poklepać
klepać	uklepywać
klepać	uklepać
dusić się	podusić się
manewrować	wymanewrować
manewrować	wymanewrowywać
numerować	parafować
spacerować|przechadzać się	pospacerować|przespacerować się
spacerować|przechadzać się	przespacerować
spacerować|przechadzać się	przespacerować
rejestrować	przerejestrowywać
gładzić|wygładzać|ogładzać	prostować|rozprostowywać|wyprostowywać
prasować|odprasowywać	zaprasowywać
prasować|odprasowywać	zaprasować
czyścić|oczyszczać|wyczyszczać	przeczyścić
płukać|opłukiwać|wypłukiwać	wypłukać|wymyć
płukać|opłukiwać|wypłukiwać	wypłukiwać|wymywać
szorować|trzeć	przecierać|wycierać|ścierać
szorować|trzeć	przecierać|wycierać|obcierać
szorować|trzeć	przetrzeć|wytrzeć|zetrzeć
szorować|trzeć	przetrzeć|wytrzeć|obetrzeć
szorować|trzeć	zatrzeć
tasować|przetasowywać	grać|grać w karty
szperać|bobrować|myszkować|buszować|plądrować	poszperać
szperać	doszperać się
wydzielać	reglamentować
spakować|zapakować|upakować	wypakowywać|upychać
spakować|zapakować|upakować	upakować|wypakować|upchać|upchnąć
człapać	poczłapać
stąpać	kląskać
stąpać	postępować
stąpać	postąpić
kaszleć|kasłać	odkaszlnąć
kaszleć|kasłać	zakaszleć się|zakasłać się
czaić się|czatować|czyhać|przyczajać się|zaczajać się|zasadzać się|dybać	przycupnąć
wydostać się	wyrosnąć
przesuwać się	dosięgnąć|sięgnąć
przesuwać się	dosięgać|sięgać
kąsać|gryźć	zagryźć
kąsać|gryźć	zagryzać
kaleczyć|kiereszować	chlastać
kaleczyć|kiereszować	masakrować
kaleczyć|kiereszować	ciąć
kaleczyć|kiereszować	ukłuć
kaleczyć|kiereszować	kłuć
wyrazić|okazać|objawić|uzewnętrznić	wypowiedzieć się
wyrazić|okazać|objawić|uzewnętrznić	sformułować|wyrazić|ująć|wyartykułować
napisać	dopisać
napisać	odpisać|odpowiedzieć
napisać	przepisać|odpisać
napisać	przepisać
nakreślić	przerysować|odrysować
zdradzić	wydać
wzbudzić uczucia negatywne	najść
wedrzeć się|wtargnąć	włamać się
drzemać	przedrzemać
drzemać	podrzemać
poić	przepoić
poić	przepajać
dobierać	kupować
dobierać	kupić
rysować	porysować
rysować	porysować
rysować	wyrysować
rysować	wyrysowywać
rysować	rozrysowywać
rysować	rozrysować
rysować	dorysować
rysować	dorysowywać
rysować	nakreślić
rysować	wyrysowywać|wykreślać
rysować	wrysować
rysować	wrysowywać
rysować	obrysowywać
rysować	obrysować
rysować	przerysowywać|odrysowywać
rysować	kreślić
kreślić|mazać	pokreślić
oddzielać	odlewać
brnąć	zabrnąć
brnąć	brnąć
odmalować|namalować	podmalować
opatrzyć	leczyć|kurować|uleczać
przemieszczać	osiedlać|osadzać
oddziałać|podziałać|wpłynąć	wedrzeć się
oddziałać|podziałać|wpłynąć	dotrzeć
oddziałać|podziałać|wpłynąć	zahipnotyzować
zmniejszać|pomniejszać	sprężać
zmniejszać|pomniejszać	odwadniać|odwodniać
kurczyć|kulić|stulać|tulić|skulać	podwijać|podkurczać|podkulać
kurczyć|kulić|stulać|tulić|skulać	przykurczać
pocić się|potnieć	napocić się
krwawić	pokrwawić|zakrwawić|okrwawić|skrwawić
krwawić	zakrwawiać|okrwawiać
łzawić	płakać|wylewać łzy|lać łzy|ronić łzy
marznąć	kostnieć
ziębić|oziębiać	przesycać
ziębić|oziębiać	wachlować
ostudzać|studzić|wystudzać	odpuszczać|odhartowywać
ssać	wysysać
ssać	wyssać
budować|wznosić|stawiać	nastawiać się
budować|wznosić|stawiać	przebudowywać się
budować|wznosić|stawiać	przebudować się
budować|wznosić|stawiać	przebudowywać
budować|wznosić|stawiać	przebudować
budować|wznosić|stawiać	podbudowywać
budować|wznosić|stawiać	podbudować
budować|wznosić|stawiać	spinać
budować|wznosić|stawiać	spiąć
budować|wznosić|stawiać	zabudowywać
budować|wznosić|stawiać	odbudować
murować	zamurować
murować	zamurować
murować	obmurowywać
malować	wymalować
malować	wymalowywać
malować	domalowywać
malować	mazerować|słojować
malować	bejcować
malować	pomalować
malować	pomalować
malować	domalować
malować	domalowywać
ukierunkowywać|nakierowywać|nastawiać|orientować	przeorientować
brudzić|babrać|paprać|zabrudzać	szargać
sikać|oddawać mocz	wysikać
ejakulować	dochodzić|szczytować
myć	przemyć|przepłukać|obmyć|omyć
myć	przemywać|przepłukiwać|obmywać|omywać
myć	wymywać
myć	wymyć
zakładać	przebrać się
zakładać	przebierać się
rodzić	ronić
rodzić	poronić
rozmnażać się|rozradzać się	zagnieżdżać się|zalęgać się|zakładać legowisko
chlipać|szlochać	wychlipać
chlipać|szlochać	wychlipywać
kruszyć|drobić|rozkruszać	wykruszyć
kruszyć|drobić|rozkruszać	wdrobić
kruszyć|drobić|rozkruszać	wykruszać
kruszyć|drobić|rozkruszać	wykruszać
rysować	porysować|pokreślić
pokazać	obnieść
pokazać	pokazać
pokazać	wczytać
męczyć	wywodzić
męczyć	przemęczyć
męczyć	wykończać|wykańczać|wyczerpywać|wycieńczać|zabijać
niszczyć	plądrować
niszczyć	pustoszyć
pokryć	ocynować
pokryć	ocynkować
pokryć	zaizolować
tłuc|przydzwaniać|przywalać|przygrzewać|dogrzewać|łupać|rypać|rżnąć	tłuc
sypać	zsypywać
sypać	zsypać
sypać	zsypać
sypać	dosypywać
sypać	dosypać
sypać	wysypać
sypać	wysypywać
sypać	usypać
sypać	usypywać
sypać	przysypywać
sypać	zasypać
sypać	zasypywać
sypać	rozsypywać
sypać	obsypać|osypać
sypać	obsypywać|posypywać|osypywać
sypać	zsypywać
przewrócić|wywrócić	rozłożyć
przewracać|wywracać	rozkładać
ciąć	naciąć się
ciąć	uciąć
ciąć	rozciąć się
ciąć	wciąć
ciąć	wcinać
ciąć	przeciąć
ciąć	okrawać|okrajać|obrzynać
ciąć	okroić|oberżnąć
ciąć	przecinać
podważać	wyłupywać
marszczyć|ściągać	pościągać
kleić|lepić|sklejać|zlepiać	wykleić
kleić|lepić|sklejać|zlepiać	wyklejać
kleić|lepić|sklejać|zlepiać	oblepiać|oklejać|obklejać
kleić|lepić|sklejać|zlepiać	przykleić|przylepić|nakleić|nalepić
kleić|lepić|sklejać|zlepiać	przyklejać|przylepiać|naklejać|nalepiać
pościć	praktykować
przyszywać	obszywać
przyszywać	obszyć
przyszywać	naszywać
przyszywać	obrębić
przyszywać	obrębiać
przyszywać	doszyć
przyszywać	doszywać
przyszywać	łatać
przyszywać	załatać
moczyć	rozmaczać
moczyć	rozmoczyć
deptać|przydeptywać	rozdeptać
deptać|przydeptywać	rozdeptywać
deptać|przydeptywać	wdeptać
deptać|przydeptywać	wdeptywać
deptać|przydeptywać	tratować
deptać|przydeptywać	wydeptywać|zadeptywać
deptać|przydeptywać	udeptywać
deptać|przydeptywać	stratować
hałasować|robić hałas	bębnić
hałasować|robić hałas	tłuc się
hulać|szaleć|szumieć	wyszaleć się|wyszumieć się
hulać|szaleć|szumieć	przetańczyć
hulać|szaleć|szumieć	przehulać
wiać	wwiewać
wiać	wywiać
wiać	wwiać
wiać	nawiać
wiać	rozwiać
wiać	rozwiewać
wiać	rozwiać
wiać	rozwiewać
wiać	nadmuchać|nawiać
wiać	przewiać
wiać	przewiać
wiać	przewiewać
wiać	przewiewać
wiać	przewiać
wiać	nawiewać
wiać	zawiać
wiać	zawiać
wiać	owiewać
wiać	nawiewać|nadmuchiwać
wiać	zacinać
wiać	zwiać
wiać	wywiewać
wiać	przewiewać
popisywać się	mądrzyć się|mędrkować|wymądrzać się|przemądrzać się
popisywać się	paradować|defilować
włóczyć się|błąkać się|pałętać się|rozbijać się|szastać się|szwendać się|tłuc się|tułać się|wałęsać się|poniewierać się|pętać się	wagarować
krztusić się|dławić się|zachłystywać się	zanieść się
trenować	potrenować
ćwiczyć	poćwiczyć
trenować	potrenować
nauczyć	wychować
łazić	przełazić
trącić|potrącić	wytrącić
potrącać|trącać	brząknąć|brzęknąć|szczęknąć
potrącać|trącać	brząkać|brzękać|szczękać
potrącać|trącać	wytrącać
potrącać|trącać	strącać
potrącać|trącać	strącić
potrącać|trącać	pałętać się
gonić|uganiać się|ganiać	nauganiać się|nabiegać się
demontować|rozmontowywać|rozbierać|składać	wymontować
demontować|rozmontowywać|rozbierać|składać	wymontowywać
męczyć się|forsować się	przemęczyć się
zmęczyć się|sforsować się|umęczyć się|znużyć się	zgrzać się
zmęczyć się|sforsować się|umęczyć się|znużyć się	ujechać się|najechać się
zmęczyć się|sforsować się|umęczyć się|znużyć się	ugadać się|nagadać się
zmęczyć się|sforsować się|umęczyć się|znużyć się	nagotować się
zmęczyć się|sforsować się|umęczyć się|znużyć się	nawędrować się
zmęczyć się|sforsować się|umęczyć się|znużyć się	nastawiać się
zmęczyć się|sforsować się|umęczyć się|znużyć się	nastawiać się
zmęczyć się|sforsować się|umęczyć się|znużyć się	nawozić się
zmęczyć się|sforsować się|umęczyć się|znużyć się	nałapać się
zmęczyć się|sforsować się|umęczyć się|znużyć się	narąbać się
zmęczyć się|sforsować się|umęczyć się|znużyć się	uchodzić się|nachodzić się|schodzić się
zmęczyć się|sforsować się|umęczyć się|znużyć się	namnożyć się
