desperacja	desperować
włączanie	włączać
pudrowanie	pudrować
rozpraszanie	rozpraszać
dekoncentrowanie	dekoncentrować
rozrzucanie	rozrzucać
rozpylanie	rozpylać
zwalanie	zwalać
zrzucanie	zrzucać
uwiązywanie	uwiązywać
plasowanie	plasować
namaczanie	namaczać
upychanie	upychać
utykanie	utykać
podstawianie	podstawiać
podkładanie	podkładać
wszywanie	wszywać
rozsiewanie	rozsiewać
zatykanie	zatykać
zasadzanie	zasadzać
wtykanie	wtykać
wsuwanie	wsuwać
wciskanie	wciskać
przerzucanie	przerzucać
rozsadzanie	rozsadzać
usadzanie	usadzać
usadawianie	usadawiać
różowanie	różować
maczanie	maczać
podtapianie	podtapiać
rozmieszczanie	rozmieszczać
rozlokowywanie	rozlokowywać
przystawianie	przystawiać
minowanie	minować
decentralizowanie	decentralizować
wstawianie	wstawiać
zakotwiczanie	zakotwiczać
wkręcanie	wkręcać
wsypywanie	wsypywać
nasypywanie	nasypywać
zatapianie	zatapiać
topienie	topić
torpedowanie	torpedować
pomieszczanie	pomieszczać
malowanie się	malować się
sadowienie	sadowić
usadawianie	usadawiać
nastawianie	nastawiać
stawianie	stawiać
uzbrajanie	uzbrajać
nakładanie	nakładać
nanoszenie	nanosić
szklenie	szklić
rozklejanie	rozklejać
rozlepianie	rozlepiać
plakatowanie	plakatować
zapuszczanie	zapuszczać
odwieszanie	odwieszać
zadawanie	zadawać
oprawianie	oprawiać
wprawianie	wprawiać
tynkowanie	tynkować
rozstrzeliwanie	rozstrzeliwać
garażowanie	garażować
parkowanie	parkować
wywieszanie	wywieszać
narzucanie	narzucać
zarzucanie	zarzucać
przesadzanie	przesadzać
umieszczanie	umieszczać
lokowanie	lokować
lokalizowanie	lokalizować
sytuowanie	sytuować
umiejscawianie	umiejscawiać
usadawianie	usadawiać
przesypywanie	przesypywać
taklowanie	taklować
wkopywanie	wkopywać
zapychanie	zapychać
rozwieszanie	rozwieszać
obwieszanie	obwieszać
zawieszanie	zawieszać
zamykanie	zamykać
kulbaczenie	kulbaczyć
przywieszanie	przywieszać
uwieszanie	uwieszać
zawieszanie	zawieszać
rozcieranie	rozcierać
zanurzanie	zanurzać
krawędziowanie	krawędziować
wieszanie	wieszać
zawieszanie	zawieszać
wpędzanie	wpędzać
wganianie	wganiać
dostawianie	dostawiać
podstawianie	podstawiać
doholowywanie	doholowywać
doprowadzanie	doprowadzać
sprowadzanie	sprowadzać
przyprowadzanie	przyprowadzać
doholowywanie	doholowywać
przewodzenie	przewodzić
prowadzenie	prowadzić
przyholowywanie	przyholowywać
przywodzenie	przywodzić
przyganianie	przyganiać
przypędzanie	przypędzać
spędzanie	spędzać
zapędzanie	zapędzać
zaganianie	zaganiać
zganianie	zganiać
zaprowadzanie	zaprowadzać
wprowadzanie	wprowadzać
wwodzenie	wwodzić
ogrywanie	ogrywać
zaprawianie	zaprawiać
wprawianie	wprawiać
wyrabianie	wyrabiać
wykształcanie	wykształcać
wyrabianie	wyrabiać
gimnastykowanie	gimnastykować
gimnastykowanie	gimnastykować
ćwiczenie	ćwiczyć
trenowanie	trenować
tresowanie	tresować
rozciąganie się	rozciągać się
układanie	układać
szlifowanie	szlifować
wyszlifowywanie	wyszlifowywać
doszlifowywanie	doszlifowywać
wykuwanie	wykuwać
ugładzanie	ugładzać
wygładzanie	wygładzać
doskonalenie	doskonalić
ćwiczenie	ćwiczyć
trenowanie	trenować
udoskonalanie	udoskonalać
wydoskonalanie	wydoskonalać
kształcenie	kształcić
kształtowanie	kształtować
formowanie	formować
modelowanie	modelować
urabianie	urabiać
wykształcanie	wykształcać
rozwijanie	rozwijać
przeformowywanie	przeformowywać
socjalizowanie	socjalizować
czulenie się	czulić się
obnoszenie się	obnosić się
afiszowanie się	afiszować się
obnoszenie	obnosić
emanowanie	emanować
upokarzanie się	upokarzać się
unaocznianie	unaoczniać
uobecnianie	uobecniać
wiwatowanie	wiwatować
nabzdyczanie się	nabzdyczać się
obsypywanie	obsypywać
osypywanie	osypywać
litowanie się	litować się
gruchanie	gruchać
przejawianie	przejawiać
zionięcie	zionąć
manifestowanie	manifestować
ubolewanie	ubolewać
użalanie się	użalać się
krygowanie się	krygować się
żałowanie	żałować
objawianie	objawiać
ugłaskiwanie	ugłaskiwać
krzywienie się	krzywić się
skrzywianie się	skrzywiać się
honorowanie	honorować
pieszczenie	pieścić
cieszenie się	cieszyć się
radowanie się	radować się
weselenie się	weselić się
dawanie ujścia	dawać ujście
afiszowanie	afiszować
uśmiechanie się	uśmiechać się
posyłanie uśmiechu	posyłać uśmiech
promieniowanie	promieniować
okazywanie	okazywać
demonstrowanie	demonstrować
uzewnętrznianie	uzewnętrzniać
wykazywanie	wykazywać
wylewanie	wylewać
wyrażanie	wyrażać
zianie	ziać
czczenie	czcić
chwalenie	chwalić
adorowanie	adorować
pokazywanie	pokazywać
wionięcie	wionąć
czczenie	czcić
wyliczenie	wyliczyć
odliczenie	odliczyć
naliczenie	naliczyć
potrącenie	potrącić
odtrącenie	odtrącić
strącenie	strącić
odjęcie	odjąć
doliczenie	doliczyć
dodanie	dodać
zsumowanie	zsumować
podsumowanie	podsumować
podliczenie	podliczyć
odpisanie	odpisać
uśrednienie	uśrednić
porachowanie	porachować
policzenie	policzyć
obrachowanie	obrachować
obliczenie	obliczyć
wyliczenie	wyliczyć
skalkulowanie	skalkulować
wykalkulowanie	wykalkulować
podniesienie	podnieść
wyrachowanie	wyrachować
zliczenie	zliczyć
obliczenie się	obliczyć się
obrachowanie się	obrachować się
skapitalizowanie	skapitalizować
pomnożenie	pomnożyć
przemnożenie	przemnożyć
podzielenie	podzielić
przerobienie	przerobić
zamurowanie	zamurować
zutylizowanie	zutylizować
strawestowanie	strawestować
zakneblowanie	zakneblować
przeszycie	przeszyć
uciszenie	uciszyć
przetworzenie	przetworzyć
sparodiowanie	sparodiować
unieszkodliwienie	unieszkodliwić
przebicie	przebić
sproszkowanie	sproszkować
wybicie	wybić
dopasowanie	dopasować
rozkodowanie	rozkodować
odkodowanie	odkodować
rozszyfrowanie	rozszyfrować
odszyfrowanie	odszyfrować
sparafrazowanie	sparafrazować
przetopienie	przetopić
zakodowanie	zakodować
przetworzenie	przetworzyć
przetransponowanie	przetransponować
zmetamorfizowanie	zmetamorfizować
skonwertowanie	skonwertować
zamówienie	zamówić
zredukowanie	zredukować
odtlenienie	odtlenić
inaktywowanie	inaktywować
upłynnienie	upłynnić
skondensowanie	skondensować
odmienienie	odmienić
przedzierzgnięcie	przedzierzgnąć
przeobrażenie	przeobrazić
przekształcenie	przekształcić
przemienienie	przemienić
przeformowanie	przeformować
skrystalizowanie	skrystalizować
wykrystalizowanie	wykrystalizować
zaklęcie	zakląć
spakowanie	spakować
przeistoczenie	przeistoczyć
utwardzenie	utwardzić
przestawianie	przestawiać
zaczarowanie	zaczarować
zneutralizowanie	zneutralizować
zobojętnienie	zobojętnić
sprowadzenie	sprowadzić
transponowanie	transponować
dopisywanie	dopisywać
kreślenie	kreślić
wyjęzyczanie się	wyjęzyczać się
sugerowanie	sugerować
dawanie do zrozumienia	dawać do zrozumienia
ryzykowanie	ryzykować
wyrażanie się	wyrażać się
formułowanie	formułować
wyrażanie	wyrażać
ujmowanie	ujmować
artykułowanie	artykułować
pisanie	pisać
stawianie	stawiać
wysławianie się	wysławiać się
skreślanie	skreślać
rozpisywanie się	rozpisywać się
wyprowadzanie	wyprowadzać
przeformułowywanie	przeformułowywać
panowanie	panować
określanie	określać
oddziaływanie	oddziaływać
wpływanie	wpływać
rzutowanie	rzutować
działanie	działać
uroczenie	uroczyć
warunkowanie	warunkować
uwarunkowywanie	uwarunkowywać
determinowanie	determinować
kierowanie	kierować
przyświecanie	przyświecać
interferowanie	interferować
zaważanie	zaważać
triumfowanie	triumfować
tryumfowanie	tryumfować
służenie	służyć
rzucanie	rzucać
rzucanie	rzucać
promieniowanie	promieniować
przeważanie	przeważać
zwyciężanie	zwyciężać
decydowanie	decydować
rozstrzyganie	rozstrzygać
stanowienie	stanowić
przesądzanie	przesądzać
docieranie	docierać
dobywanie się	dobywać się
nadlatywanie	nadlatywać
wlewanie się	wlewać się
zaciąganie	zaciągać
wsączanie się	wsączać się
nasuwanie się	nasuwać się
sączenie się	sączyć się
płynięcie	płynąć
przypływanie	przypływać
dolatywanie	dolatywać
dochodzenie	dochodzić
dobieganie	dobiegać
nadpływanie	nadpływać
zionięcie	zionąć
bluzganie	bluzgać
bicie	bić
tryskanie	tryskać
wytryskanie	wytryskać
wytryskiwanie	wytryskiwać
strzykanie	strzykać
wypryskiwanie	wypryskiwać
buchanie	buchać
pryskanie	pryskać
bryzganie	bryzgać
zianie	ziać
sikanie	sikać
rozpryskiwanie się	rozpryskiwać się
rozbryzgiwanie się	rozbryzgiwać się
wybuchanie	wybuchać
rzyganie	rzygać
wyciekanie	wyciekać
sączenie się	sączyć się
chlastanie	chlastać
płynięcie	płynąć
przesączanie się	przesączać się
wylewanie się	wylewać się
ulewanie się	ulewać się
kipienie	kipieć
przeciekanie	przeciekać
lanie się	lać się
lecenie	lecieć
musowanie	musować
szumienie	szumieć
toczenie się	toczyć się
cieknięcie	cieknąć
cieknięcie	ciec
ciurkanie	ciurkać
chlustanie	chlustać
burzenie się	burzyć się
przelewanie się	przelewać się
wysączanie się	wysączać się
pienienie się	pienić się
spienianie się	spieniać się
zaciekanie	zaciekać
wylatywanie	wylatywać
wybijanie się	wybijać się
odpływanie	odpływać
uchodzenie	uchodzić
ściekanie	ściekać
broczenie	broczyć
wybuchanie	wybuchać
wysypywanie się	wysypywać się
dymienie	dymić
dymienie się	dymić się
walenie	walić
sypanie się	sypać się
zsypywanie się	zsypywać się
kurzenie się	kurzyć się
wydostawanie się	wydostawać się
wydobywanie się	wydobywać się
uchodzenie	uchodzić
uciekanie	uciekać
wylewanie się	wylewać się
przeciekanie	przeciekać
wydzielanie się	wydzielać się
wywijanie się	wywijać się
odwijanie się	odwijać się
rozsypywanie się	rozsypywać się
wypływanie	wypływać
dobywanie się	dobywać się
wylewanie	wylewać
rozlewanie	rozlewać
ulatywanie	ulatywać
przesypywanie się	przesypywać się
emanowanie	emanować
monopolizowanie	monopolizować
zajmowanie	zajmować
sypanie się	sypać się
spływanie	spływać
zagarnianie	zagarniać
plenienie się	plenić się
rozprzestrzenianie się	rozprzestrzeniać się
rozszerzanie się	rozszerzać się
poszerzanie się	poszerzać się
pomykanie	pomykać
odparowywanie	odparowywać
rozlewanie się	rozlewać się
opanowywanie	opanowywać
podbijanie	podbijać
zawojowywanie	zawojowywać
zalewanie	zalewać
rozpływanie się	rozpływać się
rozwlekanie się	rozwlekać się
rozlewanie	rozlewać
kładzenie się	kłaść się
wleczenie się	wlec się
słanie się	słać się
ścielenie się	ścielić się
ciągnięcie się	ciągnąć się
rozpełzanie się	rozpełzać się
ulatnianie się	ulatniać się
obejmowanie	obejmować
rozchodzenie się	rozchodzić się
polewanie się	polewać się
rozmazywanie się	rozmazywać się
promieniowanie	promieniować
zajmowanie	zajmować
wzrastanie	wzrastać
zbieranie się	zbierać się
gromadzenie się	gromadzić się
grupowanie się	grupować się
piętrzenie się	piętrzyć się
spiętrzanie się	spiętrzać się
odkładanie się	odkładać się
wzbieranie	wzbierać
przyrastanie	przyrastać
przybywanie	przybywać
gnieżdżenie się	gnieździć się
narastanie	narastać
nawarstwianie się	nawarstwiać się
osadzanie się	osadzać się
naciekanie	naciekać
napływanie	napływać
nabieganie	nabiegać
śmiganie	śmigać
kwitnięcie	kwitnąć
kwiecenie się	kwiecić się
zakwitanie	zakwitać
rozkwitanie	rozkwitać
wyrastanie	wyrastać
pięcie się	piąć się
wegetowanie	wegetować
przerastanie	przerastać
kiełkowanie	kiełkować
wschodzenie	wschodzić
podrastanie	podrastać
odrastanie	odrastać
pączkowanie	pączkować
rozrastanie się	rozrastać się
rozwijanie się	rozwijać się
dojrzewanie	dojrzewać
dochodzenie	dochodzić
plenienie się	plenić się
rośnięcie	rosnąć
urastanie	urastać
wzrastanie	wzrastać
rozwijanie się	rozwijać się
pasanie się	pasać się
tycie	tyć
nabieranie ciała	nabierać ciała
nabieranie wagi	nabierać wagi
poprawianie się	poprawiać się
przybieranie na wadze	przybierać na wadze
pulchnienie	pulchnieć
zaokrąglanie się	zaokrąglać się
rozrastanie się	rozrastać się
rozbudowywanie się	rozbudowywać się
pogłębianie się	pogłębiać się
zwyżkowanie	zwyżkować
pęcznienie	pęcznieć
rośnięcie	rosnąć
wyrastanie	wyrastać
rozszerzanie się	rozszerzać się
poszerzanie się	poszerzać się
zwiększanie się	zwiększać się
potrajanie się	potrajać się
rozprężanie się	rozprężać się
przyrastanie	przyrastać
przybieranie	przybierać
wzbieranie	wzbierać
rozszerzanie się	rozszerzać się
rozpychanie się	rozpychać się
puchnięcie	puchnąć
nabrzmiewanie	nabrzmiewać
obrzmiewanie	obrzmiewać
obrzękanie	obrzękać
brzęknięcie	brzęknąć
nabrzękanie	nabrzękać
rozbudowywanie się	rozbudowywać się
obrastanie w sadło	obrastać w sadło
obrastanie w tłuszcz	obrastać w tłuszcz
porastanie sadłem	porastać sadłem
porastanie tłuszczem	porastać tłuszczem
zwielokrotnianie się	zwielokrotniać się
odpasanie się	odpasać się
rozdymanie się	rozdymać się
rozciąganie się	rozciągać się
wyciąganie się	wyciągać się
tuczenie się	tuczyć się
wypasanie się	wypasać się
płożenie się	płożyć się
podnoszenie się	podnosić się
podwyższanie się	podwyższać się
grubienie	grubieć
podwajanie się	podwajać się
dwojenie się	dwoić się
przedłużanie się	przedłużać się
wydłużanie się	wydłużać się
zwiększanie się	zwiększać się
rośnięcie	rosnąć
powiększanie się	powiększać się
rozrastanie się	rozrastać się
sabotowanie	sabotować
zamulanie	zamulać
zabagnianie	zabagniać
komplikowanie	komplikować
gmatwanie	gmatwać
wikłanie	wikłać
plątanie	plątać
zapętlanie	zapętlać
zaciemnianie	zaciemniać
torpedowanie	torpedować
mieszanie	mieszać
mącenie	mącić
przysłanianie	przysłaniać
przesłanianie	przesłaniać
głuszenie	głuszyć
zagłuszanie	zagłuszać
hermetyzowanie	hermetyzować
motanie	motać
GERUNDIUM - CZYNNOŚĆ NDK oznaczająca powodowanie zm. sytuacji związanej z łańcuchem przyczynowo-skutkowym lub czasowym	CZASOWNIK - CZYNNOŚĆ NDK oznaczający powodowanie zm. sytuacji związanej z łańcuchem przyczynowo-skutkowym lub czasowym
odwlekanie	odwlekać
odraczanie	odraczać
odpędzanie	odpędzać
opędzanie się	opędzać się
odsuwanie	odsuwać
oddalanie	oddalać
odkładanie	odkładać
oddalanie	oddalać
wstrzymywanie się	wstrzymywać się
odczekiwanie	odczekiwać
prolongowanie	prolongować
opóźnianie	opóźniać
przewlekanie	przewlekać
odciąganie	odciągać
przeganianie	przeganiać
wodzenie	wodzić
wiedzenie	wieść
ruszanie	ruszać
poruszanie	poruszać
wprawianie w ruch	wprawiać w ruch
napędzanie	napędzać
wahanie	wahać
trzęsienie	trząść
potrząsanie	potrząsać
wstrząsanie	wstrząsać
jeżdżenie	jeździć
przeciąganie	przeciągać
nakręcanie	nakręcać
przetrząsanie	przetrząsać
przesuwanie	przesuwać
wibrowanie	wibrować
manipulowanie	manipulować
manewrowanie	manewrować
wytrząsanie	wytrząsać
wiosłowanie	wiosłować
separowanie	separować
odcinanie	odcinać
separowanie	separować
odłączanie	odłączać
odrywanie	odrywać
izolowanie	izolować
odseparowywanie	odseparowywać
odosobnianie	odosobniać
odosabnianie	odosabniać
oddzielanie	oddzielać
odgradzanie	odgradzać
wyizolowywanie	wyizolowywać
wyizolowywanie	wyizolowywać
rozłączanie	rozłączać
rozdzielanie	rozdzielać
rozdrabnianie	rozdrabniać
polaryzowanie	polaryzować
polaryzowanie	polaryzować
indywidualizowanie	indywidualizować
dzielenie	dzielić
parcelowanie	parcelować
rozparcelowywanie	rozparcelowywać
rozbijanie	rozbijać
rozpraszanie	rozpraszać
rozwarstwianie	rozwarstwiać
różnicowanie	różnicować
gatunkowanie	gatunkować
oddzielanie	oddzielać
odgraniczanie	odgraniczać
rozgraniczanie	rozgraniczać
sortowanie	sortować
segregowanie	segregować
atomizowanie	atomizować
sekwencjonowanie	sekwencjonować
dzielenie	dzielić
klasyfikowanie	klasyfikować
kategoryzowanie	kategoryzować
kwalifikowanie	kwalifikować
typizowanie	typizować
grupowanie	grupować
dywersyfikowanie	dywersyfikować
pełzanie	pełzać
pełznięcie	pełznąć
kozłowanie	kozłować
piąstkowanie	piąstkować
kiksowanie	kiksować
główkowanie	główkować
ścinanie	ścinać
podkręcanie	podkręcać
zsiadanie	zsiadać
GERUNDIUM - CZYNNOŚĆ NDK oznaczająca powodowanie zmiany położenia lub relacji przestrzennych	CZASOWNIK - CZYNNOŚĆ NDK oznaczający powodowanie zmiany położenia lub relacji przestrzennych
spełzanie	spełzać
odbijanie	odbijać
zstępowanie	zstępować
schodzenie	schodzić
złażenie	złazić
zaklęcie	zakląć
zabawianie	zabawiać
bawienie	bawić
zagadywanie	zagadywać
zajmowanie	zajmować
wezwanie	wezwać
zaapelowanie	zaapelować
trudzenie	trudzić
fatygowanie	fatygować
wzywanie	wzywać
apelowanie	apelować
nawoływanie	nawoływać
wyproszenie	wyprosić
poproszenie	poprosić
zwrócenie się z prośbą	zwrócić się z prośbą
polecenie się	polecić się
uciekanie się	uciec się
wyciągnięcie ręki	wyciągnąć rękę
zaskamlanie	zaskamlać
zaskomlenie	zaskomlić
zabijanie czasu	zabijać czas
absorbowanie	absorbować
rojenie się	roić się
wyrajanie się	wyrajać się
wykluwanie się	wykluwać się
wylęganie się	wylęgać się
klucie się	kluć się
lęgnięcie się	lęgnąć się
ulęganie się	ulęgać się
wyrywanie się	wyrywać się
czołganie się	czołgać się
pełzanie	pełzać
pełźnięcie	pełznąć
odkopywanie się	odkopywać się
wyfruwanie	wyfruwać
wyplątywanie się	wyplątywać się
wylatywanie	wylatywać
wyczołgiwanie się	wyczołgiwać się
wypełzanie	wypełzać
wydostawanie się	wydostawać się
gramolenie się	gramolić się
wypływanie	wypływać
wynurzanie się	wynurzać się
wykopywanie się	wykopywać się
lecenie	lecieć
zapieprzanie	zapieprzać
zachrzanianie	zachrzaniać
zapierniczanie	zapierniczać
zaiwanianie	zaiwaniać
dymanie	dymać
zapierdalanie	zapierdalać
zlatywanie się	zlatywać się
formowanie się	formować się
obsiadanie	obsiadać
obłażenie	obłazić
ugrupowywanie się	ugrupowywać się
przybieganie	przybiegać
gromadzenie się	gromadzić się
grupowanie się	grupować się
zlatywanie się	zlatywać się
przyfruwanie	przyfruwać
przylatywanie	przylatywać
schodzenie się	schodzić się
napływanie	napływać
zwoływanie się	zwoływać się
pikowanie	pikować
ustawianie się	ustawiać się
zbieganie się	zbiegać się
przylatywanie	przylatywać
gnanie	gnać
gonienie	gonić
mknięcie	mknąć
pędzenie	pędzić
pomykanie	pomykać
śmiganie	śmigać
prucie	pruć
zjeżdżanie	zjeżdżać
rwanie	rwać
podfruwanie	podfruwać
grzanie	grzać
zjeżdżanie się	zjeżdżać się
trawersowanie	trawersować
lecenie	lecieć
galopowanie	galopować
cwałowanie	cwałować
kłusowanie	kłusować
ściąganie	ściągać
rozwijanie się	rozwijać się
dryfowanie	dryfować
zjeżdżanie	zjeżdżać
kicanie	kicać
skakanie	skakać
podskakiwanie	podskakiwać
wylatywanie	wylatywać
cofanie się	cofać się
wymykanie się	wymykać się
wykradanie się	wykradać się
znikanie	znikać
ulatnianie się	ulatniać się
wstawanie	wstawać
brykanie	brykać
podrygiwanie	podrygiwać
płynięcie	płynąć
wyleganie	wylegać
wysypywanie się	wysypywać się
nurkowanie	nurkować
pływanie	pływać
wylatywanie	wylatywać
odpływanie	odpływać
ustępowanie	ustępować
wytaczanie się	wytaczać się
wypadanie	wypadać
usuwanie się	usuwać się
wybieganie	wybiegać
wyłażenie	wyłazić
wychodzenie	wychodzić
ewakuowanie się	ewakuować się
opuszczanie	opuszczać
pływanie	pływać
fikanie	fikać
wycofywanie się	wycofywać się
pływanie	pływać
rejterowanie	rejterować
urywanie się	urywać się
wynoszenie się	wynosić się
wyfruwanie	wyfruwać
wyprowadzanie się	wyprowadzać się
wynoszenie się	wynosić się
ewakuowanie się	ewakuować się
wiosłowanie	wiosłować
katapultowanie się	katapultować się
surfowanie	surfować
uskakiwanie	uskakiwać
żeglowanie	żeglować
wracanie	wracać
wypływanie	wypływać
jechanie	jechać
wyrywanie się	wyrywać się
wyfruwanie	wyfruwać
wysiadanie	wysiadać
odstępowanie	odstępować
występowanie	występować
wychodzenie	wychodzić
obwarowywanie	obwarowywać
patentowanie	patentować
obudowywanie	obudowywać
konsolidowanie	konsolidować
poręczanie	poręczać
zastrzeganie	zastrzegać
rezerwowanie	rezerwować
żyrowanie	żyrować
zawarowywanie	zawarowywać
zabezpieczanie	zabezpieczać
zabezpieczanie	zabezpieczać
wymawianie	wymawiać
ubezpieczanie	ubezpieczać
urządzanie	urządzać
zapewnianie	zapewniać
asekurowanie	asekurować
taplanie się	taplać się
obłocenie się	obłocić się
zabłocenie się	zabłocić się
upaćkanie się	upaćkać się
zapaćkanie się	zapaćkać się
pobrudzenie się	pobrudzić się
chlapanie	chlapać
chlupanie	chlupać
bluzganie	bluzgać
bryzganie	bryzgać
prószenie	prószyć
zlewanie się	zlewać się
rozpryskiwanie	rozpryskiwać
rozbryzgiwanie	rozbryzgiwać
rozchlapywanie	rozchlapywać
rozlewanie	rozlewać
ronienie	ronić
wysączanie	wysączać
kapanie	kapać
wylewanie	wylewać
wieszczenie	wieszczyć
stawianie kabały	stawiać kabałę
stawianie kart	stawiać karty
wykukiwanie	wykukiwać
przepowiadanie	przepowiadać
czytanie	czytać
wróżenie	wróżyć
prorokowanie	prorokować
lanie wosku	lać wosk
krakanie	krakać
kukanie	kukać
wróżenie z ręki	wróżyć z ręki
przenoszenie	przenosić
przeszczepianie	przeszczepiać
rozsiewanie	rozsiewać
roznoszenie	roznosić
krzewienie	krzewić
rozpowiadanie	rozpowiadać
rozgadywanie	rozgadywać
rozgłaszanie	rozgłaszać
głoszenie	głosić
trąbienie	trąbić
propagowanie	propagować
implantowanie	implantować
nagłaśnianie	nagłaśniać
nagłośnianie	nagłośniać
nadawanie rozgłosu	nadawać rozgłos
puszczanie	puszczać
popularyzowanie	popularyzować
kosmopolityzowanie	kosmopolityzować
lansowanie	lansować
rozpowszechnianie	rozpowszechniać
szerzenie	szerzyć
upowszechnianie	upowszechniać
rozprzestrzenianie	rozprzestrzeniać
sianie	siać
demonstrowanie	demonstrować
manifestowanie	manifestować
anonsowanie	anonsować
zaznaczenie	zaznaczyć
szantażowanie	szantażować
ostrzeganie	ostrzegać
przestrzeganie	przestrzegać
zastrzeganie	zastrzegać
zastrzeganie się	zastrzegać się
zapowiadanie się	zapowiadać się
alarmowanie	alarmować
awizowanie	awizować
grożenie	grozić
odgrażanie się	odgrażać się
straszenie	straszyć
wygrażanie	wygrażać
uprzedzanie	uprzedzać
zapowiadanie	zapowiadać
prezentowanie	prezentować
zapowiadanie	zapowiadać
przekładanie	przekładać
przedstawianie	przedstawiać
nakreślanie	nakreślać
zarysowywanie	zarysowywać
zwierzanie się	zwierzać się
wynurzanie się	wynurzać się
wywnętrzanie się	wywnętrzać się
opowiadanie	opowiadać
pokazywanie	pokazywać
przejaskrawianie	przejaskrawiać
odwzorowywanie	odwzorowywać
malowanie	malować
odmalowywanie	odmalowywać
odzwierciedlanie	odzwierciedlać
oddawanie	oddawać
częstowanie	częstować
tłumaczenie	tłumaczyć
symulowanie	symulować
prawienie	prawić
ustosunkowywanie	ustosunkowywać
portretowanie	portretować
spowiadanie się	spowiadać się
zdawanie	zdawać
rysowanie	rysować
odtwarzanie	odtwarzać
otwieranie duszy	otwierać duszę
odkrywanie duszy	odkrywać duszę
personifikowanie	personifikować
uosabianie	uosabiać
uczłowieczanie	uczłowieczać
streszczanie	streszczać
obrazowanie	obrazować
roztaczanie	roztaczać
bajanie	bajać
kreślenie	kreślić
wtajemniczanie	wtajemniczać
przybliżanie	przybliżać
podawanie się	podawać się
algorytmizowanie	algorytmizować
obznajamianie	obznajamiać
odmalowywanie	odmalowywać
zapoznawanie	zapoznawać
zaznajamianie	zaznajamiać
charakteryzowanie	charakteryzować
blazonowanie	blazonować
opisywanie	opisywać
wprowadzanie	wprowadzać
rehabilitowanie	rehabilitować
wieszczenie	wieścić
orzekanie	orzekać
spekulowanie	spekulować
wyrokowanie	wyrokować
oznajmianie	oznajmiać
oświadczanie	oświadczać
przyznawanie	przyznawać
ferowanie	ferować
stwierdzanie	stwierdzać
twierdzenie	twierdzić
zgłaszanie się	zgłaszać się
deklarowanie się	deklarować się
wkopywanie	wkopywać
objawianie	objawiać
ujawnianie się	ujawniać się
jednanie się z Bogiem	jednać się z Bogiem
wydawanie	wydawać
powierzanie	powierzać
sypanie	sypać
śpiewanie	śpiewać
zdradzanie się	zdradzać się
sypanie się	sypać się
wygadywanie się	wygadywać się
puszczanie farby	puszczać farbę
wydawanie się	wydawać się
wysypywanie się	wysypywać się
wyznawanie	wyznawać
odtajnianie	odtajniać
ujawnianie	ujawniać
wyjawianie	wyjawiać
zdradzanie	zdradzać
odkrywanie	odkrywać
obnażanie	obnażać
demaskowanie	demaskować
wynoszenie	wynosić
kompromitowanie	kompromitować
dekonspirowanie	dekonspirować
wypłakiwanie	wypłakiwać
wtajemniczanie	wtajemniczać
dopuszczanie do tajemnicy	dopuszczać do tajemnicy
spowiadanie się	spowiadać się
cytowanie	cytować
odmienianie	odmieniać
doliczanie się	doliczać się
liczenie	liczyć
odliczanie	odliczać
koniugowanie	koniugować
recytowanie	recytować
wypisywanie	wypisywać
wymienianie	wymieniać
wyliczanie	wyliczać
wyszczególnianie	wyszczególniać
doliczanie	doliczać
deklinowanie	deklinować
stopniowanie	stopniować
specyfikowanie	specyfikować
wybijanie	wybijać
ogłaszanie	ogłaszać
obwieszczanie	obwieszczać
przemycanie	przemycać
przelewanie	przelewać
dzwonienie	dzwonić
proklamowanie	proklamować
kwotowanie	kwotować
promulgowanie	promulgować
przekazywanie	przekazywać
powtarzanie	powtarzać
opiewanie	opiewać
odgwizdywanie	odgwizdywać
rozpisywanie	rozpisywać
bicie na alarm	bić na alarm
wydawanie	wydawać
przynoszenie	przynosić
bicie	bić
nabijanie	nabijać
ogłaszanie się	ogłaszać się
odgwizdywanie	odgwizdywać
przywożenie	przywozić
wskazywanie	wskazywać
pokazywanie	pokazywać
wydzwanianie	wydzwaniać
deklarowanie	deklarować
podawanie	podawać
odczytywanie	odczytywać
wyczytywanie	wyczytywać
trzeźwienie	trzeźwić
otrzeźwianie	otrzeźwiać
wygrzebywanie	wygrzebywać
odgrzebywanie	odgrzebywać
wyciąganie	wyciągać
donoszenie	donosić
zamawianie	zamawiać
przybieranie	przybierać
tytułowanie się	tytułować się
notyfikowanie	notyfikować
wykrzykiwanie	wykrzykiwać
pisanie	pisać
świadczenie	świadczyć
podpisywanie	podpisywać
dzielenie się	dzielić się
notyfikowanie	notyfikować
odzywanie się	odzywać się
donoszenie	donosić
zawiadamianie	zawiadamiać
powiadamianie	powiadamiać
sygnalizowanie	sygnalizować
uwiadamianie	uwiadamiać
mówienie	mówić
przywoływanie	przywoływać
pisywanie	pisywać
instruowanie	instruować
pouczanie	pouczać
wymeldowywanie się	wymeldowywać się
informowanie	informować
dawanie znać	dawać znać
udzielanie informacji	udzielać informacji
przypominanie	przypominać
zgłaszanie	zgłaszać
gestykulowanie	gestykulować
powiadanie	powiadać
uprzytamnianie	uprzytamniać
uzmysławianie	uzmysławiać
dobywanie	dobywać
pokazywanie	pokazywać
przypominanie się	przypominać się
kablowanie	kablować
kapowanie	kapować
sygnalizowanie	sygnalizować
