administracyjny	administracja
guzikowy	guzik
hetmański	hetman
konsulowski	konsul
pastorski	pastor
piołunowy	piołun
szyperski	szyper
żubrowy	żubr
akcesyjny	akcesja
dorożkarski	dorożka
eskimoski	Eskimos
akwarystyczny	akwarystyka
orczykowy	orczyk
orczykowy	orczyk
amsterdamski	Amsterdam
owczarski	owczarz
owczarski	owczarstwo
podwórzowy	podwórze
berneński	Berno
białostocki	Białystok
bratysławski	Bratysława
brukselski	Bruksela
buczacki	Buczacz
budapeszteński	Budapeszt
bukareszteński	Bukareszt
dubliński	Dublin
frankfurcki	Frankfurt nad Menem
galicyjski	Galicja
galicyjski	Galicja
genewski	Genewa
haski	Haga
kopenhaski	Kopenhaga
lizboński	Lizbona
londyński	Londyn
madrycki	Madryt
mediolański	Mediolan
montrealski	Montreal
nantejski	Nantes
nowojorski	Nowy Jork
nicejski	Nicea
ryski	Ryga
seulski	Seul
stambulski	Stambuł
singapurski	Singapur
szanghajski	Szanghaj
sztokholmski	Sztokholm
wersalski	Wersal
wersalski	Wersal
waszyngtoński	Waszyngton
tokijski	Tokio
rozbiorowy	rozbiór
wolutowy	woluta
akcydensowy	akcydens
drugoobiegowy	drugi obieg
preriowy	preria
śmietnikowy	śmietnik
zaprzęgowy	zaprzęg
beczkowy	beczka
beczkowy	beczka
hełmowy	hełm
kalenicowy	kalenica
mansardowy	mansarda
witrażowy	witraż
żebrowy	żebro
barchanowy	barchan
bawełniany	bawełna
frakowy	frak
gronostajowy	gronostaj
kelnerski	kelner
lniany	len
egzegetyczny	egzegeza
eskapistyczny	eskapizm
hagiograficzny	hagiografia
historiograficzny	historiografia
iberoamerykański	Iberoameryka
kaligraficzny	kaligrafia
marynistyczny	marynistyka
pamiętnikarski	pamiętnikarstwo
parenetyczny	pareneza
patrystyczny	patrystyka
poprawnościowy	poprawność językowa
profetyczny	profetyzm
straganowy	stragan
wedyjski	wedyzm
źródłowy	źródło
łagrowy	łagier
ziębicki	Ziębice
birmański	Birma
endecki	endecja
enerdowski	NRD
kościuszkowski	Kościuszko
listopadowy	listopad
rojalistyczny	rojalizm
monarchistyczny	monarchizm
styczniowy	styczeń
szyicki	szyita
puchowy	puch
inflacyjny	inflacja
kolekcjonerski	kolekcjoner
aresztancki	aresztant
boiskowy	boisko
bramkarski	bramkarz
garderobiany	garderoba
kolacyjny	kolacja
kolacyjny	kolacja
lokajski	lokaj
aktywistyczny	aktywizm
libertyński	libertynizm
roszczeniowy	roszczenie
wisielczy	wisielec
szampański	szampan
szowinistyczny	szowinista
aferowy	afera
aferowy	afera
definicyjny	definicja
doktrynalny	doktryna
egzystencjonalny	egzystencjalizm
egzystencjalny	egzystencjalizm
egzystencjalny	egzystencja
formalny	forma
interpretacyjny	interpretacja
jedzeniowy	jedzenie
łóżkowy	łóżko
łóżkowy	łóżko
metodologiczny	metodologia
proceduralny	procedura
rozwodowy	rozwód
senatorski	senator
sprzętowy	sprzęt
światopoglądowy	światopogląd
teoriopoznawczy	teoria poznania
animistyczny	animizm
Arystotelesowski	Arystoteles
chrystologiczny	chrystologia
cynicki	cynizm
deistyczny	deizm
dualistyczny	dualizm
egzystencjalistyczny	egzystencjalizm
empirystyczny	empiryzm
epikurejski	epikureizm
epikurejski	epikureizm
Heglowski	Hegel
hermeneutyczny	hermeneutyka
hinduistyczny	hinduizm
hinduski	Hindus
idealistyczny	idealizm
idiograficzny	idiografizm
nomotetyczny	nomotetyzm
judaistyczny	judaizm
judaistyczny	judaistyka
Kantowski	Kant
katechizmowy	katechizm
konfucjański	konfucjanizm
mahometański	mahometanizm
islamski	islam
muzułmański	muzułmanin
manichejski	manicheizm
marksistowski	marksizm
materialistyczny	materializm
mesjanistyczny	mesjanizm
metafizyczny	metafizyka
misteryjny	misterium
misteryjny	misterium
monoteistyczny	monoteizm
panteistyczny	panteizm
neoplatoński	neoplatonizm
nietzscheański	nietzscheanizm
orficki	orfizm
oświeceniowy	oświecenie
personalistyczny	personalizm
Pitagorejski	Pitagoras
pitagorejski	pitagoreizm
platoński	platonizm
Platoński	Platon
politeistyczny	politeizm
pozytywistyczny	pozytywizm
racjonalistyczny	racjonalizm
scholastyczny	scholastyka
semiologiczny	semiologia
spirytualistyczny	spirytualizm
stoicki	stoicyzm
synkretyczny	synkretyzm
słowianofilski	słowianofilstwo
słowianofilski	słowianofilstwo
taoistyczny	taoizm
teistyczny	teizm
tomistyczny	tomizm
uniwersalistyczny	uniwersalizm
utylitarystyczny	utylitaryzm
agrotechniczny	agrotechnika
ambulatoryjny	ambulatorium
borowinowy	borowina
borowinowy	borowina
chirurgiczny	chirurg
chirurgiczny	chirurgia
dentystyczny	dentystyka
erystyczny	erystyka
fizjoterapeutyczny	fizjoterapia
fizykoterapeutyczny	fizykoterapia
hospicyjny	hospicjum
kardiochirurgiczny	kardiochirurgia
kastracyjny	kastracja
neurochirurgiczny	neurochirurgia
odwykowy	odwyk
paliatywny	paliatyw
pielęgnacyjny	pielęgnacja
pielęgnacyjny	pielęgnacja
sanatoryjny	sanatorium
socjotechniczny	socjotechnika
socjotechniczny	socjotechnika
stomatologiczny	stomatologia
uprawowy	uprawa
bitumiczny	bitumin
kakaowy	kakao
kałowy	kał
makowy	mak
molowy	mol
molowy	moll
minorowy	minor
molowy	mól
molowy	molo
durowy	dur
solny	sól
spoczynkowy	spoczynek
tynkarski	tynk
więźniarski	więzień
autobiograficzny	autobiografia
beletrystyczny	beletrystyka
bestsellerowy	bestseller
bestselerowy	bestseler
biograficzny	biografia
broszurowy	broszura
broszurowy	broszura
drzeworytowy	drzeworyt
epistolarny	epistoła
eseistyczny	eseistyka
fantastycznonaukowy	fantastyka naukowa
gangsterski	gangster
kostiumowy	kostium
nautyczny	nautyka
obrazkowy	obrazek
obyczajowy	obyczaje
oscarowy	Oscar
rękopiśmienny	rękopis
rękopiśmienniczy	rękopis
manuskryptowy	manuskrypt
reporterski	reporter
reportażowy	reportaż
reportażowy	reportaż
tragikomiczny	tragikomedia
wspomnieniowy	wspomnienie
bisurmański	bisurmanin
bisurmański	bisurman
mongolski	Mongolia
ojcowy	ojciec
pański	pan
Pański	Pan
bazarowy	bazar
dedykacyjny	dedykacja
dedykacyjny	dedykacja
detaliczny	detal
domokrążny	domokrążca
akwizycyjny	akwizycja
dumpingowy	dumping
emisyjny	emisja
emisyjny	emisja
emisyjny	emisja
emisyjny	emisja
fakturowy	faktura
fakturowy	faktura
galeryjny	galeria
gratulacyjny	gratulacje
jednostkowy	jednostka
komisowy	komis
komisowy	komis
kontyngentowy	kontyngent
kontyngentowy	kontyngent
kontyngentowy	kontyngent
majuskułowy	majuskuła
minuskułowy	minuskuła
monopolowy	monopol
ofertowy	oferta
papirusowy	papirus
papirusowy	papirus
papirusowy	papirus
mierniczy	miernik
pomierny	pomiar
proskrypcyjny	proskrypcja
rankingowy	ranking
refundacyjny	refundacja
sprzedażny	sprzedaż
subskrypcyjny	subskrypcja
targowiskowy	targowisko
transakcyjny	transakcja
transferowy	transfer
transferowy	transfer
uncjalny	uncjała
defiladowy	defilada
marszowy	marsz
marszowy	marsz
marszowy	marsz
spacerowy	spacer
taktowy	takt
taneczny	taniec
autochtoniczny	autochton
autochtoniczny	autochton
pasterski	pasterz
beduiński	beduin
beduiński	Beduin
indiański	Indianin
lechicki	Lechita
madziarski	Madziar
madziarski	Madziar
tubylczy	tubylec
mongoloidalny	mongoloid
murzyński	Murzyn
negroidalny	negroid
nubijski	Nubia
pańszczyźniany	pańszczyzna
pasterski	pasterz
rdzenny	rdzeń
rdzeniowy	rdzeń
rdzenny	rdzeń
rdzenny	rdzeń
romski	Rom
tracki	Trak
tracki	Tracja
żydowski	Żyd
syjonistyczny	syjonizm
wieśniaczy	wieśniak
akowski	AK
dermatologiczny	dermatologia
dywizyjny	dywizja
dziecinny	dziecina
geochronologiczny	geochronologia
geriatryczny	geriatria
internistyczny	interna
internistyczny	interna
karpacki	Karpaty
korpusowy	korpus
korpuśny	korpus
laryngologiczny	laryngologia
laryngologiczny	laryngologia
najemniczy	najemnik
neuropsychiatryczny	neuropsychiatria
noworodkowy	noworodek
onkologiczny	onkologia
osadniczy	osadnictwo
osadniczy	osadnik
osiedleńczy	osiedlanie
partyzancki	partyzantka
partyzancki	partyzant
pediatryczny	pediatria
położniczy	położnictwo
przedszkolny	przedszkole
pneumonologiczny	pneumonologia
pulmonologiczny	pulmonologia
reumatologiczny	reumatologia
rozrachunkowy	rozrachunek
saperski	saper
stratygraficzny	stratygrafia
szaroszeregowy	Szare Szeregi
szczawnicki	Szczawnica
kliniczny	klinika
terenowy	teren
tyłowy	tyły
urologiczny	urologia
dieslowski	diesel
zakopiański	Zakopane
apologetyczny	apologeta
apologetyczny	apologetyka
bieliźniany	bielizna
bieliźniany	bielizna
celowościowy	celowość
deklamacyjny	deklamacja
recytatorski	recytator
dokumentacyjny	dokumentacja
dualny	dualis
dyskryminacyjny	dyskryminacja
eklezjalny	eklezja
eschatologiczny	eschatologia
fasadowy	fasada
genitalny	genitalia
gnomiczny	gnoma
prawniczy	prawo
kampanijny	kampania
konfesyjny	konfesja
korektywny	korektywa
korekcyjny	korekcja
korektywny	korektywa
prowincjonalny	prowincja
monokulturowy	monokultura
monokulturowy	monokultura
moralistyczny	moralistyka
moralistyczny	moralista
moralistyczny	moralistyka
ontologiczny	ontologia
orgiastyczny	orgia
pastoralny	pastorałka
sielankowy	sielanka
duszpasterski	duszpasterz
pedofilski	pedofil
pojemnościowy	pojemność
postaciowy	postać
procesualny	proces
redakcyjny	redakcja
wydawniczy	wydawnictwo
redakcyjny	redakcja
redukcjonistyczny	redukcjonizm
słownikowy	słownik
tautologiczny	tautologia
utylitarny	utylitaryzm
anarchiczny	anarchizm
anarchistyczny	anarchizm
apokaliptyczny	Apokalipsa
babciny	babcia
dziadkowy	dziadek
bajeczny	bajka
ciotczyny	ciotka
wujowski	wuj
cukierkowy	cukierek
dziewczęcy	dziewczę
kabotyński	kabotyn
karczemny	karczma
klaustrofobiczny	klaustrofobia
klaustrofobiczny	klaustrofobia
kozaczy	Kozak
miniaturowy	miniatura
niebieski	niebiosa
niebieski	niebiosa
paniny	pani
panin	pani
półsenny	półsen
robaczy	robak
samiczy	samica
sołdacki	sołdat
suchotniczy	suchoty
zaściankowy	zaścianek
zbawienny	zbawienie
zbójecki	zbójca
zbójecki	zbój
żoniny	żona
choleryczny	cholera
działkowy	działka
hektarowy	hektar
hydroponiczny	hydroponika
jurajski	jura
pałacowy	pałac
przejazdowy	przejazd
rajski	raj
salinarny	salina
salinarny	salina
wjazdowy	wjazd
wjazdowy	wjazd
zdrojowy	zdrój
zdrojowy	zdrój
źródlany	źródło
bunkrowy	bunkier
kaflowy	kafel
kotlarski	kotlarstwo
kotlarski	kotlarstwo
krematoryjny	krematorium
krematoryjny	krematorium
linowy	lina
odpadowy	odpad
opałowy	opał
parafinowy	parafina
przekładniowy	przekładnia
rzepakowy	rzepak
silikonowy	silikon
łyżwowy	łyżwa
wantowy	wanta
sezamowy	sezam
smarowy	smar
sznurowy	sznur
słonecznikowy	słonecznik
talowy	tal
drożdżowy	drożdż
ziarnisty	ziarno
ziemniaczany	ziemniak
ziemniaczany	ziemniak
kartoflany	kartofel
kartoflany	kartofel
kukurydziany	kukurydza
kukurydziany	kukurydza
kukurydziany	kukurydza
owsiany	owies
pszenny	pszenica
tortowy	tort
żytni	żyto
algorytmiczny	algorytm
algorytmiczny	algorytmika
analityczny	analiza
argonowy	argon
argonowy	argona
chromatograficzny	chromatografia
degresywny	degresja
delficki	Delfy
diachroniczny	diachronia
diachroniczny	diachronia
dialektyczny	dialektyka
dialektyczny	dialekt
dialektalny	dialekt
ekonometryczny	ekonometria
elektrolityczny	elektroliza
elektrolityczny	elektrolit
esbecki	esbecja
fenomenologiczny	fenomenologia
fotogrametryczny	fotogrametria
gestapowski	gestapo
helowy	hel
heurystyczny	heurystyka
ilościowy	ilość
introspekcyjny	introspekcja
iteracyjny	iteracja
iteracyjny	iteracja
iteracyjny	iteracja
kasowy	kasa
kasowy	kasa
kasowy	kasa
kasowy	kasa
kombinatoryczny	kombinatoryka
konfirmacyjny	konfirmacja
konfirmacyjny	konfirmacja
kuponowy	kupon
kuponowy	kupon
kuponowy	kupon
matematyczny	matematyka
mnemotechniczny	mnemotechnika
odkrywkowy	odkrywka
oglądowy	ogląd
okładkowy	okładka
okładkowy	okładka
optymalizacyjny	optymalizacja
optymalizacyjny	optymalizacja
otworowy	otwór
otworowy	otwór
paramedyczny	paramedycyna
parametryczny	parametr
parametryczny	parametr
profilowy	profil
profilowy	profil
przyrostowy	przyrost
przyrządowy	przyrząd
scenariuszowy	scenariusz
Sokratejski	Sokrates
spektroskopowy	spektroskop
stykowy	styk
stykowy	styk
szybkościowy	szybkość
szybkościowy	szybkość
łańcuszkowy	łańcuszek
tłumaczeniowy	tłumaczenie
tłumaczeniowy	tłumaczenie
cementowy	cement
profetyczny	profeta
dziełowy	dzieło
typologiczny	typologia
wskaźnikowy	wskaźnik
wskaźnikowy	wskaźnik
asenizacyjny	asenizacja
wiedźmiński	wiedźmin
taborowy	tabor
taborowy	tabor
taborowy	tabor
strażacki	strażak
samurajski	samuraj
rzeźnicki	rzeźnik
policyjny	policja
policyjny	policja
myśliwski	myśliwy
krzemienny	krzemień
komandoski	komandos
kempingowy	kemping
katowski	kat
balonowy	balon
bokserski	boks
pięściarski	pięściarstwo
halowy	hala
kajakarski	kajakarstwo
klubowy	klub
klubowy	klub
kolarski	kolarstwo
krótkofalarski	krótkofalarstwo
kulturystyczny	kulturystyka
lekkoatletyczny	lekkoatletyka
makroregionalny	makroregion
motocyklowy	motocykl
przełajowy	przełaj
rajdowy	rajd
reprezentacyjny	reprezentacja
saneczkarski	saneczkarstwo
snowboardowy	snowboard
spławikowy	spławik
szachowy	szachy
szermierczy	szermierka
szosowy	szosa
torowy	tor
torowy	tor
torowy	tor
torowy	tor
trenerski	trener
wielobojowy	wielobój
łyżwiarski	łyżwiarstwo
łuczniczy	łucznictwo
łuczniczy	łucznik
żużlowy	żużel
żużlowy	żużel
zawodniczy	zawodnik
zapaśniczy	zapaśnictwo
zapaśniczy	zapasy
artyleryjski	artyleria
balistyczny	balistyka
koguci	kogut
kumulacyjny	kumulacja
milimetrowy	milimetr
moździerzowy	moździerz
nożowy	nóż
rakietowy	rakieta
rozpryskowy	rozprysk
udarowy	udar mózgu
udarowy	udar
urodzeniowy	urodzenie się
wagowy	waga
wagowy	waga
wiatrowy	wiatr
żelowy	żel
aportowy	aport
aportowy	aport
chrystianizacyjny	chrystianizacja
deportacyjny	deportacja
dezinformacyjny	dezinformacja
dywersyjny	dywersja
eksterminacyjny	eksterminacja
germanizacyjny	germanizacja
imienny	imię
imienny	imię
kolonizacyjny	kolonizacja
kolonizacyjny	kolonizacja
obozowy	obóz
ofensywny	ofensywa
osiedleniowy	osiedlenie
pacyfikacyjny	pacyfikacja
parcelacyjny	parcelacja
plakatowy	plakat
połączeniowy	połączenie
połączeniowy	połączenie
promocyjny	promocja
propagandowy	propaganda
propagandowy	propaganda
sloganowy	slogan
przesiedleńczy	przesiedlenie
reanimacyjny	reanimacja
rekwizycyjny	rekwizycja
repatriacyjny	repatriacja
sabotażowy	sabotaż
wysiedleńczy	wysiedlenie
zdarzeniowy	zdarzenie
bliznowaty	blizna
cewkowy	cewka
cewkowy	cewka
chrzęstny	chrząstka
igiełkowy	igiełka
igiełkowy	igiełka
kostny	kość
miąższowy	miąższ
mózgowy	mózg
naczyniówkowy	naczyniówka
rogówkowy	rogówka
tabliczkowy	tabliczka
tłuszczowy	tłuszcz
tłuszczowy	tłuszcz
agroturystyczny	agroturystyka
arcyksiążęcy	arcyksiążę
arcymistrzowski	arcymistrz
baronowski	baron
baronowski	baron
cesarski	cesarz
hrabiowski	hrabia
imperatorski	imperator
imperatorski	imperator
kmiecy	kmieć
królewski	król
książęcy	książę
lordowski	lord
mistrzowski	mistrz
mistrzowski	mistrz
parowski	par
parowski	par
profesorski	profesor
profesorski	profesor
wicemistrzowski	wicemistrz
blankietowy	blankiet
brulionowy	brulion
brulionowy	brulion
cenzorski	cenzura
cenzorski	cenzor
dekoncentracyjny	dekoncentracja
delegacyjny	delegacja
delegacyjny	delegacja
derogacyjny	derogacja
dziennikowy	dziennik
dziennikowy	dziennik
fonetyczny	fonetyka
fonetyczny	fonetyka
kodeksowy	kodeks
kodeksowy	kodeks
kronikarski	kronika
kwarantannowy	kwarantanna
nutowy	nuta
nutowy	nut
ostrożnościowy	ostrożność
prawnokarny	prawo karne
protokolarny	protokół
rezerwatowy	rezerwat
rezerwatowy	rezerwat
stenograficzny	stenografia
testamentowy	testament
testamentowy	testament
traktatowy	traktat
traktatowy	traktat
wariantowy	wariant
fenowy	fen
fotoelektryczny	fotoelektryczność
fotowoltaiczny	fotowoltaika
iluzjonistyczny	iluzjonista
iluzjonistyczny	iluzjonizm
krasowy	kras
medialny	medium
mediumiczny	medium
ołowiowy	ołów
recesyjny	recesja
substytucyjny	substytucja
substytucyjny	substytucja
świadomościowy	świadomość
światłocieniowy	światłocień
synergistyczny	synergizm
synergiczny	synergia
telekinetyczny	telekineza
tunelowy	tunel
tunelowy	tunel
tunelowy	tunel
wannowy	wanna
wyliczeniowy	wyliczenie
certyfikacyjny	certyfikacja
detektywistyczny	detektyw
fryzjerski	fryzjerstwo
głosowy	głos
głosowy	głos
hotelarski	hotelarstwo
konsumpcyjny	konsumpcja
konsumpcyjny	konsumpcja
modemowy	modem
multimedialny	multimedia
pralniczy	pralnia
prasowy	prasa
protetyczny	protetyka
protetyczny	protetyka
przewodnicki	przewodnik
radiokomunikacyjny	radiokomunikacja
radiotelefoniczny	radiotelefonia
ratingowy	rating
ratingowy	rating
realizatorski	realizacja
reklamowy	reklama
synaptyczny	synapsa
telefoniczny	telefon
telefoniczny	telefon
telekomunikacyjny	telekomunikacja
turystyczny	turysta
turystyczny	turystyka
wideofoniczny	wideofon
betonowy	beton
błędnikowy	błędnik
chrustowy	chrust
chruściany	chrust
fundamentowy	fundament
kafelkowy	kafelek
mozaikowy	mozaika
oporowy	odpór
oporowy	opór
oporowy	opór
parawanowy	parawan
parkietowy	parkiet
piwniczny	piwnica
pleksiglasowy	pleksiglas
polipowy	polip
polipowy	polip
skalny	skała
skalny	skała
Balzakowski	Balzak
charyzmatyczny	charyzmat
ekranowy	ekran
ekranowy	ekran
Fredrowski	Fredro
komiksowy	komiks
legendarny	legenda
legendowy	legenda
mitologiczny	mitologia
mitologiczny	mitologia
mitologiczny	mitologia
mityczny	mit
porażenny	porażenie
powieściowy	powieść
romansowy	romans
serialowy	serial
Sienkiewiczowski	Sienkiewicz
świetlany	światło
sztandarowy	sztandar
trygonometryczny	trygonometria
aszkenazyjski	Aszkenazyjczyk
schabowy	schab
skrobiowy	skrobia
sefardyjski	Sefardyjczyk
jemeński	Jemen
koksowy	koks
panieński	panna
proteinowy	proteina
rodowy	ród
węglowodanowy	węglowodan
browarniczy	browarnictwo
materialnoprawny	prawo materialne
formalnoprawny	prawo formalne
chmielarski	chmielarstwo
ciągnikowy	ciągnik
cukierniczy	cukiernictwo
cukierniczy	cukiernictwo
cukrowniczy	cukrownictwo
drzewny	drzewo
drzewny	drzewo
dziewiarski	dziewiarstwo
maszynowy	maszyna
elektrotechniczny	elektrotechnika
farbiarski	farbiarstwo
gorzelniczy	gorzelnictwo
gorzelniany	gorzelnia
jedwabniczy	jedwabnictwo
kinematograficzny	kinematografia
konfekcyjny	konfekcja
odzieżowy	odzież
kosmonautyczny	kosmonautyka
kosmonautyczny	kosmonauta
lniarski	len
lotniczy	lotnictwo
manufakturowy	manufaktura
meblarski	meblarstwo
miedziowy	miedź
motoryzacyjny	motoryzacja
młynarski	młynarstwo
obuwniczy	obuwie
okrętowy	okręt
okrętowy	okręt
olejarski	olejarstwo
papierniczy	papier
papierniczy	papiernictwo
paszowy	pasza
perfumeryjny	perfumeria
petrochemiczny	petrochemia
rafineryjny	rafineria
motorowy	motor
siarkowy	siarka
stoczniowy	stocznia
sukienniczy	sukiennictwo
szklarski	szkło
tekstylny	tekstylia
wapienniczy	wapiennictwo
wapienniczy	wapiennik
wydobywczy	wydobycie
włókienniczy	włókiennictwo
zabawkarski	zabawkarstwo
zapałczany	zapałka
łożyskowy	łożysko
łożyskowy	łożysko
frekwencyjny	frekwencja
referencyjny	referencja
stechiometryczny	stechiometria
dynowski	Dynów
smoleński	Smoleńsk
warowny	warownia
sułtański	sułtan
prezydencki	prezydent
prezydencki	prezydent
piłsudczykowski	piłsudczyk
patriarszy	patriarcha
patriarszy	patriarcha
namiestnikowski	namiestnik
kremlowski	kreml
kremlowski	Kreml
kondycyjny	kondycja
koncentracyjny	koncentracja
koncentracyjny	koncentracja
kardynalski	kardynał
jeniecki	jeniec
herodowy	Herod
gubernatorski	gubernator
filtracyjny	filtracja
filtracyjny	filtracja
chański	chan
chanowy	chan
aklimatyzacyjny	aklimatyzacja
arcybiskupi	arcybiskup
arcykapłański	arcykapłan
belwederski	belweder
belwederski	Belweder
adwentowy	adwent
bachiczny	Bachus
bukoliczny	bukolika
czwartorzędowy	czwartorzęd
dziadowski	dziad
dziadowski	dziad
elegijny	elegia
elegijny	elegia
epiczny	epika
epigramatyczny	epigramat
Horacjański	Horacy
jambiczny	jamb
kolędowy	kolęda
liryczny	liryka
młodopolski	Młoda Polska
nadrealistyczny	nadrealizm
nowelistyczny	nowelistyka
panegiryczny	panegiryk
pasyjny	pasja
pieśniowy	pieśń
pieśniowy	pieśń
prozatorski	proza
rybałtowski	rybałt
sowizdrzalski	sowizdrzał
symbolistyczny	symbolizm
wagancki	wagant
wielkopostny	Wielki Post
zwrotkowy	zwrotka
akwarelowy	akwarela
akwarelowy	akwarela
batalistyczny	batalistyka
flamandzki	Flamand
holograficzny	holografia
ikonowy	ikona
impresjonistyczny	impresjonizm
katakumbowy	katakumby
katakumbowy	katakumby
kubistyczny	kubizm
kukiełkowy	kukiełka
lalkowy	lalka
lalkowy	lalka
migawkowy	migawka
ogródkowy	ogródek
ogródkowy	ogródek
operowy	opera
operowy	opera
operowy	opera
operowy	opera
pantomimiczny	pantomima
pantomimiczny	pantomima
portretowy	portret
portretowy	portret
rapsodyczny	rapsod
rapsodyczny	rapsod
rentgenowski	rentgen
rewiowy	rewia
satelitarny	satelita
ścienny	ściana
siatkówkowy	siatkówka
siatkówkowy	siatkówka
stereoskopowy	stereoskop
wodewilowy	wodewil
wazowy	waza
wazowy	waza
trumienny	trumna
temperowy	tempera
temperowy	tempera
temperowy	tempera
tablicowy	tablica
sztalugowy	sztaluga
aparaturowy	aparatura
autogenny	autogeneza
autogeniczny	autogeneza
feryjny	ferie
imitacyjny	imitacja
imitacyjny	imitacja
infrastrukturalny	infrastruktura
izometryczny	izometria
jutrzenkowy	jutrzenka
komisyjny	komisja
komisyjny	komisja
maswerkowy	maswerk
ornamentalny	ornamentyka
ornamentalny	ornament
racjonalizatorski	racjonalizacja
racjonalizatorski	racjonalizacja
reedukacyjny	reedukacja
reedukacyjny	reedukacja
reedukacyjny	reedukacja
relaksacyjny	relaksacja
reliefowy	relief
ministerialny	ministerstwo
rzeźbiarski	rzeźbiarstwo
scenograficzny	scenografia
socjoterapeutyczny	socjoterapia
stadionowy	stadion
stiukowy	stiuk
świetlicowy	świetlica
świetlicowy	świetlica
sztukatorski	sztukatorstwo
tężcowy	tężec
warsztatowy	warsztat
warsztatowy	warsztat
warsztatowy	warsztat
wynalazczy	wynalazca
brzuszny	brzuch
chórowy	chór
chórowy	chór
chórowy	chór
drzwiowy	drzwi
gębowy	gęba
moczarowy	moczary
nosowy	nos
odbytowy	odbyt
odbytniczy	odbytnica
okienny	okno
okienny	okno
oparzeniowy	oparzenie
opłucnowy	opłucna
opłucny	opłucna
otrzewnowy	otrzewna
pasztetowy	pasztet
podogonowy	podogonie
postrzałowy	postrzał
płaszczowy	płaszcz
skrzelowy	skrzela
stolcowy	stolec
strzelniczy	strzelnica
strzelniczy	strzelanie
sutkowy	sutek
sutkowy	sutek
szpikowy	szpik
trawny	trawa
uszny	ucho
wlotowy	wlot
brezentowy	brezent
celofanowy	celofan
gumowy	guma
holowniczy	holowanie
jutowy	juta
mosznowy	moszna
parciany	part
pyłkowy	pyłek
płócienny	płótno
sizalowy	sizal
spojówkowy	spojówka
sznurkowy	sznurek
włosowy	włos
znachorski	znachorstwo
dwunastniczy	dwunastnica
jajnikowy	jajnik
karkowy	kark
kloaczny	kloaka
krezkowy	krezka
krezkowy	krezka
krtaniowy	krtań
oczny	oko
oponowy	opona
oponowy	opona
pachowy	pacha
pępkowy	pępek
podbródkowy	podbródek
przedsionkowy	przedsionek
przeponowy	przepona
przełykowy	przełyk
płucny	płuca
sierpowy	sierp
śledzionowy	śledziona
ślimakowy	ślimak
ślimakowy	ślimak
ślimakowy	ślimak
ślinowy	ślina
sromowy	srom
szyjny	szyja
trzewny	trzewia
twarzowy	twarz
wzrokowy	wzrok
wzrokowy	wzrok
zasłonowy	zasłona
zębodołowy	zębodół
astrachański	Astrachań
barankowy	baranek
baseballowy	baseball
bejsbolowy	bejsbol
bosmański	bosman
dragoński	dragon
esesmański	esesman
frygijski	Frygia
futrzarski	futrzarstwo
futrzany	futro
galowy	gala
generalski	generał
generalski	generał
grenadierski	grenadier
husarski	husarz
huzarski	huzar
igielny	igła
karakułowy	karakuł
karakułowy	karakuły
kowbojski	kowboj
konny	koń
marynarski	marynarz
marynarski	marynarka
rajtarski	rajtar
robociarski	robociarz
spadochroniarski	spadochroniarstwo
szoferski	szofer
szwoleżerski	szwoleżer
żandarmski	żandarm
żandarmski	żandarm
wojłokowy	wojłok
ułański	ułan
uszaty	ucho
uchaty	ucho
akumulacyjny	akumulacja
akumulacyjny	akumulacja
ewangelizacyjny	ewangelizacja
fundacyjny	fundacja
inkwizytorski	inkwizytor
kantorowy	kantor
kantorowy	kantor
kaznodziejski	kaznodziejstwo
kaznodziejski	kaznodziejstwo
kontrrewolucyjny	kontrrewolucja
lobbingowy	lobbing
lokacyjny	lokacja
lokacyjny	lokacja
lokacyjny	lokacja
misyjny	misja
misyjny	misje
nakładowy	nakład
szpiegowski	szpieg
recenzencki	recenzent
wystawienniczy	wystawiennictwo
wyprawowy	wyprawa
organizatorski	organizator
popularyzatorski	popularyzacja
popularyzacyjny	popularyzacja
poradniczy	poradnictwo
dżunglowy	dżungla
głogowy	głóg
maratoński	maraton
mitochondrialny	mitochondrium
morenowy	morena
nasypowy	nasyp
palatyński	Palatyn
sandrowy	sandr
salicylowy	salicyl
szafkowy	szafka
wawelski	Wawel
wichrowy	wicher
wieżowy	wieża
biegowy	bieg
celuloidowy	celuloid
durowy	dur
interwałowy	interwał
logarytmiczny	logarytm
magnetofonowy	magnetofon
magnetowidowy	magnetowid
mierniczy	miernictwo
mitotyczny	mitoza
numerologiczny	numerologia
segmentowy	segment
antytetyczny	antyteza
antytetyczny	antyteza
bociani	bocian
drobiowy	drób
gołębi	gołąb
gruczołowaty	gruczoł
indyczy	indyk
jaskółczy	jaskółka
kukułczy	kukułka
kurzy	kura
nasienny	nasienie
nasienny	nasienie
nietoperzowy	nietoperz
nietoperzy	nietoperz
niewieści	niewiasta
piernikowy	piernik
przepiórczy	przepiórka
psi	pies
strusi	struś
wieprzowy	wieprz
wiewiórczy	wiewiórka
wołowy	wół
wylęgowy	wylęg
zajęczy	zając
przedziałowy	przedział
armatni	armata
burmistrzowski	burmistrz
burtowy	burta
cytrusowy	cytrus
flankowy	flanka
gramowy	gram
huraganowy	huragan
kapitański	kapitan
kapitański	kapitan
karabinowy	karabin
krystaliczny	kryształ
kubełkowy	kubełek
kurulny	kuria
muszkietowy	muszkiet
pistoletowy	pistolet
