akademik	dom akademicki
krzyżowanie	skrzyżowanie
dopuszczanie	dopuszczenie
przypuszczanie	przypuszczenie
podpuszczanie	podpuszczenie
zagrzybianie	zagrzybienie
przyjmowanie	przyjęcie
zapluskwianie	zapluskwienie
dozwalanie	dozwolenie
narażanie	narażenie
omamianie się	omamienie się
wystawianie	wystawienie
uprzystępnianie	uprzystępnienie
upublicznianie	upublicznienie
czarterowanie	wyczarterowanie
użyczanie	użyczenie
udzielanie	udzielenie
dawanie	danie
uwspólnianie	uwspólnienie
otwieranie	otwarcie
otwieranie	otworzenie
udostępnianie	udostępnienie
dzierżawienie	wydzierżawianie
dzierżawienie	wydzierżawienie
wydzierżawianie	dzierżawienie
wydzierżawianie	wydzierżawienie
popularyzowanie	spopularyzowanie
odnajmowanie	odnajęcie
wynajmowanie	wynajęcie
wypożyczanie	wypożyczenie
zapoznawanie	zapoznanie
poznawanie	poznanie
zaznajamianie	zaznajomienie
przedstawianie	przedstawienie
prezentowanie	zaprezentowanie
pchanie się	rozepchanie się
pchanie się	rozepchnięcie się
urealnianie	urealnienie
godzenie	pogodzenie
pojednywanie	pojednanie
umożliwianie	umożliwienie
kontaktowanie	skontaktowanie
torowanie	utorowanie
odblokowywanie	odblokowanie
rozpychanie się	rozepchanie się
rozpychanie się	rozepchnięcie się
przełączanie	przełączenie
łączenie	połączenie
pytanie	zapytanie
pytanie	spytanie
nagabywanie	nagabnięcie
zapytywanie	zapytanie
zapytywanie się	zapytanie się
zadawanie pytania	zadanie pytania
pytanie się	zapytanie się
pytanie się	spytanie się
zwracanie się z pytaniem	zwrócenie się z pytaniem
odwoływanie się	odwołanie się
konsultowanie	skonsultowanie
konsultowanie się	skonsultowanie się
zagajanie	zagajenie
zasięganie	zasięgnięcie
zasięganie opinii	zasięgnięcie opinii
mówienie	powiedzenie
radzenie się	poradzenie się
zasięganie rady	zasięgnięcie rady
zapraszanie	zaproszenie
proszenie	zaproszenie
zwracanie się	zwrócenie się
wydawanie	wydanie
podjadanie	podjedzenie
podżeranie	podżarcie
wsuwanie	wsunięcie
wydziobywanie	wydziobanie
wydzióbywanie	wydzióbanie
skubanie	skubnięcie
szczypanie	szczypnięcie
smykanie	smyknięcie
przegryzanie	przegryzienie
zagryzanie	zagryzienie
objadanie	objedzenie
wygryzanie	wygryzienie
przegryzanie	przegryzienie
przekąszanie	przekąszenie
tuczenie się	utuczenie się
zapasanie się	zapasienie się
rozżeranie się	rozżarcie się
żarcie	zżarcie
zżeranie	zżarcie
obżeranie	obżarcie
wyskubywanie	wyskubnięcie
wyskubywanie	wyskubanie
dojadanie	dojedzenie
dzióbnięcie	dzióbanie
dziobnięcie	dziobanie
podskubywanie	podskubanie
żarcie	zżarcie
zżeranie	zżarcie
podjadanie	podjedzenie
podżeranie	podżarcie
przełknięcie	przełykanie
połknięcie	połykanie
łyknięcie	łykanie
wcinanie	wcięcie
jedzenie	dojedzenie
jedzenie	zjedzenie
spożywanie	spożycie
konsumowanie	skonsumowanie
pożywianie się	pożywienie się
częstowanie się	poczęstowanie się
nażeranie się	nażarcie się
obżeranie się	obżarcie się
pchanie w siebie	napchanie w siebie
wylizywanie	wylizanie
pochłanianie	pochłonięcie
połykanie	połknięcie
przełykanie	przełknięcie
łykanie	łyknięcie
chapanie	chapnięcie
wyjadanie	wyjedzenie
wyżeranie	wyżarcie
naładowywanie się	naładowanie się
nadżeranie	nadżarcie
dziobanie	dziobnięcie
dzióbanie	dzióbnięcie
skubanie	skubnięcie
wygryzanie	wygryzienie
pasienie się	upasienie się
najadanie się	najedzenie się
napychanie się	napchanie się
napakowywanie się	napakowanie się
zapychanie się	zapchanie się
pasienie się	napasienie się
odjadanie się	odjedzenie się
uwijanie się	uwinięcie się
pośpieszanie	pośpieszenie
spieszenie się	pospieszenie się
śpieszenie się	pośpieszenie się
pospieszanie	pospieszenie
streszczanie się	streszczenie się
próbowanie	popróbowanie
próbowanie	spróbowanie
smakowanie	posmakowanie
kosztowanie	zakosztowanie
kosztowanie	skosztowanie
degustowanie	zdegustowanie
chłapnięcie	chłapanie
obgryzanie	obgryzienie
ogryzanie	ogryzienie
wrąbywanie	wrąbanie
krzyczenie	zakrzyczenie
krzyczenie	przekrzyczenie
krzyczenie	wykrzyczenie
wykrzykiwanie	wykrzyknięcie
darcie się	podarcie się
kaszlenie	zakaszlenie się
odzywanie się	odezwanie się
przemawianie	przemówienie
zabieranie głosu	zabranie głosu
chichotanie	zachichotanie
ryczenie	ryknięcie
bekanie	beknięcie
wyrywanie się	wyrwanie się
wycie	zawycie
śpiewanie	zaśpiewanie
odśpiewywanie	odśpiewanie
wyciąganie	wyciągnięcie
odgwizdywanie	odgwizdanie
pogwizdywanie	pogwizdanie
wydobywanie głosu	wydobycie głosu
gwizdanie	zagwizdanie
gwizdanie	pogwizdanie
gwizdanie	odgwizdanie
gwizdanie	odgwizdanie
świstanie	świśnięcie
fukanie	fuknięcie
prychanie	prychnięcie
odchrząkiwanie	odchrząknięcie
dławienie się	udławienie się
zachłystywanie się	zachłyśnięcie się
mlaskanie	mlaśnięcie
syczenie	zasyczenie
syczenie	syknięcie
sykanie	syknięcie
pykanie	pyknięcie
bałaganienie	zabałaganienie
bałaganienie	zabałaganienie
smrodzenie	zasmrodzenie
zasmradzanie	zasmrodzenie
zadymianie	zadymienie
zasalanie	zasolenie
zamulanie	zamulenie
zasiarczanie	zasiarczenie
osmalanie	osmalenie
pylenie	zapylenie
zapylanie	zapylenie
zasalanie	zasolenie
zaczadzanie	zaczadzenie
okopcanie	okopcenie
śmiecenie	naśmiecenie
śmiecenie	zaśmiecenie
zaśmiecanie	zaśmiecenie
zatruwanie	zatrucie
skażanie	skażenie
zanieczyszczanie	zanieczyszczenie
zanoszenie	zaniesienie
odnoszenie	odniesienie
wnoszenie	wniesienie
obwożenie	obwiezienie
wnoszenie	wniesienie
kolportowanie	rozkolportowanie
doręczanie	doręczenie
oddawanie	oddanie
wtaszczanie	wtaszczenie
odstawianie	odstawienie
odżywianie	odżywienie
dowożenie	dowiezienie
podrzucanie	podrzucenie
zasilanie	zasilenie
rozprowadzanie	rozprowadzenie
wiezienie	nawiezienie
eskortowanie	odeskortowanie
wożenie	nawożenie się
wożenie	nawożenie
odstawianie	odstawienie
przytaczanie	przytoczenie
ładowanie	naładowanie
naładowywanie	naładowanie
rozwożenie	rozwiezienie
przynoszenie	przyniesienie
donoszenie	doniesienie
dostawianie	dostawienie
wwożenie	wwiezienie
przewożenie	przewiezienie
nadsyłanie	nadścielenie
dostarczanie	dostarczenie
napływanie	napłynięcie
wpływanie	wpłynięcie
zawożenie	zawiezienie
przywożenie	poprzywożenie
przywożenie	przywiezienie
roznoszenie	rozniesienie
odholowywanie	odholowanie
opadanie	opadnięcie
tonięcie	utonięcie
oblatywanie	oblecenie
ślinienie	poślinienie
skrapianie	skropienie
kropienie	skropienie
nakrapianie	nakropienie
skraplanie	skroplenie
wypsikiwanie	wypsikanie
zwilżanie	zwilżenie
spryskiwanie	spryskanie
opryskiwanie	opryskanie
nurkowanie	zanurkowanie
zanurzanie się	zanurzanie
perfumowanie	poperfumowanie
perfumowanie	uperfumowanie
moczenie	przemoczenie
moczenie	zmoczenie
przemaczanie	przemoczenie
obmywanie	obmycie
omywanie	omycie
nawadnianie	nawodnienie
nawodnianie	nawodnienie
ochlapywanie	ochlapanie
opryskiwanie	opryskanie
obryzgiwanie	obryzganie
zapryskiwanie	zapryskanie
zabryzgiwanie	zabryzganie
zachlapywanie	zachlapanie
zlewanie	zlanie
pryskanie	pryśnięcie
spryskiwanie	spryskanie
opryskiwanie	opryskanie
podlewanie	podlanie
nawilżanie	nawilżenie
nasączanie	nasączenie
dobywanie	dobycie
rozkrzewianie	rozkrzewienie
grzechotanie	zagrzechotanie
zapalanie	zapalenie
świecenie	zaświecenie
świecenie	poświecenie
zaświecanie	zaświecenie
parzenie	sparzenie
wytwarzanie dźwięku	wytworzenie dźwięku
chrzęszczenie	zachrzęszczenie
odprężanie	odprężenie
miganie	mignięcie
sparzenie	parzenie
brzęczenie	zabrzęczenie
klonowanie	sklonowanie
wydobywanie	wydobycie
rozmnażanie	rozmnożenie
mnożenie	rozmnożenie
rozplenianie	rozplenienie
pomnażanie	pomnożenie
tłumienie	stłumienie
brząkanie	brząknięcie
brzękanie	brzęknięcie
szczękanie	szczęknięcie
włączanie	włączenie
palenie	zapalenie
zaprzedawanie się	zaprzedanie się
uleganie	ulegnięcie
słuchanie	usłuchanie
słuchanie	posłuchanie
ustępowanie	ustąpienie
podporządkowywanie się	podporządkowanie się
zachowywanie	zachowanie
oddawanie się	oddanie się
sprzedawanie się	sprzedanie się
kontentowanie się	ukontentowanie się
wariowanie	zwariowanie
bzikowanie	zbzikowanie
odbijanie	odbicie
odprawianie się	odprawienie się
znoszenie	zniesienie
zapominanie się	zapomnienie się
nasiąkanie	nasiąknięcie
przesiąkanie	przesiąknięcie
dźwiganie	dźwignięcie
akceptowanie	zaakceptowanie
uginanie się	ugięcie się
wpadanie	wpadnięcie
badanie się	zbadanie się
poprzestawanie	poprzestanie
obywanie się	obycie się
obchodzenie się	obejście się
poddawanie się	poddanie się
uleganie	ulegnięcie
zadowalanie się	zadowolenie się
popuszczanie pasa	popuszczenie pasa
przepuszczanie	przepuszczenie
przepuszczanie	przepuszczenie
dozwalanie	dozwolenie
meldowanie się	zameldowanie się
meldowanie się	meldowanie
wpuszczanie	wpuszczenie
wysadzanie	wysadzenie
wypuszczanie	wypuszczenie
puszczanie	puszczenie
popuszczanie	popuszczenie
chrzczenie się	ochrzczenie się
zezwalanie	zezwolenie
zgadzanie się	zgodzenie się
pozwalanie	pozwolenie
akceptowanie	zaakceptowanie
godzenie się	zgodzenie się
przystawanie	przystanie
przyzwalanie	przyzwolenie
uleganie	ulegnięcie
udzielanie	udzielenie
meldowanie	meldowanie się
meldowanie	zameldowanie
anonsowanie	zaanonsowanie
przyjmowanie	przyjęcie
puszczanie	puszczenie
kupowanie	kupienie
dopuszczanie	dopuszczenie
kupowanie	kupienie
aprobowanie	zaaprobowanie
identyfikowanie się	zidentyfikowanie się
uznawanie	uznanie
wierzenie	uwierzenie
dawanie wiary	danie wiary
przekonywanie się	przekonanie się
narzucanie	narzucenie
forsowanie	przeforsowanie
przeforsowywanie	przeforsowanie
przepychanie	przepchnięcie
romanizowanie	zromanizowanie
romanizowanie	romanizowanie się
rusyfikowanie	zrusyfikowanie
rusyfikowanie	rusyfikowanie się
slawizowanie	zeslawizowanie
slawizowanie	slawizowanie się
tyranizowanie	styranizowanie
madziaryzowanie	zmadziaryzowanie
madziaryzowanie	madziaryzowanie się
ukrainizowanie	zukrainizowanie
ukrainizowanie	ukrainizowanie się
germanizowanie	zgermanizowanie
niemczenie	zniemczenie
zniemczanie	zniemczenie
arabizowanie	arabizowanie się
arabizowanie	zarabizowanie
wlepianie	wlepienie
aplikowanie	zaaplikowanie
chrystianizowanie	schrystianizowanie
hellenizowanie	zhellenizowanie
polonizowanie	spolonizowanie
turczenie	sturczenie
turczenie	turczenie się
dyktowanie	podyktowanie
judaizowanie	zjudaizowanie
judaizowanie	judaizowanie się
amerykanizowanie	zamerykanizowanie
amerykanizowanie	amerykanizowanie się
przepieranie	przeparcie
bezczeszczenie	zbezczeszczenie
profanowanie	sprofanowanie
zbezczeszczanie	zbezczeszczenie
upokarzanie	upokorzenie
obrażanie	obrażenie
deptanie	zdeptanie
odczłowieczanie	odczłowieczenie
dehumanizowanie	zdehumanizowanie
odhumanizowywanie	odhumanizowanie
wyzywanie	wyzwanie
poniżanie	poniżenie
upadlanie	upodlenie
znieważanie	znieważenie
ripostowanie	zripostowanie
odpalanie	odpalenie
odpisywanie	odpisanie
odpowiadanie	odpowiedzenie
odpyskowywanie	odpysknięcie
odpyskowywanie	odpyskowanie
odpyskiwanie	odpysknięcie
odpyskiwanie	odpyskowanie
odburkiwanie	odburknięcie
odwarkiwanie	odwarknięcie
odmrukiwanie	odmruknięcie
odpowiadanie	odpowiedzenie
dawanie odpowiedzi	danie odpowiedzi
odpieranie	odparcie
odrzekanie	odrzeknięcie
udzielanie odpowiedzi	udzielenie odpowiedzi
odszeptywanie	odszepnięcie
odparowywanie	odparowanie
odkrzykiwanie	odkrzyknięcie
odwrzaskiwanie	odwrzaśnięcie
oddzwanianie	oddzwonienie
odtelefonowywanie	odtelefonowanie
odbąkiwanie	odbąknięcie
replikowanie	zareplikowanie
odpowiadanie	odpowiedzenie
odkłanianie się	odkłonienie się
przyjmowanie	przyjęcie
wybuchanie	wybuchnięcie
odgwizdywanie	odgwizdanie
przemilczanie	przemilczenie
odwzajemnianie się	odwzajemnienie się
odpłacanie się	odpłacenie się
odwzajemnianie	odwzajemnienie
odpłacanie	odpłacenie
odpowiadanie	odpowiedzenie
oddawanie	oddanie
rewanżowanie się	zrewanżowanie się
podejmowanie	podjęcie
wypłacanie	wypłacenie
wypłacanie się	wypłacenie się
odpieranie	odparcie
bronienie się	obronienie się
milczenie	pomilczenie
mszczenie	pomszczenie
mszczenie się	pomszczenie się
mszczenie się	zemszczenie się
odgrywanie się	odegranie się
szarpanie się	szarpnięcie się
kontrowanie	skontrowanie
kwitowanie	skwitowanie
reagowanie	zareagowanie
zachowywanie	zachowanie
marnowanie	zmarnowanie
zniżanie się	zniżenie się
upadlanie się	upodlenie się
spodlanie się	spodlenie się
odstawianie	odstawienie
postępowanie	postąpienie
wciąganie się	wciągnięcie się
zachwycanie się	zachwycenie się
zapracowywanie	zapracowanie
poczynanie sobie	poczynania
padanie na kolana	padnięcie na kolana
grzeszenie	zgrzeszenie
wyłamywanie się	wyłamanie się
ryzykowanie	zaryzykowanie
posuwanie się	posunięcie się
odważanie się	odważenie się
ośmielanie się	ośmielenie się
poważanie się	poważenie się
zeszmacanie się	zeszmacenie się
angażowanie się	zaangażowanie się
targanie się	targnięcie się
zapominanie się	zapomnienie się
rozpływanie się	rozpłynięcie się
hańbienie się	pohańbienie się
hańbienie się	zhańbienie się
okrywanie się hańbą	okrycie się hańbą
plugawienie się	splugawienie się
pogrywanie	pogranie
spisywanie się	spisanie się
granie	zagranie
obciąganie chuja	obciągnięcie chuja
obciąganie fiuta	obciągnięcie fiuta
obciąganie loda	obciągnięcie loda
robienie gały	zrobienie gały
robienie laski	zrobienie laski
robienie loda	zrobienie loda
wzięcie do buzi	branie do buzi
dawanie	danie
obsługiwanie	obsłużenie
zaspakajanie	zaspokojenie
zaspokajanie	zaspokojenie
kurwienie się	skurwienie się
branie	wzięcie
ruchanie	ruchanie się
ruchanie	przeruchanie
ruchanie	wyruchanie
rżnięcie	przerżnięcie
rżnięcie	zerżnięcie
grzmocenie	grzmocenie się
grzmocenie	wygrzmocenie
grzmocenie	grzmotnięcie
posuwanie	posunięcie
oranie	zaoranie
oranie	przeoranie
młócenie	wymłócenie
dymanie	wydymanie
branie do buzi	wzięcie do buzi
zaliczanie	zaliczenie
przelatywanie	przelecenie
pukanie	puknięcie
dmuchanie	dmuchnięcie
pykanie	pyknięcie
bzykanie	bzyknięcie
ruchanie się	ruchanie
grzmocenie się	grzmocenie
grzmocenie się	grzmotnięcie się
puszczanie się	puszczenie się
bzykanie się	bzyknięcie się
pykanie się	pyknięcie się
zabawianie się	zabawienie się
figlowanie	pofiglowanie
chędożenie	wychędożenie
ciupcianie	wyciupcianie
zdychanie	zdechnięcie
osierocanie	osierocenie
wykrwawianie się	wykrwawienie się
obsypywanie się	obsypanie się
osypywanie się	osypanie się
żegnanie się ze światem	pożegnanie się ze światem
wykrwawianie się	wykrwawienie się
umieranie	umarcie
gaśnięcie	zgaśnięcie
odchodzenie	odejście
zdychanie	zdechnięcie
padanie	padnięcie
wygasanie	wygaśnięcie
wymarzanie	wymarznięcie
tonięcie	zatonięcie
tonięcie	utonięcie
topienie się	utopienie się
przemarzanie	przemarznięcie
zamarzanie	zamarznięcie
marznięcie	zmarznięcie
marznięcie	przymarznięcie
kończenie	skończenie
zostawianie	zostawienie
pozostawianie	pozostawienie
ginięcie	zginięcie
tracenie życia	stracenie życia
wymieranie	wymarcie
odumieranie	odumarcie
korkowanie	wykorkowanie
dopalanie się	dopalenie się
tonięcie	utonięcie
ustawanie	ustanie
mętnienie	zmętnienie
rozwiązywanie	rozwiązanie
zachodzenie	zajście
ślepnięcie	oślepnięcie
ustępowanie	ustąpienie
cichnięcie	ucichnięcie
uciszanie się	uciszenie się
ucichanie	ucichnięcie
rozchodzenie się	rozejście się
rozpraszanie się	rozproszenie się
umieranie	umarcie
mijanie	minięcie
przechodzenie	przejście
przestawanie	przestanie
ustawanie	ustanie
rozformowywanie	rozformowanie
wsiąkanie	wsiąknięcie
dogasanie	dogaśnięcie
wygasanie	wygaśnięcie
odchodzenie	odejście
odbieganie	odbiegnięcie
cichnięcie	ucichnięcie
milknięcie	umilknięcie
milknięcie	zamilknięcie
rozwiewanie się	rozwianie się
przygasanie	przygaśnięcie
chowanie się	schowanie się
krycie się	pokrycie się
wygasanie	wygaśnięcie
ginięcie	zginięcie
zanikanie	zaniknięcie
zamykanie	zamknięcie
utykanie	utknięcie
rozchodzenie się	rozejście się
wypalanie się	wypalenie się
wybrzmiewanie	wybrzmienie
przebrzmiewanie	przebrzmienie
pogrążanie się	pogrążenie się
zacieranie się	zatarcie się
rozpływanie się	rozpłynięcie się
rozmywanie się	rozmycie się
rozmazywanie się	rozmazanie się
zamazywanie się	zamazanie się
znikanie	zniknięcie
niknięcie	zniknięcie
przepadanie	przepadnięcie
uspokajanie się	uspokojenie się
uspokajanie się	uspokojenie się
ułagadzanie się	ułagodzenie się
przycichanie	przycichnięcie
zamieranie	zamarcie
przestawanie	przestanie
obumieranie	obumarcie
bankrutowanie	zbankrutowanie
przemijanie	przeminięcie
finalizowanie się	sfinalizowanie się
kończenie się	zakończenie się
wygasanie	wygaśnięcie
kończenie się	zakończenie się
kończenie się	skończenie się
dobieganie końca	dobiegnięcie końca
przechodzenie	przejście
przekwitanie	przekwitnięcie
rozpadanie się	rozpadnięcie się
rozlatywanie się	rozlecenie się
rozsypywanie się	rozsypanie się
walenie się	zawalenie się
nadpływanie	nadpłynięcie
przypływanie	przypłynięcie
dochodzenie	dojście
dochodzenie	dojście
wchodzenie	wejście
wkraczanie	wkroczenie
zbliżanie się	zbliżenie się
nadciąganie	nadciągnięcie
nadchodzenie	nadejście
dochodzenie	dojście
spuszczanie się	spuszczenie się
dobieganie	dobiegnięcie
dobieganie	dobiegnięcie
podkręcanie	podkręcenie
spychanie	zepchnięcie
wpychanie	wepchanie
wpychanie	wepchnięcie
wmuszanie	wmuszenie
wtykanie	wetknięcie
gwałcenie	zgwałcenie
wykorzystywanie	wykorzystanie
dobieranie się	dobranie się
pośpieszanie	pośpieszenie
pospieszanie	pospieszenie
poganianie	pogonienie
przynaglanie	przynaglenie
popędzanie	popędzenie
ponaglanie	ponaglenie
naglenie	ponaglenie
naglenie	przynaglenie
wpieprzanie się	wpieprzenie się
wpierdalanie się	wpierdolenie się
przyczepianie się	przyczepienie się
doczepianie się	doczepienie się
przyklejanie się	przyklejenie się
przylepianie się	przylepienie się
przypinanie się	przypięcie się
przyplątywanie się	przyplątanie się
uczepianie się	uczepienie się
zaprzęganie	zaprzężenie
wprzęganie	wprzęgnięcie
wprzęganie	wprzężenie
nastręczanie się	nastręczenie się
stawianie pod ścianą	postawienie pod ścianą
przykrochmalanie się	przykrochmalenie się
wtrącanie się	wtrącenie się
wścibianie się	wścibienie się
wściubianie się	wściubienie się
przysysanie się	przyssanie się
wsadzanie nosa	wsadzenie nosa
wtykanie nosa	wetknięcie nosa
wścibianie nosa	wścibienie nosa
pchanie nosa	wepchnięcie nosa
wpychanie nosa	wepchnięcie nosa
wsadzanie nosa w nie swoje sprawy	wsadzenie nosa w nie swoje sprawy
wtykanie nosa w nie swoje sprawy	wetknięcie nosa w nie swoje sprawy
wścibianie nosa w nie swoje sprawy	wścibienie nosa w nie swoje sprawy
pchanie nosa w nie swoje sprawy	wepchnięcie nosa w nie swoje sprawy
wpychanie nosa w nie swoje sprawy	wepchnięcie nosa w nie swoje sprawy
wsadzanie nosa w cudze sprawy	wsadzenie nosa w cudze sprawy
wtykanie nosa w cudze sprawy	wetknięcie nosa w cudze sprawy
wścibianie nosa w cudze sprawy	wścibienie nosa w cudze sprawy
pchanie nosa w cudze sprawy	wepchnięcie nosa w cudze sprawy
wpychanie nosa w cudze sprawy	wepchnięcie nosa w cudze sprawy
ściąganie	ściągnięcie
spajanie	spojenie
spijanie	spicie
upijanie	upicie
odbywanie stosunku płciowego	odbycie stosunku płciowego
przyduszanie	przyduszenie
zmuszanie	zmuszenie
przymuszanie	przymuszenie
wymuszanie	wymuszenie
pojenie	spojenie
wyciskanie	wyciśnięcie
wyduszanie	wyduszenie
zapędzanie	zapędzenie
zaganianie	zagnanie
zaganianie	zagonienie
narzucanie się	narzucenie się
wyciskanie	wyciśnięcie
windykowanie	zwindykowanie
zamykanie ust	zamknięcie ust
zatykanie ust	zatkanie ust
egzekwowanie	wyegzekwowanie
zamykanie gęby	zamknięcie gęby
zamykanie mordy	zamknięcie mordy
zamykanie pyska	zamknięcie pyska
przypierdalanie się	przypierdolenie się
przypierdzielanie się	przypierdzielenie się
zamykanie buzi	zamknięcie buzi
zatykanie buzi	zatkanie buzi
przykładanie noża do gardła	przyłożenie noża do gardła
przeganianie	przegonienie
wytrzymywanie	wytrzymanie
molestowanie	zmolestowanie
katowanie	zakatowanie
katowanie	skatowanie
chłostanie	chłośnięcie
chłostanie	wychłostanie
smaganie	wysmaganie
smaganie	smagnięcie
pałowanie	spałowanie
nalewanie	nalanie
batożenie	zabatożenie
masakrowanie	zmasakrowanie
tłuczenie	potłuczenie
tłuczenie	stłuczenie
grzanie	dogrzanie
grzanie	przygrzanie
grzanie	dogrzanie
policzkowanie	spoliczkowanie
biczowanie	ubiczowanie
bicie	wybicie
bicie	nabicie
bicie	zbicie
bicie	pobicie
dawanie	danie
lanie	zlanie
lanie	nalanie
lanie	wlanie
pranie	spranie
dawanie wycisku	danie wycisku
odblokowywanie	odblokowanie
uruchamianie	uruchomienie
uruchomianie	uruchomienie
włączanie	włączenie
odpalanie	odpalenie
odkręcanie wody	odkręcenie wody
odpalanie	odpalenie
zapuszczanie	zapuszczenie
odkręcanie kurka	odkręcenie kurka
puszczanie	puszczenie
włączanie	włączenie
zapalanie	zapalenie
odkręcanie gazu	odkręcenie gazu
wykwaterowywanie	wykwaterowanie
przeflancowywanie	przeflancowanie
przenoszenie	przenoszenie się
przenoszenie	przenoszenie się
przenoszenie	przeniesienie
przesuwanie	przesunięcie
przesiedlanie	przesiedlenie
przesiedlanie	przesiedlanie się
wysiedlanie	wysiedlenie
dawanie awansu	danie awansu
przepisywanie	przepisywanie się
przepisywanie	przepisanie
repatriowanie	repatriowanie się
przeładowywanie	przeładowanie
nasadzanie	nasadzenie
obładowywanie	obładowanie
nakręcanie	nakręcenie
obciążanie	obciążenie
nakładanie	nałożenie
obrywanie się	oberwanie się
wbijanie	wbicie
nabijanie	nabicie
nadziewanie	nadzianie
przeciążanie	przeciążenie
nasuwanie	nasunięcie
objuczanie	objuczenie
obarczanie	obarczenie
nakłuwanie	nakłucie
nawlekanie	nawleczenie
nanizywanie	nanizanie
nizanie	nanizanie
cyzelowanie	wycyzelowanie
gładzenie	wygładzenie
wygładzanie	wygładzenie
ogładzanie	ogładzenie
wyślizgiwanie	wyślizganie
obciąganie	obciągnięcie
polerowanie	wypolerowanie
glancowanie	wyglancowanie
glansowanie	wyglansowanie
wyświecanie	wyświecenie
heblowanie	oheblowanie
oheblowywanie	oheblowanie
struganie	ostruganie
docieranie	dotarcie
froterowanie	wyfroterowanie
obtaczanie	obtoczenie
prasowanie	uprasowanie
prasowanie	wyprasowanie
odprasowywanie	odprasowanie
piłowanie	spiłowanie
piłowanie	opiłowanie
opiłowywanie	opiłowanie
spiłowywanie	spiłowanie
przygładzanie	przygładzenie
szlifowanie	oszlifowanie
wyszlifowywanie	wyszlifowanie
rozbijanie	porozbijanie
rozbijanie	rozbicie
roztaczanie	roztoczenie
rozpinanie	rozpięcie
rozpinanie	porozpinanie
otwieranie	otworzenie
rozkładanie	rozłożenie
rozpościeranie	rozpostarcie
rozwijanie	rozwijanie się
rozwijanie	rozwinięcie
odwijanie	odwinięcie
rozciąganie	rozciągnięcie
rozczapierzanie	rozczapierzenie
rozścielanie	rozścielenie
słanie	posłanie
ścielenie	pościelenie
wyciąganie	powyciąganie
wyciąganie	wyciągnięcie
sięganie	sięgnięcie
wyciąganie ręki	wyciągnięcie ręki
rozwlekanie	rozwleczenie
rozstawianie	rozstawienie
rozstawianie	porozstawianie
ustawianie	ustawienie
ustawianie	poustawianie
rozkręcanie	rozkręcenie
rozsuwanie	rozsunięcie
prostowanie	wyprostowanie
prostowanie	rozprostowanie
rozprostowywanie	rozprostowanie
wyprostowywanie	wyprostowanie
nabijanie	nabicie
wybijanie	wybicie
wybijanie	powybijanie
wysadzanie	wysadzenie
okuwanie	okucie
oprawianie	oprawienie
utwierdzanie	utwierdzenie
obsadzanie	obsadzenie
osadzanie	osadzenie
obijanie	obicie
poszywanie	poszycie
zakładanie	założenie
przyklejanie	przyklejenie
przylepianie	przylepienie
naklejanie	naklejenie
nalepianie	nalepienie
oblepianie	oblepienie
oklejanie	oklejenie
obklejanie	obklejenie
przyprószanie	przyprószenie
zadrukowywanie	zadrukowanie
wykładanie	wyłożenie
kładzenie	położenie
pokrywanie	pokrycie
oprószanie	oprószenie
zadrzewianie	zadrzewienie
obszywanie	obszycie
opylanie	opylenie
żwirowanie	wyżwirowanie
wyklejanie	wyklejenie
wklejanie	wklejenie
wlepianie	wlepienie
zazielenianie	zazielenienie
tapetowanie	wytapetowanie
oblepianie	oblepienie
zalesianie	zalesienie
wyściełanie	wysłanie
wyścielanie	wyścielenie
moszczenie	umoszczenie
moszczenie	wymoszczenie
obsypywanie	obsypanie
posypywanie	posypanie
osypywanie	osypanie
osypywanie	sypanie
zabazgrywanie	zabazgranie
pokrywanie	pokrycie
krycie	pokrycie
krycie	pokrycie
krycie	pokrycie
pokrywanie	pokrycie
klejenie	wklejenie
lepienie	zlepienie
sklejanie	sklejenie
zlepianie	zlepienie
wysypywanie	wysypanie
brukowanie	wybrukowanie
dekowanie	zadekowanie
osłanianie	poosłanianie
osłanianie	osłonięcie
zasłanianie	pozasłanianie
zasłanianie	zasłonięcie
obkładanie	obłożenie
odgradzanie	odgrodzenie
obudowywanie	obudowanie
ogradzanie się	ogrodzenie się
okrywanie	okrycie
zagruzowywanie	zagruzowanie
przykrywanie	przykrycie
nakrywanie	nakrycie
kratowanie	zakratowanie
zakrywanie	zakrycie
zagradzanie się	zagrodzenie się
ogradzanie	ogrodzenie
grodzenie	przegrodzenie
grodzenie	odgrodzenie
grodzenie	ogrodzenie
ograniczanie	ograniczenie
zasypywanie	zasypanie
przekładanie	przełożenie
rozdzielanie	rozdzielenie
przedzielanie	przedzielenie
wsadzanie	wsadzenie
pakowanie	popakowanie
pakowanie	wypakowanie
pakowanie	upakowanie
pakowanie	upakowanie
pakowanie	zapakowanie
pakowanie	spakowanie
dopychanie	dopchnięcie
dopychanie	dopchanie
wścibianie	wścibienie
wściubianie	wściubienie
pakowanie się	spakowanie się
zwijanie się	zwinięcie się
zbieranie się	zebranie się
wślizgiwanie	wśliźnięcie
wkładanie	włożenie
wkładanie	powkładanie
wkręcanie	wkręcenie
przepakowywanie się	przepakowanie się
przegradzanie	przegrodzenie
kładzenie	nakładzenie
kładzenie	położenie
podsadzanie	podsadzenie
ciułanie	uciułanie
układanie	ułożenie
przekładanie	przełożenie
chowanie	pochowanie
grzebanie	pogrzebanie
odkładanie	odłożenie
podkładanie	podłożenie
