antagonizm	antagonizować
powrót na tarczy	wrócić na tarczy
rozstrzygnięcie	rozstrzygnąć
pożegnanie	pożegnać
powitanie	powitać
przywitanie	przywitać
pozdrowienie	pozdrowić
zatrucie	zatruć
szarpnięcie	szarpnąć
szarpnięcie	szarpnąć
odprężenie	odprężyć
uraza	urazić
żal	żałować
upokorzenie	upokorzyć
ubaw	ubawić
ubaw	ubawić się
współczucie	współczuć
przedział	przedzielić
produkcja	produkować
realizacja	realizować
realizacja	realizować
wyjaśnienie	wyjaśnić
poznawanie	poznawać
domniemanie	domniemać
doniesienie	donieść
wkurw	wkurwiać
wspomnienie	wspominać
nakłucie	nakłuć
obtłuczenie	obtłuc
zadrapnięcie	zadrapnąć
zadrapanie	zadrapać
zadrapnięcie	zadrapnąć
ścięcie	ściąć
zemdlenie	zemdleć
zwieńczenie	zwieńczyć
ryk	ryczeć
wykop	wykopać
zapis	zapisać
zapis	zapisać się
wróżba	wróżyć
skład	składać
kreacja	kreować
spekulacja	spekulować
poślizg	ślizgać się
wypisek	wypisać
lutowina	lutować
dedykacja	dedykować
uznanie	uznać
wjazd	wjeżdżać
scalak	scalić
wyślizg	wyślizgnąć się
obłam	obłamać
gęgot	gęgotać
gęg	gęgać
strata	stracić
klepacz	klepać
klepaniec	klepać
nadziewka	nadziewać
stopiwo	stapiać
stopiwo	stapiać
plątaniec	plątać
plomba	plombować
plombowiec	plombować
żyro	żyrować
przemalunek	przemalować
oblamówka	oblamować
lutunek	lutować
dokręt	dokręcić
spalenisko	spalić się
budowisko	budować
asygnacja	asygnować
naklejanka	naklejać
naklejanka	naklejać
podmiana	podmienić
wyrzynek	wyrzynać
zaskok	zaskoczyć
ostrużyna	ostrugać
ostrużyna	ostrugać
poślubiny	poślubić
podbudówka	podbudować
podgląd	podglądać
tykot	tykać
cykot	cykać
ględźba	ględzić
szczękot	szczękać
szczękot	szczękać
szczękot	szczękać
ubierka	urabiać
zrzynek	zrzynać
parkot	parkotać
pyrkot	pyrkotać
perkot	perkotać
awizacja	awizować
przypalenizna	przypalić
przypalenizna	przypalić
wykrawek	wykroić
podglądactwo	podglądać
tłuczka	tłuc
stłuczka	stłuc
przedział	przedzielić
zawiew	zawiewać
hormonizacja	hormonizować
psychologizacja	psychologizować
akademizacja	akademizować
megafonizacja	megafonizować
wyprzenie	wyprzeć
zawołanie	zawołać
oskarżenie	oskarżyć
przystosowanie	przystosować się
ćwiczenie	ćwiczyć
ćwiczenie	ćwiczyć
pobicie	pobić
adaptacja	adaptować się
bazgrot	bazgrać
zestawienie	zestawić
składka	składać
wypis	wypisać
wypis	wypisać
opłata	opłacić
zakładka	zakładać
dyspozycja	dysponować
promocja	promować
redukcja	redukować
cięcia	ciąć
wstrząs	wstrząsać
współbrzmienie	współbrzmieć
zwierzenie	zwierzyć się
szmer	szemrać
wrzawa	wrzeć
dociekania	dociekać
postępowanie	postępować
zapylenie	zapylić
błaganie	błagać
poprawka	poprawić
poprawa	poprawiać
skreślenie	skreślić
ulepszenie	ulepszyć
przeróbka	przerobić
marsz	maszerować
akompaniament	akompaniować
przygrywka	przygrywać
decentralizacja	decentralizować
ślizgawka	ślizgać się
przewrót	przewrócić
odsypisko	odsypać
wykolejenie	wykoleić
implikatura	implikować
przędzina	prząść
przesył	przesyłać
lepiej	lepić
wykluczenie	wykluczyć
wytopisko	wytopić się
wysklepek	wysklepić
zgrzew	zgrzewać
jednane	jednać się
ścieki	ściekać
namiar	namierzać
proklama	proklamować
czechizacja	czechizować
współwystępowanie	współwystępować
zaburzenie	zaburzyć
zakłócenie	zakłócić
żywotopis	pisać
wyżynka	wyżynać
wyłam	wyłamać się
wyłów	wyławiać
wyłów	wyłowić
nalewka	nalewać
zachłyst	zachłysnąć się
zakrztuszenie	zakrztusić się
zachłyśnięcie	zachłysnąć się
zachłyst	zachłysnąć się
zakop	zakopać
pieczyste	piec
zaoblenie	zaoblić
zaplot	zaplatać
zaplot	zaplatać się
rozpadlisko	rozpadać się
rozpadlina	rozpadać się
prażmo	prażyć
wykonanie	wykonać
wykonanie	wykonać
tłuczeniec	tłuc
rozmodlenie	rozmodlić się
wyręb	wyrębywać
bitka	bić
kopanina	kopać
uplot	uplatać
uplot	upleść
gza	gzić się
przykurcz	przykurczyć
odkup	odkupić
warzonka	warzyć
zestrzał	zestrzelić
zeskrobina	zeskrobać
zeskrobina	zeskrobać
wygład	wygładzać
mlaskot	mlaskać
patrochy	patroszyć
zgorzelizna	zgorzeć
zgryw	zgrywać się
kpina	kpić
drwina	drwić
znajdek	znaleźć
znajduch	znaleźć
wlepka	wlepiać
oblew	oblewać
obród	obrodzić
polew	polewać
obrywka	obrywać
łzotok	toczyć się
peklówka	peklować
obsuwisko	obsuwać się
pieszczota	pieścić
zsypka	zsypać
odgrywka	odgrywać się
pierzch	pierzchać
odróbka	odrobić
odsyp	odsypać
okorek	okorować
wyszywka	wyszywać
podkurcz	podkurczyć
nalepianka	nalepiać
wypuk	pukać
wydój	wydoić
guzdralstwo	guzdrać się
stępia	stąpać
okot	okocić się
przytrucie	przytruć się
wyrocznica	wyrokować
współpracownictwo	współpracować
ostrużyny	ostrugać
oszewka	obszywać
wypar	wyparować
wystrzyganka	strzyc
kapanina	kapać
ocios	ociosać
murowanka	murować
nadział	nadzielić
rozpływ	rozpływać się
znajdek	znaleźć
znajda	znaleźć
sraka	srać
zawała	zawalić
załam	załamać się
prześmiechy	prześmiewać się
przesyp	przesypać się
przesyp	przesypać się
przewiert	przewiercić
fechty	fechtować
przelęknienie	przelęknąć się
koncentrak	koncentrować
odwarstwienie	odwarstwiać się
nacieczenie	naciekać
naciek	naciekać
naciek	naciekać
dezawuacja	dezawuować
zaszewka	zaszywać
doczepka	doczepiać
infiltracja	infiltrować
wypustek	wypuszczać
wkrętka	wkręcać
rozpis	rozpisać
wydzieranka	wydzierać
poryk	porykiwać
poryk	porykiwać
wylew	wylewać się
okucie	okuć
stepowanie	stepować
polewka	polewać
rozbiór	rozebrać
wyszczególnienie	wyszczególnić
zwarcie	zewrzeć się
zwarcie	zewrzeć się
odlot	odlatywać
gimnastyka	gimnastykować się
przybytek	przybywać
żłób	żłobić
potwierdzenie	potwierdzić
pucówka	pucować
przetwór	przetwarzać
zaskok	zaskoczyć
urodzenie	urodzić się
skrócenie	skrócić
uproszczenie	uprościć
ślizg	ślizgać się
ślizg	ślizgać się
ślizg	ślizgać się
wschody	wzejść
aktualizacja	aktualizować
jazda	jeździć
odrzut	odrzucić
podrzut	podrzucić
pozdrowienie	pozdrawiać
pożegnanie	pożegnać
oddziaływanie	oddziaływać
przerzut	przerzucić
zakwaterowanie	zakwaterować
zlewka	zlewać
ustalenie	ustalić
jazgot	jazgotać
koordynacja	koordynować
odliczenie	odliczać
zmartwienie	zmartwić
odwzorowanie	odwzorować
żywienie	żywić
usiłowanie	usiłować
przelew krwi	przelewać krew
zakręt	zakręcać
restart	restartować
reset	resetować się
reset	resetować
baczenie	baczyć
