id;quantity;type;reverse;name;description;posstr;display;shortcut;autoreverse;pwn;tests
59;23967;"relacja leksykalna";"-1";"derywacyjność";"Derywaty synchroniczne reprezentujące procesy mniej regularne łączymy z podstawami słowotwórczymi relacją derywacyjności.";"czasownik,rzeczownik,przysłówek,przymiotnik";"&lt;x#> jest derywatem od &lt;y#>";"der";"false";"p_+";"(jednostka &lt;x#> jest derywatem jednostki &lt;y#>,rzeczownik) (jednostka &lt;x#> jest derywatem jednostki &lt;y#>,przymiotnik) (jednostka &lt;x#> jest derywatem jednostki &lt;y#>,czasownik) (Jednostka &lt;x#> jest derywatem jednostki &lt;y#>.,przysłówek)"
60;10352;"relacja pomiędzy synsetami";"60";"bliskoznaczność";"Wyrazy bliskoznaczne różnią się w sposób istotny rejestrem, przy czym wszystkie relacje synsetów mają takie same z wyjątkiem relacji hiperonimii (= mogą różnić się hiponimami).";"czasownik,rzeczownik,przysłówek,przymiotnik";"&lt;x#> jest bliskoznaczne z &lt;y#>";"bzn";"true";"p_b";"(&lt;x#> i &lt;y#> mają wspólny hiperonim, zbiory ich hiponimów nie pokrywają się,rzeczownik) (&lt;x#> i &lt;y#> nie są synonimami,rzeczownik) (jeżeli ktoś/coś jest &lt;y#subst:sg:inst:%>, to także jest &lt;x#:subst:sg:inst:%> [pomijając różnicę rejestrów stylistycznych],rzeczownik) (jeżeli ktoś/coś jest &lt;x#subst:sg:inst:%>, to także jest &lt;y#:subst:sg:inst:%> [pomijając różnicę rejestrów stylistycznych],rzeczownik) (&lt;x#> i &lt;y#> mają ten sam aspekt,czasownik) (&lt;x#> i &lt;y#> różnią się w istotny sposób rejestrem stylistycznym,czasownik) (&lt;y#> to &lt;x#>  [pomijając różnice rejestrów stylistycznych],czasownik) (&lt;x#> to &lt;y#> [pomijając różnice rejestrów stylistycznych],czasownik) (Nieprawda, że &lt;x#> to &lt;y#> w pewien sposób, jakoś (okolicznik sposobu),czasownik) (Nieprawda, ża &lt;y#> to &lt;x#> w pewien sposób, jakoś (okolicznik sposobu),czasownik) (&lt;x#> i &lt;y#> to przymiotniki, N jest rzeczownikiem,przymiotnik) ([PRZYMIOTNIKI JAKOŚCIOWE],przymiotnik) (Jeżeli ktoś|coś jest &lt;x#>(a,e), to jest także &lt;y#>(a,e) [pomijając różnicę rejestrów stylistycznych],przymiotnik) (Jeżeli ktoś|coś jest &lt;y#>(a,e), to jest także &lt;x#>(a,e) [pomijając różnicę rejestrów stylistycznych],przymiotnik) ([PRZYMIOTNIKI RELACYJNE],przymiotnik) (Jeżeli ktoś|coś jest N &lt;x#adj:sg:inst:%>(ą), to jest także N &lt;y#adj:sg:inst:%>(ą) [pomijając różnicę rejestrów stylistycznych],przymiotnik) (Jeżeli ktoś|coś jest N &lt;y#adj:sg:inst:%>(ą), to jest także N &lt;x#adj:sg:inst:%>(ą) [pomijając różnicę rejestrów stylistycznych],przymiotnik) (&lt;x#> i &lt;y#> to przysłówki, które wchodzą w relacje konstytutywne z tymi samymi jednostkami leksykalnymi (mogą jednak mieć różne hiponimy), ale różnią się w sposób istotny rejestrem leksykalnym.,przysłówek) ([a] Jeżeli ktoś / coś robi coś &lt;x#>, to robi to &lt;y#>.,przysłówek) ([a] Jeżeli ktoś / coś robi coś &lt;y#>, to robi to &lt;x#>.,przysłówek) ([b] Jeżeli coś dzieje się &lt;x#>, to dzieje się &lt;y#>.,przysłówek) ([b] Jeżeli coś dzieje się &lt;y#>, to dzieje się &lt;x#>.,przysłówek) ([c] Jeżeli ktoś / coś jest &lt;x#> jakiś (-aś, -eś), to jest też &lt;y#> jakiś (-aś, -eś).,przysłówek) ([c] Jeżeli ktoś / coś jest &lt;y#> jakiś (-aś, -eś), to jest też &lt;x#> jakiś (-aś, -eś).,przysłówek) ([d] Jeżeli jest &lt;x#>, to jest też &lt;y#>.,przysłówek) ([d] Jeżeli jest &lt;y#>, to jest też &lt;x#>.,przysłówek)"
62;30926;"relacja leksykalna";"141";"synonimia międzyparadygmatyczna N-V";"(dziedziczone)";"(dziedziczone)";"&lt;x#> i &lt;y#> to synonimy międzyparadygmatyczne";"syn:mpar_NV";"true";"p_sn";"(&lt;x#> to rzeczownik, a &lt;y#> to czasownik,rzeczownik) (&lt;x#> i &lt;y#> są ze sobą powiązane morfologicznie,rzeczownik) (TAK: jeśli jest mowa o przypadku &lt;x#subst:sg:gen:%>, to ktoś/coś &lt;y#fin:sg:ter:%> (się),rzeczownik) (TAK: jeśli ktoś/coś &lt;y#fin:sg:ter:%> (się), to mowa jest o przypadku &lt;x#subst:sg:gen:%>,rzeczownik)"
63;4056;"relacja leksykalna";"142";"synonimia międzyparadygmatyczna N-ADJ";"(dziedziczone)";"(dziedziczone)";"&lt;x#> i &lt;y#> to synonimy międzyparadygmatyczne";"syn:mpar_NAdj";"true";"p_sa";"(&lt;x#> to rzeczownik, a &lt;y#> to przymiotnik,rzeczownik) (&lt;x#> i &lt;y#> są powiązane ze sobą morfologicznie, &lt;x#> jest derywatem &lt;y#>,rzeczownik) (TAK: jeśli mowa jest o stanie|cesze &lt;x#>, to ktoś/coś jest &lt;y#>,rzeczownik) (TAK: jeśli ktoś/coś jest &lt;y#>, to mowa jest o stanie|cesze &lt;x#>,rzeczownik)"
64;7849;"relacja leksykalna";"65";"element taksonomiczny";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest meronimem (typu element) dla &lt;y#>";"mero:taks";"false";"p_%t";"(TAK: &lt;x#> jest elementem taksonomicznym &lt;y#subst:sg:gen:%>,rzeczownik) (TAK: &lt;y#> reprezentuje poziom taksonomiczny, którego elementem jest &lt;x#>,rzeczownik) (TAK: &lt;y#> nie jest elementem taksonomicznym &lt;x#subst:sg:gen:%>,rzeczownik)"
65;7846;"relacja leksykalna";"64";"element taksonomiczny";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest holonimem (typu element) dla &lt;y#>";"holo:taks";"false";"p_#t";"(TAK: &lt;y#> jest elementem taksonomicznym &lt;x#subst:sg:gen:%>,rzeczownik) (TAK: &lt;x#> reprezentuje poziom taksonomiczny, którego elementem jest &lt;y#>,rzeczownik) (TAK: &lt;x#> nie jest elementem taksonomicznym &lt;y#subst:sg:gen:%>,rzeczownik)"
74;9168;"relacja leksykalna";"75";"aspektowość czysta DK-NDK";"(dziedziczone)";"(dziedziczone)";"&lt;x#> i &lt;y#> tworzą czystą parę aspektową";"asp_cz_DK-NDK";"true";"p_ascd";"(&lt;x#> i &lt;y#> to czasowniki powiązane derywacyjnie (lub supletywne),czasownik) (&lt;x#> jest DK, a &lt;y#> jest NDK. Czasowniki &lt;x#> i &lt;y#> tworzą parę aspektową,czasownik) (&lt;x#> nie ma derywatów niedokonanych albo &lt;y#> jest jedynym takim derywatem [TEST WTÓRNEJ IMPERFEKTYWIZACJI],czasownik) (&lt;x#> i &lt;y#> semantycznie różnią się wyłącznie aspektem,czasownik)"
75;9168;"relacja leksykalna";"74";"aspektowość czysta NDK-DK";"(dziedziczone)";"(dziedziczone)";"&lt;x#> i &lt;y#> tworzą parę aspektową";"asp_cz_NDK-DK";"true";"p_ascn";"(&lt;x#> i &lt;y#> to czasowniki powiązane derywacyjnie (lub supletywne),czasownik) (&lt;x#> jest NDK, a &lt;y#> jest DK. Czasowniki &lt;x#> i &lt;y#> tworzą parę aspektową,czasownik) (&lt;y#> nie ma derywatu niedokonanego albo &lt;x#> jest jedynym takim derywatem [TEST WTÓRNEJ IMPERFEKTYWIZACJI],czasownik) (&lt;x#> i &lt;y#> semantycznie różnią się wyłącznie aspektem,czasownik)"
89;310;"relacja leksykalna";"-1";"procesywność V_NDK-Adj";"(dziedziczone)";"(dziedziczone)";"&lt;x#> wchodzi w relację procesywności NDK-Adj z &lt;y#>";"pr_V_NDK-Adj";"false";"p_vna";"(&lt;x#> to czasownik,czasownik) (&lt;y#> to przymiotnik,czasownik) (&lt;x#> to stawać się &lt;y#adj:sg:inst:m1:%|y#pact:sg:inst:m1:%>,czasownik)"
90;41;"relacja leksykalna";"-1";"procesywność V_NDK-N";"(dziedziczone)";"(dziedziczone)";"&lt;x#> wchodzi w relację procesywności NDK-N z &lt;y#>";"pr_V_NDK-N";"false";"p_pvnn";"(&lt;x#> to czasownik,czasownik) (&lt;y#> to rzeczownik,czasownik) (&lt;x#> to stawać się &lt;y#subst:sg:inst:%>,czasownik)"
92;62;"relacja leksykalna";"-1";"stanowość V-Adj";"(dziedziczone)";"(dziedziczone)";"&lt;x#> wchodzi w relację stanowości V-Adj z &lt;y#>";"st_V-Adj";"false";"p_stva";"(&lt;y#> to przymiotnik, &lt;y#> nie jest imiesłowem przymiotnikowym czynnym,czasownik) (&lt;x#> to czasownik,czasownik) (&lt;x#> znaczy 'być &lt;y#adj:sg:inst:m1:%>',czasownik)"
93;29;"relacja leksykalna";"-1";"stanowość V-N";"(dziedziczone)";"(dziedziczone)";"&lt;x#> wchodzi w relację stanowości V-N z &lt;y#>";"st_V-N";"false";"p_stvn";"(&lt;y#> to rzeczownik,czasownik) (&lt;x#> to czasownik,czasownik) (&lt;x#> znaczy 'być &lt;y#subst:sg:inst:%>',czasownik)"
101;1548;"relacja leksykalna";"101";"antonimia komplementarna";"(dziedziczone)";"(dziedziczone)";"&lt;x#> i &lt;y#> to antonimy komplementarne";"ant_kom";"true";"p_ank";"(TAK: &lt;x#> i &lt;y#> to kohiponimy lub komeronimy lub hiponimy antonimów albo konwersów,rzeczownik) (TAK: - To jest &lt;x#>? - Nie, wręcz przeciwnie, to jest &lt;y#>!,rzeczownik) (TAK: Jeżeli ktoś|coś nie jest &lt;x#subst:sg:inst:%>, to musi być &lt;y#subst:sg:inst:%>,rzeczownik) (TAK: Jeżeli ktoś|coś jest &lt;x#subst:sg:inst:%>, to nie może być &lt;y#subst:sg:inst:%>,rzeczownik) (NIE: Jeżeli ktoś|coś jest dla kogoś|czegoś &lt;x#subst:sg:inst:%>, to ktoś|coś jest dla kogoś|czegość &lt;y#subst:sg:inst:%>,rzeczownik) (&lt;x#> i &lt;y#> to albo kohiponimy/komeronimy, albo hiponimy/meronimy jednostek antonimicznych lub konwersów,czasownik) (&lt;x#> i &lt;y#> mają ten sam aspekt,czasownik) (Nie jest możliwe, że &lt;x#fin:sg:ter:%> i &lt;y#fin:sg:ter:%> jednocześnie,czasownik) (&lt;x#fin:sg:ter:%>? - Nie, wręcz przeciwnie - &lt;y#fin:sg:ter:%>,czasownik) (Jeżeli nie &lt;x#fin:sg:ter:%>, to &lt;y#fin:sg:ter:%>,czasownik) (Jeżeli &lt;x#fin:sg:ter:%>, to nie &lt;y#fin:sg:ter:%>,czasownik) (Nieprawda, że jeżeli a &lt;x#fin:sg:ter:%> (PRAEP) b, to b &lt;y#fin:sg:ter:%> (PRAEP) a,czasownik) (&lt;x#> i &lt;y#> to przymiotniki,przymiotnik) (Ktoś|coś jest &lt;x#>(e)? - Wręcz przeciwnie! Jest &lt;y#>(e),przymiotnik) (Jeżeli ktoś|coś jest &lt;x#>(e), to nie jest &lt;y#>(e),przymiotnik) (Jeżeli ktoś|coś nie jest &lt;x#>(e), to jest &lt;y#>(e),przymiotnik) (&lt;x#> i &lt;y#> nie są konwersami (= są przymiotnikami w stopniu równym),przymiotnik) (&lt;x#> i &lt;y#> to przysłówki, które nie są konwersami.,przysłówek) (Antonimia to relacja łącząca przysłówki, których można użyć w następującym dialogu:,przysłówek) ([a] - Ktoś / coś robi coś &lt;x#>?,przysłówek) ([a] - Wręcz przeciwnie: robi to &lt;y#>.,przysłówek) ([a] - Jeżeli ktoś / coś robi coś &lt;x#>, to nie robi tego &lt;y#>.,przysłówek) ([a] - Jeżeli ktoś / coś nie robi czegoś &lt;x#>, to robi to &lt;y#>.,przysłówek) ([b] - Coś dzieje się &lt;x#>?,przysłówek) ([b] - Wręcz przeciwnie: dzieje się &lt;y#>.,przysłówek) ([b] - Jeżeli coś dzieje się &lt;x#>, to nie dzieje się &lt;y#>.,przysłówek) ([b] - Jeżeli coś nie dzieje się &lt;x#>, to dzieje się &lt;y#>.,przysłówek) ([c] - Ktoś / coś jest &lt;x#> jakiś (-aś, -eś)?,przysłówek) ([c] - Wręcz przeciwnie: jest &lt;y#> jakiś (-aś, -eś).,przysłówek) ([c] - Jeżeli ktoś / coś jest &lt;x#> jakiś (-aś, -eś), to nie jest &lt;y#> jakiś (-aś, -eś).,przysłówek) ([c] - Jeżeli ktoś / coś nie jest &lt;x#> jakiś (-aś, -eś), to jest &lt;y#> jakiś (-aś, -eś).,przysłówek) ([d] - Jest &lt;x#>?,przysłówek) ([d] - Wręcz przeciwnie: jest &lt;y#>.,przysłówek) ([d] Jeżeli jest &lt;x#>, to nie jest &lt;y#>.,przysłówek) ([d] Jeżeli nie jest &lt;x#>, to jest &lt;y#>.,przysłówek)"
104;16338;"relacja leksykalna";"104";"antonimia właściwa";"(dziedziczone)";"(dziedziczone)";"&lt;x#> i &lt;y#> to antonimy właściwe";"ant_wł";"true";"p_anw";"(TAK: &lt;x#> i &lt;y#> to kohiponimy lub komeronimy lub hiponimy antonimów albo konwersów,rzeczownik) (TAK: To jest &lt;x#>? - Nie, wręcz przeciwnie: to jest &lt;y#>!,rzeczownik) (TAK: Jeżeli ktoś|coś jest &lt;x#subst:sg:inst:%>, to nie może być &lt;y#subst:sg:inst:%>,rzeczownik) (TAK: Jeżeli ktoś|coś jest &lt;y#subst:sg:inst:%>, to nie może być &lt;x#subst:sg:inst:%>,rzeczownik) (NIE: Jeżeli ktoś|coś jest dla kogoś|czegoś &lt;x#subst:sg:inst:%>, to ktoś|coś jest dla kogoś|czegoś &lt;y#subst:sg:inst:%>,rzeczownik) (&lt;x#fin:sg:ter:%>? - Nie, wręcz przeciwnie - &lt;y#:fin:sg:ter:%>!,czasownik) (&lt;x#> i &lt;y#> mają ten sam aspekt,czasownik) (Nie jest możliwe, że &lt;x#fin:sg:ter:%> i &lt;y#fin:sg:ter:%> jednocześnie,czasownik) (Nieprawda, że jeśli nie &lt;x#fin:sg:ter:%>, to &lt;y#fin:sg:ter:%>,czasownik) (Jeżeli &lt;x#fin:sg:ter:%>, to nie &lt;y#fin:sg:ter:%>,czasownik) (&lt;x#> i &lt;y#> to albo kohiponimy/komeronimy, albo hiponimy/meronimy jednostek antonimicznych lub konwersów,czasownik) (Nieprawda, że jeśli a &lt;x#fin:sg:ter:%> b, to b &lt;y#fin:sg:ter:%> a,czasownik) (&lt;x#> i &lt;y#> to przymiotniki,przymiotnik) (Ktoś|coś jest &lt;x#>(e)? - Wręcz przeciwnie! Jest &lt;y#>(e),przymiotnik) (Jeżeli ktoś|coś jest &lt;x#>(e), to nie jest &lt;y#>(e),przymiotnik) (Jeżeli ktoś|coś nie jest &lt;x#>(e), to niekoniecznie jest &lt;y#>(e),przymiotnik) (&lt;x#> i &lt;y#> nie są konwersami (= są przymiotnikami w stopniu równym),przymiotnik) (&lt;x#> i &lt;y#> to przysłówki, które nie są konwersami.,przysłówek) (Antonimia to relacja łącząca przysłówki, których można użyć w następującym dialogu:,przysłówek) ([a] - Ktoś / coś robi coś &lt;x#>?,przysłówek) ([a] - Wręcz przeciwnie: robi coś &lt;y#>.,przysłówek) ([a] Jeżeli ktoś / coś robi coś &lt;x#>, to nie robi tego &lt;y#>.,przysłówek) ([a] Jeżeli ktoś / coś nie robi czegoś &lt;x#>, to niekoniecznie robi to &lt;y#>.,przysłówek) ([b] - Coś dzieje się &lt;x#>?,przysłówek) ([b] - Wręcz przeciwnie: dzieje się &lt;y#>.,przysłówek) ([b] Jeżeli coś dzieje się &lt;x#>, to nie dzieje się &lt;y#>.,przysłówek) ([b] Jeżeli coś nie dzieje się &lt;x#>, to niekoniecznie dzieje się &lt;y#>.,przysłówek) ([c] - Ktoś / coś jest &lt;x#> jakiś (-aś, -eś)?,przysłówek) ([c] - Wręcz przeciwnie: jest &lt;y#> jakiś (-aś, -eś).,przysłówek) ([c] - Jeżeli ktoś / coś jest &lt;x#> jakiś (-aś, -eś), to nie jest &lt;y#> jakiś (-aś, -eś).,przysłówek) ([c] - Jeżeli ktoś / coś nie jest &lt;x#> jakiś (-aś, -eś), to niekoniecznie jest &lt;y#> jakiś (-aś, -eś).,przysłówek) ([d] - Jest &lt;x#>?,przysłówek) ([d] - Wręcz przeciwnie: jest &lt;y#>.,przysłówek) ([d] Jeżeli jest &lt;x#>, to nie jest &lt;y#>.,przysłówek) ([d] Jeżeli nie jest &lt;x#>, to niekoniecznie jest &lt;y#>.,przysłówek)"
106;5256;"relacja pomiędzy synsetami";"107";"typ";"Relacja pomiędzy nazwą własną a wyrazem pospolitym nie może być określona za pomocą hiponimii. Wprowadzamy dlatego specjalne relacje &quot;typ&quot; i &quot;egzemplarz&quot;. Relacja &quot;typ&quot; łączy  nazwę własną i wyraz pospolity, relacja &quot;egzemplarz&quot; prowadzi od wyrazu pospolitego, do przedstawiciela danej klasy, tj. do nazwy własnej.";"nieznana,rzeczownik";"typem dla &lt;x#> jest &lt;y#> ";"rel.typu";"true";"p_typ";"(&lt;x#> i &lt;y#> to rzeczowniki,rzeczownik) (&lt;x#> jest nazwą własną, &lt;y#> to rzeczownik pospolity,rzeczownik) (&lt;x#> jest &lt;y#fin:sg:inst:%>,rzeczownik)"
107;5256;"relacja pomiędzy synsetami";"106";"egzemplarz";"Relacja pomiędzy nazwą własną a wyrazem pospolitym nie może być określona za pomocą hiponimii. Wprowadzamy dlatego specjalne relacje &quot;typ&quot; i &quot;egzemplarz&quot;. Relacja &quot;typ&quot; łączy  nazwę własną i wyraz pospolity, relacja &quot;egzemplarz&quot; prowadzi od wyrazu pospolitego, do przedstawiciela danej klasy, tj. do nazwy własnej.";"nieznana,rzeczownik";"&lt;y#> jest egzemplarzem dla &lt;x#>";"rel.egz.";"true";"p_egz";"(&lt;x#> i &lt;y#> to rzeczowniki,rzeczownik) (&lt;x#> to rzeczownik pospolity, &lt;y#> jest nazwą własną,rzeczownik) (&lt;x#> jest &lt;y#fin:sg:inst:%>,rzeczownik)"
108;45522;"relacja pomiędzy synsetami";"108";"fuzzynimia_synsetów";"Fuzzynimia jest relacją, którą można by zdefiniować jako &quot;jest związane z...&quot; Może łączyć różne części mowy.";"nieznana,czasownik,rzeczownik,przysłówek,przymiotnik";"&lt;x#> jest w relacji fuzzynimii do &lt;y#>";"fzn";"true";"p_fuzs";"(&lt;x#> jest związany(-a, -e) z &lt;y#>,rzeczownik) (&lt;x#> jest związane z &lt;y#>,czasownik) (&lt;x#> jest związane z &lt;y#>,przymiotnik) (&lt;x#> jest związany(-a,-e) z &lt;y#>,przysłówek)"
110;4368;"relacja leksykalna";"111";"aspektowość wtórna DK-NDK";"(dziedziczone)";"(dziedziczone)";"&lt;x#> i &lt;y#> tworzą wtórną parę aspektową";"asp_wt_DK-NDK";"true";"p_aswd";"(&lt;x#> i &lt;y#> to czasowniki powiązane derywacyjnie. &lt;x#> i &lt;y#> tworzą parę aspektową,czasownik) (&lt;x#> jest DK, &lt;y#> - NDK,czasownik) (&lt;x#> ma derywat niedokonany inny niż &lt;y#> [TEST WTÓRNEJ IMPERFEKTYWIZACJI],czasownik) (LUB &lt;x#> i &lt;y#> różnią się semantycznie nie tylko aspektem,czasownik)"
111;4368;"relacja leksykalna";"110";"aspektowość wtórna NDK-DK";"(dziedziczone)";"(dziedziczone)";"&lt;x#> i &lt;y#> tworzą wtórną parę aspektową";"asp_wt_NDK-DK";"true";"p_aswn";"(&lt;x#> i &lt;y#> to czasowniki powiązane derywacyjne,czasownik) (&lt;x#> jest NDK, &lt;y#> - DK,czasownik) (&lt;y#> ma derywat niedokonany inny niż &lt;x#> [TEST WTÓRNEJ IMPERFEKTYWIZACJI],czasownik) (LUB &lt;x#> i &lt;y#> różnią się semantycznie nie tylko aspektem,czasownik)"
113;2719;"relacja leksykalna";"116";"meronimia podsytuacji";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest podsytuacją dla &lt;y#>";"mero_podsyt";"false";"p_mpod";"(Sytuacja oznaczana przez '&lt;x#>' wchodzi w skład typowej sytuacji oznaczanej przez '&lt;y#>',czasownik) ('&lt;x#>' i '&lt;y#>' nie są dwiema nazwami tej samej sytuacji, lecz oznaczają różne sytuacje,czasownik) (Z tego, że &lt;x#praet:sg:m1:%>(o), wnioskujemy, że musiał(o) &lt;y#>,czasownik) (Nie można powiedzieć, że &lt;x#> to zacząć/zaczynać &lt;y#>,czasownik)"
114;119;"relacja leksykalna";"117";"meronimia sytuacji towarzyszącej";"(dziedziczone)";"(dziedziczone)";"sytuacja &lt;x#> towarzyszy sytuacji &lt;y#>";"mero_syt_tow";"false";"p_mst";"(Sytuacja oznaczana przez '&lt;x#>' nie jest częścią sytuacji oznaczanej przez '&lt;y#>',czasownik) (Sytuacja oznaczana przez '&lt;x#>' towarzyszy sytuacji oznaczanej przez '&lt;y#>',czasownik) ('&lt;x#>' i '&lt;y#>' nie są dwiema nazwami tej samej sytuacji, lecz oznaczają różne sytuacje,czasownik) (Z tego, że &lt;x#praet:sg:m1:%>(o), wnioskujemy, że &lt;y#praet:sg:m1:%>(o),czasownik)"
116;2777;"relacja leksykalna";"113";"holonimia podsytuacji";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest holonimem podsytuacji dla &lt;y#>";"hol_podsyt";"false";"p_hpo";"(Nie można powiedzieć, że &lt;y#> to zacząć/zaczynać &lt;x#>,czasownik) (Sytuacja oznaczana przez '&lt;y#>' jest integralną częścią sytuacji oznaczanej przez '&lt;x#>',czasownik) ('&lt;x#>' i '&lt;y#>' nie są dwiema nazwami tej samej sytuacji, lecz oznaczają różne sytuacje,czasownik) (Z tego, że &lt;x#praet:sg:m1:%>(o), wnioskujemy, że &lt;y#praet:sg:m1:%>(o),czasownik)"
117;125;"relacja leksykalna";"114";"holonimia sytuacji towarzyszącej";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest holonimem sytuacji towarzyszącej dla &lt;y#>";"hol_syt_tow";"false";"p_hst";"(Z tego, że &lt;x#praet:sg:m1:%>(o), wnioskujemy, że &lt;y#praet:sg:m1:%>(o),czasownik) (Sytuacja oznaczana przez '&lt;y#>' nie jest częścią sytuacji oznaczanej przez '&lt;x#>',czasownik) (Sytuacja oznaczana przez '&lt;y#>' towarzyszy sytuacji oznaczanej przez '&lt;x#>',czasownik) ('&lt;x#>' i '&lt;y#>' nie są dwiema nazwami tej samej sytuacji, lecz oznaczają różne sytuacje,czasownik)"
118;320;"relacja leksykalna";"-1";"procesywność V_DK-Adj";"(dziedziczone)";"(dziedziczone)";"&lt;x#> wchodzi w relację procesywności DK-Adj z &lt;y#>";"pr_V_DK-Adj";"false";"p_prvda";"(&lt;y#> to przymiotnik,czasownik) (&lt;x#> to czasownik,czasownik) (&lt;x#> to stać się &lt;y#adj:sg:inst:m1:%|y#pact:sg:inst:m1:%>,czasownik)"
119;55;"relacja leksykalna";"-1";"procesywność V_DK-N";"(dziedziczone)";"(dziedziczone)";"&lt;x#> wchodzi w relację procesywności DK-N z &lt;y#>";"pr_V_DK-N";"false";"p_prvdn";"(&lt;y#> to rzeczownik,czasownik) (&lt;x#> to czasownik,czasownik) (&lt;x#> to stać się &lt;y#subst:sg:inst:%>,czasownik)"
120;537;"relacja leksykalna";"-1";"kauzacja NDK-NDK";"(dziedziczone)";"(dziedziczone)";"&lt;x#> wchodzi w relację kauzacji NDK-NDK z &lt;y#>";"kauz_ndk-ndk";"false";"p_causnn";"(&lt;x#> i &lt;y#> są niedokonane,czasownik) (&lt;y#> nie jest czasownikiem stanowym,czasownik) (Jeżeli &lt;x#praet:sg:m1>(o), to powodował(o), że ktoś|coś &lt;y#praet:sg:m1>(o),czasownik)"
121;461;"relacja leksykalna";"-1";"kauzacja DK-DK";"(dziedziczone)";"(dziedziczone)";"&lt;x#> wchodzi w relację kauzacji DK-DK z &lt;y#>";"kauz_dk-dk";"false";"p_causdd";"(&lt;x#> i &lt;y#> są dokonane,czasownik) (Jeżeli &lt;x#praet:sg:m1>(o), to spowodował(o), że ktoś|coś &lt;y#praet:sg:m1>(o),czasownik)"
122;76;"relacja leksykalna";"-1";"kauzacja stanu DK-NDK";"(dziedziczone)";"(dziedziczone)";"&lt;x#> wchodzi w relację kauzacji stanu DK z &lt;y#>";"kauz_st_dk-ndk";"false";"p_castdn";"(&lt;x#> jest dokonane, &lt;y#> jest niedokonane,czasownik) (&lt;y#> jest czasownikiem stanowym,czasownik) (Jeżeli &lt;x#praet:sg:m1>(o), to spowodował(o), że ktoś|coś &lt;y#praet:sg:m1>(o),czasownik)"
124;310;"relacja leksykalna";"-1";"kauzacja procesu DK-Adj";"(dziedziczone)";"(dziedziczone)";"&lt;x#> wchodzi w relację kauzacji procesu DK-Adj z &lt;y#>";"kauz_pr_dk-Adj";"false";"p_caprda";"(Czasownik '&lt;x#>' jest dokonany, '&lt;y#>' jest przymiotnikiem,czasownik) (Jeżeli &lt;x#praet:sg:m1:%>(o), to spowodował, że ktoś|coś stał(o) się &lt;y#praet:sg:m1:%>(o),czasownik)"
125;35;"relacja leksykalna";"-1";"kauzacja procesu DK-N";"(dziedziczone)";"(dziedziczone)";"&lt;x#> wchodzi w relację kauzacji procesu DK-N z &lt;y#>";"kauz_pr_dk-N";"false";"p_caprdn";"(Czasownik '&lt;x#>' jest dokonany, '&lt;y#>' jest rzeczownikiem,czasownik) (Jeżeli &lt;x#praet:sg:m1:%>(o), to spowodował(o), że ktoś|coś stał(o) się &lt;y#adj:sg:inst:%|y#:pact:sg:inst:%>,czasownik)"
126;308;"relacja leksykalna";"-1";"kauzacja procesu NDK-Adj";"(dziedziczone)";"(dziedziczone)";"&lt;x#> wchodzi w relację kauzacji procesu NDK-Adj z &lt;y#>";"kauz_pr_ndk-Adj";"false";"p_caprna";"(Czasownik '&lt;x#>' jest niedokonany, '&lt;y#>' jest przymiotnikiem,czasownik) (Jeżeli &lt;x#praet:sg:m1:%>(o), to powodował(o), że ktoś|coś stawał(o) się &lt;y#adj:sg:inst:%|y#pact:sg:inst:%>,czasownik)"
127;47;"relacja leksykalna";"-1";"kauzacja procesu NDK-N";"(dziedziczone)";"(dziedziczone)";"&lt;x#> wchodzi w relację kauzacji procesu NDK-N z &lt;y#>";"kauz_pr_ndk-N";"false";"p_caprnn";"(Czasownik '&lt;x#>' jest niedokonany, '&lt;y#>' jest rzeczownikiem,czasownik) (Jeżeli &lt;x#praet:sg:m1:%>(o), to powodował(o), że ktoś|coś stawał(o) się &lt;y#adj:sg:inst:%|y#:pact:sg:inst:%>,czasownik)"
129;315;"relacja leksykalna";"-1";"inchoatywność DK-NDK";"(dziedziczone)";"(dziedziczone)";"&lt;x#> wchodzi w relację inchoatywności DK-NDK z &lt;y#>";"inch_dk";"false";"p_inchd";"(&lt;x#> i &lt;y#> to czasowniki,czasownik) (&lt;x#> jest DK, &lt;y#> jest NDK,czasownik) (&lt;x#> to zacząć &lt;y#>,czasownik)"
130;105;"relacja leksykalna";"-1";"inchoatywność NDK-NDK";"(dziedziczone)";"(dziedziczone)";"&lt;x#> wchodzi w relację inchoatywności NDK-NDK z &lt;y#>";"inch_ndk";"false";"p_inchn";"(&lt;x#> i &lt;y#> to czasowniki niedokonane,czasownik) (&lt;x#> to zaczynać &lt;y#>,czasownik)"
131;18;"relacja leksykalna";"-1";"zwrotność";"";"czasownik";"&lt;x#> jest w relacji zwrotności do &lt;y#>";"zwr";"false";"p_zwr";"(&lt;x#> i &lt;y#> to czasowniki,czasownik) (&lt;x#> = &lt;y#> + SIĘ,czasownik) (Jeżeli &lt;x#praet:sg:m1:%>(o), to sam(o) &lt;y#praet:sg:m1:%>(o) siebie,czasownik)"
