agresywność	agresywny
rzeźwość	rzeźwy
witalność	witalny
żwawość	żwawy
żywość	żywy
ascetyzm	ascetyczny
czystość	czysty
cnotliwość	cnotliwy
niewinność	niewinny
wszechstronność	wszechstronny
koturnowość	koturnowy
patetyczność	patetyczny
podniosłość	podniosły
uroczystość	uroczysty
wzniosłość	wzniosły
pompatyczność	pompatyczny
bombastyczność	bombastyczny
górnolotność	górnolotny
napuszoność	napuszony
wszechstronność	wszechstronny
wszechstronność	wszechstronny
wielostronność	wielostronny
zapobiegliwość	zapobiegliwy
bezdzietność	bezdzietny
wielodzietność	wielodzietny
parzystość	parzysty
nietrwałość	nietrwały
słabość	słaby
wątłość	wątły
trwałość	trwały
skończoność	skończony
śmiertelność	śmiertelny
okresowość	okresowy
sezonowość	sezonowy
cykliczność	cykliczny
periodyczność	periodyczny
intencjonalność	intencjonalny
jędrność	jędrny
komplementarność	komplementarny
mechaniczność	mechaniczny
fantasmagoria	fantasmagoryczny
paralelność	paralelny
symultaniczność	symultaniczny
niestosowność	niestosowny
nieodpowiedniość	nieodpowiedni
niewłaściwość	niewłaściwy
stosowność	stosowny
odpowiedniość	odpowiedni
właściwość	właściwy
nierówność	nierówny
awaryjność	awaryjny
donośność	donośny
długotrwałość	długotrwały
izolacyjność	izolacyjny
ponadczasowość	ponadczasowy
eklektyzm	eklektyczny
heterogeniczność	heterogeniczny
różnolitość	różnolity
różnorakość	różnoraki
wielorakość	wieloraki
zróżnicowanie	zróżnicowany
ulotność	ulotny
kolej	kolejny
doczesność	doczesny
narów	narowisty
leworęczność	leworęczny
praworęczność	praworęczny
niepoczytalność	niepoczytalny
arbitralność	arbitralny
arbitralność	arbitralny
chełpliwość	chełpliwy
piołun	piołunowy
ogólnikowość	ogólnikowy
potliwość	potliwy
tendencyjność	tendencyjny
tendencyjność	tendencyjny
jednostronność	jednostronny
jednostronność	jednostronny
dwustronność	dwustronny
jednostronność	jednostronny
jednostronność	jednostronny
jednokierunkowość	jednokierunkowy
jednotorowość	jednotorowy
dwustronność	dwustronny
obszerność	obszerny
nieściągalność	nieściągalny
bezkrytyczność	bezkrytyczny
zaślepienie	zaślepiony
chropowatość	chropowaty
drożność	drożny
konfliktowość	konfliktowy
chyżość	chyży
wybuchowość	wybuchowy
wybuchowość	wybuchowy
interwencjonizm	interwencjonistyczny
samowolność	samowolny
przyczepność	przyczepny
nieurodzajność	nieurodzajny
przytulność	przytulny
bojowość	bojowy
dobrotliwość	dobrotliwy
dworność	dworny
ekscentryczność	ekscentryczny
ekstrawaganckość	ekstrawagancki
historyczność	historyczny
jedyność	jedyny
lakoniczność	lakoniczny
lotność	lotny
lotność	lotny
ludowość	ludowy
materialność	materialny
nieodwracalność	nieodwracalny
omylność	omylny
nieskazitelność	nieskazitelny
ascetyczność	ascetyczny
niezniszczalność	niezniszczalny
przemyślność	przemyślny
przemyślność	przemyślny
rozumność	rozumny
rycerskość	rycerski
sugestywność	sugestywny
swojskość	swojski
taniość	tani
towarzyskość	towarzyski
urodzajność	urodzajny
usłużność	usłużny
wystawność	wystawny
żyzność	żyzny
jałowość	jałowy
ekspansywność	ekspansywny
unikalność	unikalny
unikatowość	unikatowy
krótkość	krótki
pożyteczność	pożyteczny
konwencjonalność	konwencjonalny
miedź	miedziany
wredota	wredny
mobilność	mobilny
ułomność	ułomny
rozdzielnopłciowość	rozdzielnopłciowy
dwupienność	dwupienny
nadciekłość	nadciekły
polityczność	polityczny
przechodniość	przechodni
nieprzechodniość	nieprzechodni
odmienność	odmienny
dwubiegunowość	dwubiegunowy
bipolarność	bipolarny
dwubiegunowość	dwubiegunowy
stałocieplność	stałocieplny
falistość	falisty
pagórkowatość	pagórkowaty
falistość	falisty
żeglowność	żeglowny
heroiczność	heroiczny
karłowatość	karłowaty
kurczliwość	kurczliwy
lekooporność	lekooporny
czasochłonność	czasochłonny
mrozoodporność	mrozoodporny
nieczułość	nieczuły
archaiczność	archaiczny
polimorfizm	polimorficzny
nasiąkliwość	nasiąkliwy
prężność	prężny
zbieżność	zbieżny
bezpłatność	bezpłatny
dokuczliwość	dokuczliwy
naganność	naganny
niesamodzielność	niesamodzielny
nieumyślność	nieumyślny
oddzielność	oddzielny
odwracalność	odwracalny
partyjność	partyjny
pozorność	pozorny
przyjazność	przyjazny
rozłączność	rozłączny
symetryczność	symetryczny
widzialność	widzialny
zbywalność	zbywalny
laickość	laicki
świeckość	świecki
laickość	laicki
malkontenctwo	malkontencki
niezatapialność	niezatapialny
puszystość	puszysty
puszystość	puszysty
puszystość	puszysty
reaktywność	reaktywny
skoczność	skoczny
śliskość	śliski
śliskość	śliski
strawność	strawny
światłoczułość	światłoczuły
wykrywalność	wykrywalny
drogocenność	drogocenny
rodzinność	rodzinny
zapamiętałość	zapamiętały
zgrzybiałość	zgrzybiały
nienowoczesność	nienowoczesny
przestarzałość	przestarzały
małoletniość	małoletni
małoletność	małoletny
małoletność	małoletni
wielebność	wielebny
chaotyczność	chaotyczny
nieczytelność	nieczytelny
nieostrość	nieostry
nieostrość	nieostry
epizodyczność	epizodyczny
fragmentaryczność	fragmentaryczny
szczątkowość	szczątkowy
ułamkowość	ułamkowy
iluzoryczność	iluzoryczny
złudność	złudny
miałkość	miałki
nieodwołalność	nieodwołalny
nieodwołalność	nieodwołalny
nieroztropność	nieroztropny
nieroztropność	nieroztropny
nieszkodliwość	nieszkodliwy
niewykonalność	niewykonalny
postępowość	postępowy
zauważalność	zauważalny
połowiczność	połowiczny
przejściowość	przejściowy
przygodność	przygodny
przyziemność	przyziemny
schematyczność	schematyczny
schematyczność	schematyczny
poglądowość	poglądowy
szablonowość	szablonowy
sztampowość	sztampowy
zachowawczość	zachowawczy
zwierzęcość	zwierzęcy
kontradyktoryjność	kontradyktoryczny
kontradyktoryjność	kontradyktoryjny
nieusuwalność	nieusuwalny
niezmywalność	niezmywalny
kuloodporność	kuloodporny
nierdzewność	nierdzewny
charakterystyczność	charakterystyczny
literackość	literacki
nieautentyczność	nieautentyczny
smakowitość	smakowity
wielowątkowość	wielowątkowy
fabularność	fabularny
modalność	modalny
naoczność	naoczny
zewnętrzność	zewnętrzny
wewnętrzność	wewnętrzny
pustość	pusty
medialność	medialny
laicyzm	laicki
prostopadłość	prostopadły
gburowatość	gburowaty
szorstkość	szorstki
ordynarność	ordynaryjny
ordynarność	ordynarny
labilność	labilny
ślamazarność	ślamazarny
flegmatyczność	flegmatyczny
niemrawość	niemrawy
opieszałość	opieszały
rozmamłanie	rozmamłany
rozmemłanie	rozmemłany
przekupność	przekupny
sprzedajność	sprzedajny
zgryźliwość	zgryźliwy
zgryźliwość	zgryźliwy
kąśliwość	kąśliwy
kostyczność	kostyczny
prawomyślność	prawomyślny
prawomyślność	prawomyślny
zniewieściałość	zniewieściały
niemęskość	niemęski
wiotkość	wiotki
łamliwość	łamliwy
palność	palny
łatwopalność	łatwopalny
refleksyjność	refleksyjny
zespołowość	zespołowy
fideizm	fideistyczny
konwencjonalizm	konwencjonalistyczny
soczystość	soczysty
niedomykalność	niedomykalny
domykalność	domykalny
zamykalność	zamykalny
kulistość	kulisty
bezpodstawność	bezpodstawny
niecelowość	niecelowy
niezasadność	niezasadny
skrótowość	skrótowy
bogobojność	bogobojny
bogobojność	bogobojny
efektowność	efektowny
nieprzekupność	nieprzekupny
uczynność	uczynny
uczynność	uczynny
koleżeńskość	koleżeński
plotkarstwo	plotkarski
radioamatorstwo	radioamatorski
abstrakcyjność	abstrakcyjny
namacalność	namacalny
bezwartościowość	bezwartościowy
lichość	lichy
cierpkość	cierpki
cierpkość	cierpki
cierpkość	cierpki
cudność	cudny
czarność	czarny
ciemność	ciemny
czułostkowość	czułostkowy
czułostkowość	czułostkowy
dalekość	daleki
dosadność	dosadny
dwójłomność	dwójłomny
dwutorowość	dwutorowy
ekskluzywność	ekskluzywny
fantastyczność	fantastyczny
fantastyczność	fantastyczny
fikcyjność	fikcyjny
generalność	generalny
groteskowość	groteskowy
gruboskórność	gruboskórny
niedelikatność	niedelikatny
krwiożerczość	krwiożerczy
maleńkość	maleńki
mętność	mętny
mętność	mętny
mętność	mętny
mglistość	mglisty
nadmiarowość	nadmiarowy
nieformalność	nieformalny
nieludzkość	nieludzki
nieracjonalność	nieracjonalny
irracjonalność	irracjonalny
nieskromność	nieskromny
niespokojność	niespokojny
niespokojność	niespokojny
niespokojność	niespokojny
niespokojność	niespokojny
nadpobudliwość	nadpobudliwy
burzliwość	burzliwy
niewzruszoność	niewzruszony
twardość	twardy
oględność	oględny
osiadłość	osiadły
pańskość	pański
pierwotność	pierwotny
płaskość	płaski
wypukłość	wypukły
wklęsłość	wklęsły
pochopność	pochopny
podwójność	podwójny
wielokrotność	wielokrotny
krotność	-krotny
porowatość	porowaty
powszedniość	powszedni
protekcjonalność	protekcjonalny
protekcjonalność	protekcjonalny
pyszałkowatość	pyszałkowaty
rozwlekłość	rozwlekły
rubaszność	rubaszny
wesołkowatość	wesołkowaty
samoistność	samoistny
samorzutność	samorzutny
sensacyjność	sensacyjny
spokojność	spokojny
stateczność	stateczny
stateczność	stateczny
straszliwość	straszliwy
ugodowość	ugodowy
układność	układny
układność	układny
użytkowość	użytkowy
wodoodporność	wodoodporny
zdatność	zdatny
obraźliwość	obraźliwy
zmyślność	zmyślny
pomysłowość	pomysłowy
zmyślność	zmyślny
żółtość	żółty
zwrotność	zwrotny
pyszność	pyszny
mierzalność	mierzalny
nieoryginalność	nieoryginalny
codzienność	codzienny
prozaiczność	prozaiczny
atypowość	atypowy
przemądrzałość	przemądrzały
ważniactwo	ważny
muzyczność	muzyczny
wielobarwność	wielobarwny
nierentowność	nierentowny
współmierność	współmierny
racjonalność	racjonalny
niepospolitość	niepospolity
pustota	pusty
darmowość	darmowy
nietrafność	nietrafny
jasność	jasny
bladość	blady
omyłkowość	omyłkowy
mylność	mylny
poprawność	poprawny
długofalowość	długofalowy
przymusowość	przymusowy
dostępność	dostępny
osiągalność	osiągalny
dyskusyjność	dyskusyjny
kłopotliwość	kłopotliwy
problematyczność	problematyczny
problematyczność	problematyczny
niefachowość	niefachowy
obosieczność	obosieczny
obustronność	obustronny
ostateczność	ostateczny
końcowość	końcowy
prostota	prosty
fizyczność	fizyczny
fizyczność	fizyczny
rozmowność	rozmowny
głębokość	głęboki
głębokość	głęboki
dogłębność	dogłębny
dogłębność	dogłębny
pozerstwo	pozerski
dawność	dawny
starodawność	starodawny
odpowiedzialność	odpowiedzialny
krzykliwość	krzykliwy
pojedynczość	pojedynczy
całościowość	całościowy
sporność	sporny
kwaśność	kwaśny
bezbarwność	bezbarwny
ostrość	ostry
obrotowość	obrotowy
chybotliwość	chybotliwy
ważność	ważny
otwartość	otwarty
wiejskość	wiejski
zdrowotność	zdrowotny
obupłciowość	obupłciowy
zasadniczość	zasadniczy
nielogiczność	nielogiczny
pechowość	pechowy
odtwórczość	odtwórczy
niesystematyczność	niesystematyczny
nieregularność	nieregularny
nieregularność	nieregularny
nieistotność	nieistotny
niezgrabność	niezgrabny
zgrabność	zgrabny
niezgrabność	niezgrabny
nieadekwatność	nieadekwatny
sekciarstwo	sekciarski
raptowność	raptowny
oficjalność	oficjalny
oficjalność	oficjalny
urzędowość	urzędowy
jadalność	jadalny
pożywność	pożywny
relatywność	relatywny
wpływowość	wpływowy
zbyteczność	zbyteczny
wahliwość	wahliwy
badawczość	badawczy
pustynność	pustynny
obcisłość	obcisły
ciekłość	ciekły
posuwistość	posuwisty
ogromność	ogromny
starczość	starczy
ruskość	ruski
zgodliwość	zgodliwy
nieszlachetność	nieszlachetny
zwiotczałość	zwiotczały
foremność	foremny
kształtność	kształtny
salonowość	salonowy
obmierzłość	obmierzły
domowość	domowy
feralność	feralny
łzawość	łzawy
obłudność	obłudny
bezapelacyjność	bezapelacyjny
łykowatość	łykowaty
pierwszoplanowość	pierwszoplanowy
niedostrzegalność	niedostrzegalny
niezauważalność	niezauważalny
nieznaczność	nieznaczny
nieznaczność	nieznaczny
kolizyjność	kolizyjny
nieznośność	nieznośny
czcigodność	czcigodny
szanowność	szanowny
bezwonność	bezwonny
zapachowość	zapachowy
pikantność	pikantny
pieprzność	pieprzny
ostrość	ostry
trzpiotowatość	trzpiotowaty
roztrzepanie	roztrzepany
kamienność	kamienny
rozmyślność	rozmyślny
jednowątkowość	jednowątkowy
niechybność	niechybny
kauzalność	kauzalny
obcopylność	obcopylny
owadożerność	owadożerny
niewątpliwość	niewątpliwy
niepodważalność	niepodważalny
standardowość	standardowy
ospowatość	ospowaty
ospowatość	ospowaty
melancholijność	melancholijny
funkcyjność	funkcyjny
małopolskość	małopolski
spiczastość	spiczasty
romansowość	romansowy
niekształtność	niekształtny
nieforemność	nieforemny
rdzawość	rdzawy
niegramatyczność	niegramatyczny
liliowość	liliowy
błyskawiczność	błyskawiczny
modność	modny
braterskość	braterski
uboczność	uboczny
dodatkowość	dodatkowy
bezbrzeżność	bezbrzeżny
utylitarność	utylitarny
antypatyczność	antypatyczny
antypatyczność	antypatyczny
esencjonalność	esencjonalny
śnieżność	śnieżny
ewolucyjność	ewolucyjny
świąteczność	świąteczny
odświętność	odświętny
przesadność	przesadny
mgławicowość	mgławicowy
pokrewność	pokrewny
kleistość	kleisty
luksusowość	luksusowy
finezyjność	finezyjny
zgubność	zgubny
zagorzałość	zagorzały
bezwyjątkowość	bezwyjątkowy
żartobliwość	żartobliwy
gniewność	gniewny
gniewność	gniewny
filozoficzność	filozoficzny
prostokątność	prostokątny
nieskalaność	nieskalany
mimowolność	mimowolny
śmigłość	śmigły
rdzenność	rdzenny
przeraźliwość	przeraźliwy
żmudność	żmudny
smaczność	smaczny
nieletniość	nieletni
młodzieżowość	młodzieżowy
filigranowość	filigranowy
polubowność	polubowny
ujemność	ujemny
ujemność	ujemny
marzycielskość	marzycielski
bezstylowość	bezstylowy
sypkość	sypki
zastępczość	zastępczy
operetkowość	operetkowy
hasłowość	hasłowy
sentencjonalność	sentencjonalny
honorowość	honorowy
odcinkowość	odcinkowy
seryjność	seryjny
ultranowoczesność	ultranowoczesny
popisowość	popisowy
nieżywotność	nieżywotny
żywotność	żywotny
strupieszałość	strupieszały
żywiczność	żywiczny
kinetyczność	kinetyczny
popielatość	popielaty
potrzebność	potrzebny
elementarność	elementarny
podstawowość	podstawowy
główność	główny
różnokształtność	różnokształtny
bezkształtność	bezkształtny
przeczystość	przeczysty
pokorność	pokorny
nieskażoność	nieskażony
dodatniość	dodatni
dodatniość	dodatni
operowość	operowy
wiernopoddańczość	wiernopoddańczy
termoelektryczność	termoelektryczny
wargowość	wargowy
dźwięczność	dźwięczny
bezdźwięczność	bezdźwięczny
zębowość	zębowy
niejednoczesność	niejednoczesny
nierównoczesność	nierównoczesny
ustronność	ustronny
zmurszałość	zmurszały
nieskładność	nieskładny
dźwiękochłonność	dźwiękochłonny
rozsądność	rozsądny
higieniczność	higieniczny
aksamitność	aksamitny
złowróżbność	złowróżbny
złowieszczość	złowieszczy
złowrogość	złowrogi
złowrogość	złowrogi
wielkopańskość	wielkopański
dorzeczność	dorzeczny
perlistość	perlisty
deklamacja	deklamacyjny
ciepłochronność	ciepłochronny
wprawność	wprawny
wprawność	wprawny
rozrywkowość	rozrywkowy
ludyczność	ludyczny
karnawałowość	karnawałowy
estradowość	estradowy
rewiowość	rewiowy
patologiczność	patologiczny
konspiracyjność	konspiracyjny
pogardliwość	pogardliwy
wzgardliwość	wzgardliwy
wzgardliwość	wzgardliwy
dekoratywność	dekoratywny
familijność	familijny
nieprzytulność	nieprzytulny
ochrypłość	ochrypły
ochrypłość	ochrypły
problemowość	problemowy
pochodność	pochodny
zagraniczność	zagraniczny
nieuczynność	nieuczynny
mazurskość	mazurski
niesłyszalność	niesłyszalny
tubalność	tubalny
brawurowość	brawurowy
nietaktowność	nietaktowny
nietaktowność	nietaktowny
eksplozywność	eksplozywny
zimotrwałość	zimotrwały
cielistość	cielisty
wielopiętrowość	wielopiętrowy
szpakowatość	szpakowaty
inwazyjność	inwazyjny
nieinwazyjność	nieinwazyjny
przeźroczystość	przeźroczysty
bliskość	bliski
bezideowość	bezideowy
zawadiactwo	zawadiacki
buńczuczność	buńczuczny
diamagnetyzm	diamagnetyczny
esencjonalność	esencjonalny
nieproporcjonalność	nieproporcjonalny
przeciwieństwo	przeciwny
wygoda	wygodny
ekscentryzm	ekscentryczny
kwiecistość	kwiecisty
surowość	surowy
margines	marginesowy
wiarołomność	wiarołomny
chropawość	chropawy
nieprzenikliwość	nieprzenikliwy
jadowitość	jadowity
srebrzystość	srebrzysty
chuliganeria	chuligański
ogniotrwałość	ogniotrwały
bezsporność	bezsporny
bezsporność	bezsporny
bzdurność	bzdurny
niezwłoczność	niezwłoczny
bezzwłoczność	bezzwłoczny
natychmiastowość	natychmiastowy
profetyzm	profetyczny
antyglobalizm	antyglobalistyczny
skośność	skośny
nieruchawość	nieruchawy
kwalifikowalność	kwalifikowalny
autokratyczność	autokratyczny
jedynowładczość	jedynowładczy
obiektywność	obiektywny
bezwzględność	bezwzględny
niestateczność	niestateczny
niestateczność	niestateczny
figlarność	figlarny
łączliwość	łączliwy
nieuniknioność	nieunikniony
ognioodporność	ognioodporny
spłacalność	spłacalny
wyleczalność	wyleczalny
innowacyjność	innowacyjny
okcydentalizm	okcydentalistyczny
nieobyczajność	nieobyczajny
upartość	uparty
upartość	uparty
alegoryczność	alegoryczny
metaforyczność	metaforyczny
bezpańskość	bezpański
ziemskość	ziemski
etniczność	etniczny
misyjność	misyjny
misyjność	misyjny
deficytowość	deficytowy
deficytowość	deficytowy
figuratywność	figuratywny
zjawiskowość	zjawiskowy
chimeryczność	chimeryczny
chimeryczność	chimeryczny
permanencja	permanentny
koślawość	koślawy
koślawość	koślawy
koślawość	koślawy
krzywość	krzywy
nieprzezroczystość	nieprzezroczysty
zuchowatość	zuchowaty
zuchowatość	zuchowaty
hartowność	hartowny
metaliczność	metaliczny
zalęknienie	zalękniony
rączość	rączy
niedomyślność	niedomyślny
kreatywność	kreatywny
transcendentalność	transcendentalny
bezbłędność	bezbłędny
perfekcyjność	perfekcyjny
przymilność	przymilny
misterność	misterny
misterność	misterny
depopulacja	depopulacyjny
niezbywalność	niezbywalny
zabobonność	zabobonny
wścibskość	wścibski
bezkonfliktowość	bezkonfliktowy
niezupełność	niezupełny
prymitywność	prymitywny
prymitywność	prymitywny
prymitywność	prymitywny
deklaratywność	deklaratywny
ilustracyjność	ilustracyjny
ilustratywność	ilustratywny
represyjność	represyjny
odwetowość	odwetowy
restrykcyjność	restrykcyjny
spolegliwość	spolegliwy
spolegliwość	spolegliwy
rozlewność	rozlewny
wymyślność	wymyślny
fantazyjność	fantazyjny
fantazyjność	fantazyjny
bezkrytycyzm	bezkrytyczny
schyłkowość	schyłkowy
finalność	finalny
dekadenckość	dekadencki
bezpartyjność	bezpartyjny
niedołężność	niedołężny
dysfunkcjonalność	dysfunkcjonalny
niekompatybilność	niekompatybilny
niestabilność	niestabilny
spławność	spławny
klanowość	klanowy
uniżenie	uniżony
usilność	usilny
interdyscyplinarność	interdyscyplinarny
intersubiektywność	intersubiektywny
losowość	losowy
losowość	losowy
pozytywność	pozytywny
interoperacyjność	interoperacyjny
kompatybilność	kompatybilny
pamiętliwość	pamiętliwy
słowność	słowny
tolerancyjność	tolerancyjny
tolerancyjność	tolerancyjny
obsceniczność	obsceniczny
czerstwość	czerstwy
czerstwość	czerstwy
cenność	cenny
jurność	jurny
cenność	cenny
plugawość	plugawy
plugawość	plugawy
wartkość	wartki
wartkość	wartki
potoczystość	potoczysty
płynność	płynny
zabawność	zabawny
poliploidalność	poliploidalny
asocjalność	asocjalny
drugorzędność	drugorzędny
drugorzędność	drugorzędny
poręczność	poręczny
poręczność	poręczny
skrzętność	skrzętny
nienaganność	nienaganny
rodzajowość	rodzajowy
autorytatywność	autorytatywny
autorytatywność	autorytatywny
spadzistość	spadzisty
izotropowość	izotropowy
chwilowość	chwilowy
wielowymiarowość	wielowymiarowy
dziecięcość	dziecięcy
magiczność	magiczny
magiczność	magiczny
niekonwencjonalność	niekonwencjonalny
niekonwencjonalność	niekonwencjonalny
paradoksalność	paradoksalny
warunkowość	warunkowy
zdradliwość	zdradliwy
zdradliwość	zdradliwy
czasowość	czasowy
czasowość	czasowy
akcyjność	akcyjny
anormalność	anormalny
niematerialność	niematerialny
niepraktyczność	niepraktyczny
przełomowość	przełomowy
ortodoksyjność	ortodoksyjny
ortodoksyjność	ortodoksyjny
tajemność	tajemny
światowość	światowy
rozpoznawalność	rozpoznawalny
rozpoznawalność	rozpoznawalny
ciągliwość	ciągliwy
ścieralność	ścieralny
demokratyczność	demokratyczny
demokratyczność	demokratyczny
chromatyczność	chromatyczny
chromatyczność	chromatyczny
pomocniczość	pomocniczy
unitarność	unitarny
dwudzielność	dwudzielny
toporność	toporny
toporność	toporny
homozygotyczność	homozygotyczny
krętość	kręty
krętość	kręty
instancyjność	instancyjny
lejność	lejny
piezoelektryczność	piezoelektryczny
wirowość	wirowy
homoseksualność	homoseksualny
nadopiekuńczość	nadopiekuńczy
niegodność	niegodny
niezwyciężoność	niezwyciężony
przesądność	przesądny
przesądność	przesądny
straszność	straszny
zapiekłość	zapiekły
nieaktualność	nieaktualny
niekonkurencyjność	niekonkurencyjny
płaczliwość	płaczliwy
bezwarunkowość	bezwarunkowy
merytoryczność	merytoryczny
kościstość	kościsty
chiralność	chiralny
marność	marny
mazgajstwo	mazgajski
strefowość	strefowy
aspołeczność	aspołeczny
autotematyczność	autotematyczny
autotematyzm	autotematyczny
chorowitość	chorowity
diploidalność	diploidalny
kanciastość	kanciasty
płynność	płynny
kanciastość	kanciasty
kanciastość	kanciasty
organiczność	organiczny
gruntowność	gruntowny
agenturalność	agenturalny
monotoniczność	monotoniczny
topliwość	topliwy
automorfizm	automorficzny
przemienność	przemienny
komutatywność	komutatywny
manewrowość	manewrowy
przenośność	przenośny
przenośność	przenośny
obliczalność	obliczalny
bezpostaciowość	bezpostaciowy
bezpostaciowość	bezpostaciowy
amorfizm	amorficzny
skąpość	skąpy
własnoręczność	własnoręczny
kowalność	kowalny
kujność	kujny
dufność	dufny
bryłowatość	bryłowaty
bryłowatość	bryłowaty
obłość	obły
zbaranienie	zbaraniały
zapuszczenie	zapuszczony
cienkość	cienki
grubość	gruby
grubość	gruby
słabość	słaby
słuszność	słuszny
jasność	jasny
jasność	jasny
nieprzewidywalność	nieprzewidywalny
antropocentryczność	antropocentryczny
archiwalność	archiwalny
autentyczność	autentyczny
wymuszoność	wymuszony
nieszczerość	nieszczery
autentyczność	autentyczny
szczerość	szczery
autentyczność	autentyczny
atrakcyjność	atrakcyjny
termostatyka	termostatyczny
termostatyczność	termostatyczny
oniryczność	oniryczny
tkliwość	tkliwy
wrażliwość	wrażliwy
kolokwialność	kolokwialny
ostateczność	ostateczny
priorytetowość	priorytetowy
ostrość	ostry
niegotowość	niegotowy
obojętność	obojętny
niewyspanie	niewyspany
celowość	celowy
rytuał	rytualny
szczęśliwość	szczęśliwy
uleczalność	uleczalny
szorstkość	szorstki
chropawość	chropawy
chropowatość	chropowaty
chropowatość	chropowaty
pasywizm	pasywny
łagodność	łagodny
łagodność	łagodny
słabowitość	słabowity
szlachetność	szlachetny
szlachetność	szlachetny
wytrawność	wytrawny
wytrawność	wytrawny
kwaśność	kwaśny
kompulsywność	kompulsywny
tkliwość	tkliwy
aluzyjność	aluzyjny
omowność	omowny
opisowość	opisowy
bezproduktywność	bezproduktywny
bezproduktywność	bezproduktywny
bezproduktywność	bezproduktywny
bezwiedność	bezwiedny
chorobliwość	chorobliwy
komercyjność	komercyjny
komercyjność	komercyjny
nieobiektywność	nieobiektywny
nieodporność	nieodporny
nieodporność	nieodporny
niesolidarność	niesolidarny
pobieżność	pobieżny
wielokierunkowość	wielokierunkowy
wieloplanowość	wieloplanowy
wielowarstwowość	wielowarstwowy
zawisłość	zawisły
ekspresywność	ekspresywny
gminność	gminny
godziwość	godziwy
harmonijność	harmonijny
harmonijność	harmonijny
jednostkowość	jednostkowy
koherentność	koherentny
litościwość	litościwy
litościwość	litościwy
niepozorność	niepozorny
otępiałość	otępiały
przewiewność	przewiewny
przewiewność	przewiewny
przewiewność	przewiewny
smętność	smętny
tradycyjność	tradycyjny
wieloaspektowość	wieloaspektowy
wybredność	wybredny
lodowatość	lodowaty
milusińskość	milusiński
telewizyjność	telewizyjny
biurokratyczność	biurokratyczny
gwiazdorskość	gwiazdorski
jarmarczność	jarmarczny
niekonstruktywność	niekonstruktywny
nietoksyczność	nietoksyczny
nietoksyczność	nietoksyczny
policzalność	policzalny
futurystyczność	futurystyczny
awangardowość	awangardowy
nowatorskość	nowatorski
melodramatyczność	melodramatyczny
wsiowość	wsiowy
smarkatość	smarkaty
smarkatość	smarkaty
smarkatość	smarkaty
destrukcyjność	destrukcyjny
endemizm	endemiczny
endemiczność	endemiczny
hulaszczość	hulaszczy
końskość	koński
kosmiczność	kosmiczny
podziemność	podziemny
przedniość	przedni
samolubność	samolubny
sztubackość	sztubacki
wielokolorowość	wielokolorowy
wirtualność	wirtualny
wirtualność	wirtualny
amarantowość	amarantowy
cebulowość	cebulowy
etyczność	etyczny
kwarcowość	kwarcowy
miłosierność	miłosierny
wyszukaność	wyszukany
autoteliczność	autoteliczny
błotnistość	błotnisty
podręczność	podręczny
automatyczność	automatyczny
rozróżnialność	rozróżnialny
rozróżnialność	rozróżnialny
dostrzegalność	dostrzegalny
wzorzystość	wzorzysty
ciemnobrązowość	ciemnobrązowy
brązowość	brązowy
dwubarwność	dwubarwny
kiczowatość	kiczowaty
nielotność	nielotny
nieaktualność	nieaktualny
niewspółczesność	niewspółczesny
podręcznikowość	podręcznikowy
symboliczność	symboliczny
symboliczność	symboliczny
epokowość	epokowy
dziejowość	dziejowy
historyczność	historyczny
nadziemskość	nadziemski
letniość	letni
przepisowość	przepisowy
regulaminowość	regulaminowy
seksowność	seksowny
specjalistyczność	specjalistyczny
ziemistość	ziemisty
niebieskawość	niebieskawy
pergaminowość	pergaminowy
piegowatość	piegaty
piegowatość	piegowaty
przyjacielskość	przyjacielski
terytorialność	terytorialny
wyżynność	wyżynny
wyżynność	wyżynny
bagnistość	bagnisty
bagienność	bagienny
doborowość	doborowy
wyborowość	wyborowy
nieprzekraczalność	nieprzekraczalny
graniczność	graniczny
pełnoletniość	pełnoletni
siwość	siwy
sumaryczność	sumaryczny
świńskość	świński
świńskość	świński
zadufaność	zadufany
dwukolorowość	dwukolorowy
karzełkowatość	karzełkowaty
kolosalność	kolosalny
gigantyczność	gigantyczny
niestacjonarność	niestacjonarny
zaoczność	zaoczny
stacjonarność	stacjonarny
socjalistyczność	socjalistyczny
lewicowość	lewicowy
turkusowość	turkusowy
łuskowatość	łuskowaty
łuskowatość	łuskowaty
fertyczność	fertyczny
lekkostrawność	lekkostrawny
lekkość	lekki
nieefektowność	nieefektowny
wielomówność	wielomówny
komiczność	komiczny
lazurowość	lazurowy
marchewkowość	marchewkowy
pomarańczowość	pomarańczowy
nieklarowność	nieklarowny
nieklarowność	nieklarowny
oszczerczość	oszczerczy
pozaświatowość	pozaświatowy
linearność	linearny
sekwencyjność	sekwencyjny
kurduplowatość	kurduplowaty
nierozpuszczalność	nierozpuszczalny
niesubtelność	niesubtelny
paprykowość	paprykowy
skalistość	skalisty
staromodność	staromodny
banalność	banalny
burość	bury
brunatność	brunatny
dworskość	dworski
zrównoważenie	zrównoważony
niedosłowność	niedosłowny
niedyskretność	niedyskretny
niedyskretność	niedyskretny
niedyskretność	niedyskretny
niepoważność	niepoważny
niepoważność	niepoważny
patowość	patowy
telegraficzność	telegraficzny
wystrzałowość	wystrzałowy
szałowość	szałowy
wzorcowość	wzorcowy
czupurność	czupurny
czupurność	czupurny
