administrować	administrowanie
sparzyć	sparzenie
sprasować	sprasowanie
przetworzyć	przetworzenie
sproszkować	sproszkowanie
ugnieść	ugniecenie
umyć	umycie
odkazić	odkażenie
wygotować	wygotowanie
wygotować	wygotowanie
wymyć	wymycie
wymyć	wymycie
wyżłobić	wyżłobienie
zeschnąć	zeschnięcie
uformować	uformowanie
utoczyć	utoczenie
ugnieść	ugniecenie
roztopić	roztopienie
doskakiwać	doskakiwanie
doskoczyć	doskoczenie
doskakiwać	doskakiwanie
doskoczyć	doskoczenie
stukać	stukanie
pukać	pukanie
kołatać	kołatanie
stukotać	stukotanie
stuknąć	stuknięcie
puknąć	puknięcie
zakołatać	zakołatanie
dobijać się	dobijanie się
gruchotać	gruchotanie
gruchotać	gruchot
kuć	kucie
postukiwać	postukiwanie
szczękać	szczękanie
szczęknąć	szczęknięcie
dzwonić	dzwonienie
brzękać	brzękanie
brzęknąć	brzęknięcie
tarabanić	tarabanienie
pukać	pukanie
puknąć	puknięcie
puknąć się	puknięcie się
dźwigać się	dźwiganie się
wydobywać się	wydobywanie się
wydobyć się	wydobycie się
dźwigać się	dźwiganie się
dźwignąć się	dźwignięcie się
odbijać się od dna	odbijanie się od dna
podnosić się	podnoszenie się
stawać na nogi	stawanie na nogi
wychodzić na prostą	wychodzenie na prostą
wygrzebywać się	wygrzebywanie się
odbić się od dna	odbicie się od dna
podnieść się	podniesienie się
stanąć na nogi	stanięcie na nogi
wyjść na prostą	wyjście na prostą
wychodzić obronną ręką	wychodzenie obronną ręką
wyjść obronną ręką	wyjście obronną ręką
wygrzebać się	wygrzebanie się
uwalniać się	uwalnianie się
wybrnąć	wybrnięcie
poradzić sobie	poradzenie sobie
dawać sobie radę	dawanie sobie rady
dać sobie radę	danie sobie rady
skonstatować	skonstatowanie
zareagować	zareagowanie
skontrować	skontrowanie
skontrować	skontrowanie
zagrać	zagranie
skontrować	skontrowanie
wyjść	wyjście
podegrać	podegranie
skwitować	skwitowanie
zwolnić	zwolnienie
odciążyć	odciążenie
skwitować	skwitowanie
poprawić	poprawienie
ulepszyć	ulepszenie
skorygować	skorygowanie
sprostować	sprostowanie
sprostować	sprostowanie
zawzinać się	zawzinanie się
upierać się	upieranie się
ulegać	uleganie
ustępować	ustępowanie
zapierać się	zapieranie się
wydać głos	wydanie głosu
zawyć	zawycie
zatrąbić	zatrąbienie
zaśpiewać	zaśpiewanie
zaszczekać	zaszczekanie
zaskrzeczeć	zaskrzeczenie
zaskowytać	zaskowytanie
zarżeć	zarżenie
zaryczeć	zaryczenie
zarechotać	zarechotanie
zapiszczeć	zapiszczenie
zapiać	zapianie
zamruczeć	zamruczenie
zamiauczeć	zamiauczenie
kwiknąć	kwiknięcie
zakwiczeć	zakwiczenie
kwaknąć	kwaknięcie
zakwakać	zakwakanie
zakumkać	zakumkanie
zakukać	zakukanie
krzyknąć	krzyknięcie
zakrakać	zakrakanie
zahukać	zahukanie
zagulgotać	zagulgotanie
zagruchać	zagruchanie
zabeczeć	zabeczenie
zabzyczeć	zabzyczenie
zabzykać	zabzykanie
chrząknąć	chrząknięcie
cyknąć	cyknięcie
zaćwierkać	zaćwierkanie
ćwierknąć	ćwierknięcie
derknąć	derknięcie
fuknąć	fuknięcie
gdaknąć	gdaknięcie
gęgnąć	gęgnięcie
zagęgać	zagęganie
warknąć	warknięcie
warknąć	warknięcie
margnąć	margnięcie
warknąć	warknięcie
burknąć	burknięcie
wtrącić	wtrącenie
doprowadzić	doprowadzenie
wtrącić	wtrącenie
wtrącić	wtrącenie
uwięzić	uwięzienie
wydusić	wyduszenie
wybić	wybicie
wycisnąć	wyciśnięcie
wydusić	wyduszenie
wycisnąć	wyciśnięcie
wydobyć	wydobycie
wydusić	wyduszenie
wydusić	wyduszenie
zadeklamować	zadeklamowanie
wydeklamować	wydeklamowanie
wyrecytować	wyrecytowanie
wyrecytować	wyrecytowanie
wyszeptać	wyszeptanie
wyszepnąć	wyszepnięcie
zagadać	zagadanie
zagabnąć	zagabnięcie
zagadać	zagadanie
zagadać	zagadanie
zagłuszyć	zagłuszenie
stłumić	stłumienie
przekrzyczeć	przekrzyczenie
zakrzyczeć	zakrzyczenie
osłabić	osłabienie
zakląć	zaklęcie
przekląć	przeklęcie
zakląć	zaklęcie
zaczarować	zaczarowanie
zameldować	zameldowanie
zameldować	zameldowanie
zaanonsować	zaanonsowanie
zameldować	zameldowanie
zaanonsować	zaanonsowanie
zameldować	zameldowanie
zanegować	zanegowanie
zaprzeczyć	zaprzeczenie
zaprzeczyć	zaprzeczenie
odmówić	odmówienie
zaprzeczyć	zaprzeczenie
pozostać w sprzeczności	pozostanie w sprzeczności
bulwersować	bulwersowanie
wzburzać	wzburzanie
druzgotać	druzgotanie
poruszać	poruszanie
podniecać	podniecanie
ekscytować	ekscytowanie
emocjonować	emocjonowanie
frustrować	frustrowanie
frustrować się	frustrowanie się
hańbić	hańbienie
brukać	brukanie
kalać	kalanie
szargać	szarganie
irytować	irytowanie
zasłabnąć	zasłabnięcie
dojść do siebie	dojście do siebie
przyjść do siebie	przyjście do siebie
ocknąć się	ocknięcie się
kompromitować	kompromitowanie
kompromitować	kompromitowanie
wykonywać	wykonywanie
dąć	dęcie
zadąć	zadęcie
wydobyć dźwięk	wydobycie dźwięku
zagrać	zagranie
wykonać	wykonanie
wykonać czynności prawne	wykonanie czynności prawnych
umarzać	umarzanie
licować	licowanie
licować	licowanie
nużyć	nużenie
nudzić	nudzenie
nudzić się	nudzenie się
przejadać się	przejadanie się
nudzić	nudzenie
marudzić	marudzenie
grymasić	grymaszenie
nudzić	nudzenie
marudzić	marudzenie
nudzić	nudzenie
naprzykrzać się	naprzykrzanie się
zniechęcać	zniechęcanie
odstręczać	odstręczanie
odstraszać	odstraszanie
zrażać	zrażanie
okupić	okupienie
opłacić	opłacenie
przypłacić	przypłacenie
okupić	okupienie
odkupić	odkupienie
poniżać	poniżanie
obrażać	obrażanie
uchybiać	uchybianie
znieważać	znieważanie
ubliżać	ubliżanie
dyskredytować	dyskredytowanie
uwiarygodniać	uwiarygodnianie
uwiarygadniać	uwiarygadnianie
upadlać	upadlanie
szmacić	szmacenie
zeszmacać	zeszmacanie
gnoić	gnojenie
powikłać	powikłanie
pogmatwać	pogmatwanie
pokomplikować	pokomplikowanie
skomplikować	skomplikowanie
przygnębiać	przygnębianie
rozczarowywać	rozczarowywanie
sprawiać zawód	sprawianie zawodu
doświadczać negatywnego uczucia	doświadczanie negatywnego uczucia
stresować	stresowanie
szokować	szokowanie
epatować	epatowanie
wyliczyć	wyliczenie
wykalkulować	wykalkulowanie
wyrachować	wyrachowanie
wykalkulować	wykalkulowanie
martwieć	martwienie
zmartwieć	zmartwienie
wziąć udział	wzięcie udziału
przemieszać się	przemieszanie się
ordynować	ordynowanie
aplikować	aplikowanie
praktykować	praktykowanie
formować	formowanie
modelować	modelowanie
rozkuwać	rozkuwanie
uwalniać	uwalnianie
oswobadzać	oswobadzanie
prażyć	prażenie
pochylać się	pochylanie się
pochylić się	pochylenie się
chylić się	chylenie się
przychylać się	przychylanie się
schylać się	schylanie się
prażyć	prażenie
prażyć	prażenie
garbić się	garbienie się
prażyć	prażenie
zgarbić się	zgarbienie się
prażyć	prażenie
przyprawić	przyprawienie
kiwać się	kiwanie się
gibać się	gibanie się
kiwnąć się	kiwnięcie się
gibnąć się	gibnięcie się
posolić	posolenie
osolić	osolenie
kulić się	kulenie się
kurczyć się	kurczenie się
popieprzyć	popieprzenie
przykulać się	przykulanie się
skulać się	skulanie się
popieprzyć	popieprzenie
przykulić się	przykulenie się
posłodzić	posłodzenie
osłodzić	osłodzenie
skulić się	skulenie się
podsuszać	podsuszanie
podsmażać	podsmażanie
odchylać się	odchylanie się
odchylić się	odchylenie się
podpiekać	podpiekanie
podpiekać	podpiekanie
opiekać	opiekanie
pochylać się	pochylanie się
podgrzewać	podgrzewanie
wzmagać	wzmaganie
podgrzewać	podgrzewanie
zaostrzać	zaostrzanie
obsmażać	obsmażanie
obrumieniać	obrumienianie
chylić się	chylenie się
schylać się	schylanie się
schylić się	schylenie się
giąć się	gięcie się
odchylać się	odchylanie się
odchylić się	odchylenie się
krzywić się	krzywienie się
prostować się	prostowanie się
koślawić się	koślawienie się
koślawieć	koślawienie
skrzywiać się	skrzywianie się
wykoślawiać się	wykoślawianie się
wykrzywiać się	wykrzywianie się
zakrzywiać się	zakrzywianie się
wyprężać się	wyprężanie się
kapać	kapanie
odginać się	odginanie się
rozginać się	rozginanie się
rozprostowywać się	rozprostowywanie się
wyprostowywać się	wyprostowywanie się
skrzywić się	skrzywienie się
wykoślawić się	wykoślawienie się
perlić się	perlenie się
skleić	sklejenie
sklejać	sklejanie
wykrzywić się	wykrzywienie się
zakrzywić się	zakrzywienie się
posklejać	posklejanie
posklejać	posklejanie
stwarzać	stwarzanie
stworzyć	stworzenie
przelewać	przelewanie
lać	lanie
chwiać się	chwianie się
bujać się	bujanie się
przepełniać	przepełnianie
kołysać się	kołysanie się
kiwać się	kiwanie się
przelewać	przelewanie
kiwać	kiwanie
dryblować	dryblowanie
driblować	driblowanie
kiwnąć się	kiwnięcie się
przelewać	przelewanie
cedować	cedowanie
cedować weksel	cedowanie weksla
ronić	ronienie
przechylać się	przechylanie się
zwilżać	zwilżanie
przewieszać się	przewieszanie się
wychylać się	wychylanie się
wychylić się	wychylenie się
zraszać	zraszanie
zlizywać	zlizywanie
przechylić się	przechylenie się
przewiesić się	przewieszenie się
rozpryskiwać	rozpryskiwanie
rozbryzgiwać	rozbryzgiwanie
rozprowadzać	rozprowadzanie
rozsmarowywać	rozsmarowywanie
rozmazywać	rozmazywanie
mazać	mazanie
rozrzedzać	rozrzedzanie
podawać się	podawanie się
podać się	podanie się
rozgęszczać	rozgęszczanie
rozcieńczać	rozcieńczanie
przeginać się	przeginanie się
przegiąć się	przegięcie się
rozwadniać	rozwadnianie
przeginać się	przeginanie się
przegiąć się	przegięcie się
chłodzić się	chłodzenie się
naginać się	naginanie się
stygnąć	stygnięcie
przyginać się	przyginanie się
zagęszczać	zagęszczanie
stężać	stężanie
przygiąć się	przygięcie się
przyginać się	przyginanie się
przygiąć się	przygięcie się
wsiąkać	wsiąkanie
wsiąkać	wsiąkanie
wsiąkać	wsiąkanie
wydalać	wydalanie
usuwać	usuwanie
pozbywać się	pozbywanie się
nanieść	naniesienie
odsuwać	odsuwanie
deportować	deportowanie
relegować	relegacja
relegować	relegowanie
zsyłać	zsyłanie
deportować	deportowanie
wywozić	wywożenie
brać	branie
zabierać	zabieranie
zwiewać	zwiewanie
przeżerać	przeżeranie
wyżerać	wyżeranie
wyżerać	wyżeranie
nawiewać	nawiewanie
adaptować	adaptowanie
beletryzować	beletryzowanie
dewastować	dewastowanie
dewastować	dewastacja
unowocześniać	unowocześnianie
modernizować	modernizowanie
automatyzować	automacja
automatyzować	automatyka
automatyzować	automatyzowanie
komputeryzować	komputeryzowanie
informatyzować	informatyzowanie
mechanizować	mechanizowanie
odtwarzać	odtwarzanie
odbudowywać	odbudowywanie
odbudowywać	odbudowywanie
odbudować	odbudowanie
odbudowywać	odbudowywanie
odnawiać	odnawianie
odnawiać	odnawianie
odnawiać	odnawianie
odświeżać	odświeżanie
odremontowywać	odremontowywanie
odremontować	odremontowanie
wywieszać	wywieszanie
flagować	flagowanie
oflagowywać	oflagowywanie
okolić	okolenie
burzyć	burzenie
obramowywać	obramowywanie
wyburzać	wyburzanie
ogradzać	ogradzanie
burzyć	burzenie
wzburzać	wzburzanie
mącić	mącenie
opasywać	opasywanie
opasać	opasanie
przepasać	przepasanie
kłębić	kłębienie
skłębiać	skłębianie
burzyć	burzenie
wpieprzać	wpieprzanie
wpieprzać	wpieprzanie
przepasywać	przepasywanie
rekonstruować	rekonstruowanie
otoczyć	otoczenie
obramować	obramowanie
ograniczać	ograniczanie
ograniczyć	ograniczenie
ekranizować	ekranizacja
ekranizować	ekranizowanie
filmować	filmowanie
przenosić na ekran	przenoszenie na ekran
dramatyzować	dramatyzowanie
ściągać	ściąganie
ściągnąć	ściągnięcie
teatralizować	teatralizowanie
montować	montowanie
instalować	instalowanie
zakładać	zakładanie
elektryfikować	elektryfikowanie
kanalizować	kanalizowanie
kanalizować	kanalizacja
kanalizować	kanalizowanie
okablowywać	okablowywanie
radiofonizować	radiofonizowanie
okręcać się	okręcanie się
omotywać się	omotywanie się
rujnować	rujnowanie
oplatać	oplatanie
rujnować	rujnowanie
oplątywać	oplątywanie
oplątywać się	oplątywanie się
owijać się	owijanie się
zawijać się	zawijanie się
rujnować	rujnowanie
okręcić się	okręcenie się
omotać się	omotanie się
opleść	oplecenie
oplątać	oplątanie
eksploatować	eksploatowanie
wyzyskiwać	wyzyskiwanie
oplątać się	oplątanie się
owinąć się	owinięcie się
zawinąć się	zawinięcie się
nawijać się	nawijanie się
nawinąć się	nawinięcie się
odwijać się	odwijanie się
eksploatować	eksploatowanie
pasożytować	pasożytowanie
okręcać się	okręcanie się
okręcić się	okręcenie się
objadać	objadanie
opijać	opijanie
obrócić się	obrócenie się
żerować	żerowanie
żyłować	żyłowanie
łupić	łupienie
budować się	budowanie się
koziołkować	koziołkowanie
budować się	budowanie się
przewracać się	przewracanie się
umacniać	umacnianie
fortyfikować	fortyfikowanie
przewalać się	przewalanie się
przekręcać się	przekręcanie się
przewrócić się	przewrócenie się
przekręcić się	przekręcenie się
przewalić się	przewalenie się
rozebrać	rozebranie
tarzać się	tarzanie się
zdemontować	zdemontowanie
rozebrać	rozebranie
rozłożyć	rozłożenie
rozebrać	rozebranie
wirować	wirowanie
kręcić się	kręcenie się
podzielić	podzielenie
podbiegać	podbieganie
podbiec	podbiegnięcie
rozbudowywać	rozbudowywanie
nadbiegać	nadbieganie
podlatywać	podlatywanie
rozszerzać	rozszerzanie
rozbudowywać	rozbudowywanie
nasiąkać	nasiąkanie
nasiąknąć	nasiąknięcie
naciągać	naciąganie
zbudować	zbudowanie
namaczać się	namaczanie się
namakać	namakanie
namiękać	namiękanie
nasączać się	nasączanie się
podbiegać	podbieganie
podbiec	podbiegnięcie
podchodzić	podchodzenie
podejść	podejście
bębnić	bębnienie
bębnić	bębnienie
naciągnąć	naciągnięcie
namoczyć się	namoczenie się
bębnić	bębnienie
klekotać	klekotanie
klekotać	klekot
namoknąć	namoknięcie
namięknąć	namięknięcie
nasączyć się	nasączenie się
klekotać	klekotanie
moknąć	moknięcie
zmoknąć	zmoknięcie
kołysać	kołysanie
bujać	bujanie
roztapiać	roztapianie
ugniatać	ugniatanie
ugniatać	ugniatanie
prasować	prasowanie
rozmaczać	rozmaczanie
zmiękczać	zmiękczanie
rozcierać	rozcieranie
rozcierać	rozcieranie
masować	masowanie
rozcierać	rozcieranie
wydawać głos	wydawanie głosu
wydobywać głos	wydobywanie głosu
wydawać dźwięk	wydawanie dźwięku
gwizdać	gwizdanie
bekać	bekanie
czkać	czkanie
gaworzyć	gaworzenie
mlaskać	mlaskanie
ciamkać	ciamkanie
smoktać	smoktanie
mlaskać	mlaskanie
derkać	derkanie
cykać	cykanie
beczeć	beczenie
gęgać	gęganie
gęgotać	gęgotanie
gdakać	gdakanie
kwokać	kwokanie
kwoczyć	kwoczenie
kwoktać	kwoktanie
gulgotać	gulgotanie
krakać	krakanie
kukać	kukanie
kumkać	kumkanie
kwiczeć	kwiczenie
kwikać	kwikanie
meczeć	meczenie
moczyć się	moczenie się
miauczeć	miauk
miauczeć	miauczenie
zamaczać się	zamaczanie się
zamakać	zamakanie
zmoczyć się	zmoczenie się
zamoknąć	zamoknięcie
muczeć	muczenie
podsiąkać	podsiąkanie
podmakać	podmakanie
podsiąknąć	podsiąknięcie
podmoknąć	podmoknięcie
rżeć	rżenie
ujadać	ujadanie
trąbić	trąbienie
doczołgiwać się	doczołgiwanie się
przyczołgiwać się	przyczołgiwanie się
doczołgać się	doczołganie się
warczeć	warczenie
przyczołgać się	przyczołganie się
odczołgiwać się	odczołgiwanie się
warczeć	warczenie
warkotać	warkotanie
odczołgać się	odczołganie się
warczeć	warczenie
bulgotać	bulgotanie
gulgotać	gulgotanie
czołgać się	czołganie się
pełzać	pełzanie
pełznąć	pełźnięcie
sunąć	sunięcie
przesuwać się	przesuwanie się
buczeć	buczenie
dudnić	dudnienie
huczeć	huczenie
ryczeć	ryczenie
ryczeć	ryczenie
jazgotać	jazgotanie
jazgotać	jazgotanie
skrzypieć	skrzypienie
skakać	skakanie
kozłować	kozłowanie
zgrzytać	zgrzytanie
podźwignąć się	podźwignięcie się
trzeszczeć	trzeszczenie
trzeszczeć	trzeszczenie
trzeszczeć	trzeszczenie
podźwignąć się	podźwignięcie się
odbudować się	odbudowanie się
odbudowywać się	odbudowywanie się
tłuc	tłuczenie
powstać	powstanie
swingować	swingowanie
swingować	swingowanie
poświecić	poświecenie
poświecić	poświecenie
huśtać	huśtanie
świecić	świecenie
huśtać się	huśtanie się
kolebać	kolebanie
zaczepiać	zaczepianie
zaczepiać się	zaczepianie się
zahaczać	zahaczanie
zahaczać się	zahaczanie się
zaczepić się	zaczepienie się
zaczepić	zaczepienie
zahaczyć	zahaczenie
zahaczyć się	zahaczenie się
zawadzić	zawadzenie
zawadzać	zawadzanie
pryskać	pryskanie
napływać	napływanie
nawiewać	nawiewanie
ubijać	ubijanie
ukształtować	ukształtowanie
toczyć	toczenie
zsychać	zsychanie
uschnąć	uschnięcie
usychać	usychanie
zeschnąć	zeschnięcie
schnąć	schnięcie
wysychać	wysychanie
zsychać	zsychanie
wymywać	wymywanie
wymywać	wymywanie
żłobić	żłobienie
wyżłabiać	wyżłabianie
wypłukiwać	wypłukiwanie
wymywać	wymywanie
wypłukać	wypłukanie
wymyć	wymycie
wygotowywać	wygotowywanie
wygotowywać	wygotowywanie
sproszkowywać	sproszkowywanie
przetwarzać	przetwarzanie
władowywać się	władowywanie się
wpakowywać się	wpakowywanie się
wpieprzać się	wpieprzanie się
wpierdalać się	wpierdalanie się
władować się	władowanie się
wpakować się	wpakowanie się
wpieprzyć się	wpieprzenie się
wpierdolić się	wpierdolenie się
kolebać się	kolebanie się
kolebać się	kolebanie się
ulegać	uleganie
opatulać	opatulanie
owijać	owijanie
otulać	otulanie
okręcać	okręcanie
kołysać się	kołysanie się
być w błędzie	bycie w błędzie
machać się	machanie się
potykać się	potykanie się
klapać	klapanie
rąbać się	rąbanie się
kłapać	kłapanie
rypać się	rypanie się
sypać się	sypanie się
kopnąć się	kopnięcie się
klapać	klapanie
kłapać	kłapanie
wyłuskiwać	wyłuskiwanie
wyłuszczać	wyłuszczanie
kropnąć się	kropnięcie się
machnąć się	machnięcie się
młócić	młócenie
potknąć się	potknięcie się
rąbnąć się	rąbnięcie się
rypnąć się	rypnięcie się
trafić jak kulą w płot	trafienie jak kulą w płot
sypnąć się	sypnięcie się
młócić	młócenie
trafiać jak kulą w płot	trafianie jak kulą w płot
młócić	młócenie
skusić	skuszenie
ślizgać się	ślizganie się
przesłyszeć się	przesłyszenie się
przeliczyć się	przeliczenie się
ślizgać się	ślizganie się
przeliczać się	przeliczanie się
przejęzyczać się	przejęzyczanie się
przejęzyczyć się	przejęzyczenie się
trzepać	trzepanie
kiksować	kiksowanie
trzepotać	trzepotanie
fałszować	fałszowanie
skiksować	skiksowanie
trzepotać	trzepotanie
zafałszować	zafałszowanie
trzepotać się	trzepotanie się
trzepotać	trzepotanie
beczeć	beczenie
łopotać	łopotanie
ucinać koguta	ucinanie koguta
wycinać koguta	wycinanie koguta
łomotać	łomotanie
przegrywać	przegrywanie
ponosić porażkę	ponoszenie porażki
wracać na tarczy	wracanie na tarczy
przegrać	przegranie
włączać	włączanie
ponieść porażkę	poniesienie porażki
umoczyć	umoczenie
wcielać	wcielanie
potykać się	potykanie się
łączyć	łączenie
potknąć się	potknięcie się
anektować	anektowanie
wygrywać	wygrywanie
wracać z tarczą	wracanie z tarczą
anektować	anektowanie
wygrać	wygranie
wrócić z tarczą	wrócenie z tarczą
potykać się	potykanie się
bombardować	bombardowanie
bombardować	bombardowanie
eksplorować	eksplorowanie
ewakuować	ewakuowanie
kolonizować	kolonizacja
kolonizować	kolonizowanie
przepychać się	przepychanie się
pchać się	pchanie się
przepchać się	przepchanie się
osiedlać	osiedlanie
umieszczać	umieszczanie
przepchnąć się	przepchnięcie się
instalować	instalowanie
instalować	instalacja
przepychać się	przepychanie się
zasiedlać	zasiedlanie
zaludniać	zaludnianie
kolonizować	kolonizowanie
osiągać	osiąganie
dochodzić	dochodzenie
przepchać się	przepchanie się
osiągnąć	osiągnięcie
dojść	dojście
dopinać celu	dopinanie celu
sadzić	sadzenie
zasadzać	zasadzanie
dopinać swego	dopinanie swego
odnosić	odnoszenie
stawiać na swoim	stawianie na swoim
święcić triumf	święcenie triumfów
obsadzać	obsadzanie
dopiąć celu	dopięcie celu
dopiąć swego	dopięcie swego
flancować	flancowanie
uprawiać	uprawianie
plantować	plantowanie
pędzić	pędzenie
pobudzać	pobudzanie
siać	sianie
dostać się	dostanie się
obsadzać	obsadzanie
odnieść	odniesienie
postawić na swoim	postawienie na swoim
wskórać	wskóranie
zwojować	zwojowanie
dochrapywać się	dochrapywanie się
dochrapać się	dochrapanie się
święcić sukces	święcenie sukcesów
przysiąść	przysiądnięcie
przysiadać się	przysiadanie się
przysiąść się	przysiądnięcie się
przysiadywać się	przysiadywanie się
przysiadać się	przysiadanie się
dosiadać się	dosiadanie się
przysiadywać się	przysiadywanie się
przysiąść się	przysiądnięcie się
wychylać się	wychylanie się
wychylić się	wychylenie się
odstępować	odstępowanie
odstąpić	odstąpienie
wychylać się	wychylanie się
wychylić się	wychylenie się
wycofywać się	wycofywanie się
wycofać się	wycofanie się
przecierać	przecieranie
wycierać	wycieranie
wytrzeć	wytarcie
wytrzeć	wytarcie
zetrzeć	starcie
przecierać	przecieranie
wycierać	wycieranie
ścierać	ścieranie
przecierać	przecieranie
przecierać	przecieranie
przecierać	przecieranie
przecierać	przecieranie
smarować	smarowanie
usmarować	usmarowanie
wysmarować	wysmarowanie
zaparzyć	zaparzenie
naparzyć	naparzenie
oskrobywać	oskrobywanie
ugryźć	ugryzienie
nadgryzać	nadgryzanie
ugryźć	ugryzienie
zranić	zranienie
skaleczyć	skaleczenie
zanurzyć	zanurzenie
upiększyć	upiększenie
przedzierać	przedzieranie
rozrywać	rozrywanie
zamykać	zamykanie
blokować	blokowanie
tamować	tamowanie
zamknąć	zamknięcie
zablokowywać	zablokowywanie
zagradzać	zagradzanie
tarasować	tarasowanie
zastawić	zastawienie
zastawić	zastawienie
zastawić	zastawienie
zastawiać	zastawianie
oddać	oddanie
zastawić	zastawienie
wywietrzyć	wywietrzenie
zwietrzyć	zwietrzenie
zwietrzyć	zwietrzenie
wywęszyć	wywęszenie
rozbierać	rozbieranie
zburzyć	zburzenie
wyburzyć	wyburzenie
rozebrać	rozebranie
sprzątać	sprzątanie
usunąć	usunięcie
zabrać	zabranie
sprzątnąć	sprzątnięcie
sprzątnąć	sprzątnięcie
spenetrować	spenetrowanie
przeczesać	przeczesanie
czesać	czesanie
przeczesać	przeczesanie
uczesać	uczesanie
postawić	postawienie
obstawić	obstawienie
typować	typowanie
wytypować	wytypowanie
obstawiać	obstawianie
obstawić	obstawienie
objeżdżać	objeżdżanie
zwiedzić	zwiedzenie
powierzać	powierzanie
obsadzać	obsadzanie
obsadzać	obsadzanie
obsadzać	obsadzanie
zarybiać	zarybianie
obsadzać	obsadzanie
ostrzeliwać	ostrzeliwanie
obstrzeliwać	obstrzeliwanie
próbować	próbowanie
wypróbowywać	wypróbowywanie
testować	testowanie
ostrzeliwać	ostrzeliwanie
ostrzelać	ostrzelanie
obstrzelać	obstrzelanie
ostrzelać	ostrzelanie
patrolować	patrolowanie
pustoszyć	pustoszenie
skolonizować	skolonizowanie
przystawać	przystawanie
przystanąć	przystanięcie
skolonizować	skolonizowanie
zasiedlić	zasiedlenie
zaludnić	zaludnienie
osiedlić	osiedlenie
przysuwać się	przysuwanie się
dosuwać się	dosuwanie się
przysunąć się	przysunięcie się
dosunąć się	dosunięcie się
pacyfikować	pacyfikacja
pacyfikować	pacyfikowanie
tłumić	tłumienie
przytulać się	przytulanie się
garnąć się	garnięcie się
kleić się	klejenie się
lepić się	lepienie się
przygarniać się	przygarnianie się
spacyfikować	spacyfikowanie
przypadać	przypadanie
tulić się	tulenie się
stłumić	stłumienie
zwalczyć	zwalczenie
przytulić się	przytulenie się
przygarnąć się	przygarnięcie się
przypaść	przypadnięcie
zagarniać	zagarnianie
przyciskać się	przyciskanie się
przycisnąć się	przyciśnięcie się
zagarnąć	zagarnięcie
zagarniać	zagarnianie
zagarnąć	zagarnięcie
przylegać	przyleganie
przyklejać się	przyklejanie się
przylepiać się	przylepianie się
przywierać	przywieranie
zbombardować	zbombardowanie
przykleić się	przyklejenie się
przylepić się	przylepienie się
przylgnąć	przylgnięcie
zbombardować	zbombardowanie
przywrzeć	przywarcie
pocierać	pocieranie
drapać	drapanie
drapać	drapanie
obciskać	obciskanie
dziurawić	dziurawienie
oblepiać	oblepianie
przedziurawiać	przedziurawianie
opinać	opinanie
opinać się	opinanie się
obcisnąć	obciśnięcie
oblepić	oblepienie
przebijać	przebijanie
opiąć	opięcie
opiąć się	opięcie się
kłuć	kłucie
dźgać	dźganie
żgać	żganie
bóść	bodzenie
żądlić	żądlenie
usunąć się	usunięcie się
uskakiwać	uskakiwanie
kłuć	kłucie
uskoczyć	uskoczenie
muskać	muskanie
musnąć	muśnięcie
muskać	muskanie
skoczyć	skoczenie
owiewać	owiewanie
ogarniać	ogarnianie
muskać	muskanie
podskoczyć	podskoczenie
musnąć	muśnięcie
owiać	owianie
kicnąć	kicnięcie
ogarnąć	ogarnięcie
zatapiać	zatapianie
topić	topienie
torpedować	torpedowanie
zatopić	zatopienie
utopić	utopienie
storpedować	storpedowanie
zatapiać	zatapianie
wypełniać	wypełnianie
zapełniać	zapełnianie
zajmować	zajmowanie
wrastać	wrastanie
zagłębiać się	zagłębianie się
wrosnąć	wrośnięcie
zagłębić się	zagłębienie się
wcinać się	wcinanie się
wciąć się	wcięcie się
wczepiać się	wczepianie się
wczepić się	wczepienie się
wgryzać się	wgryzanie się
wgryźć się	wgryzienie się
wkuwać się	wkuwanie się
wkuć się	wkucie się
wryć się	wrycie się
wrzynać się	wrzynanie się
werżnąć się	werżnięcie się
worywać się	worywanie się
worać się	woranie się
wwiercać się	wwiercanie się
wwiercić się	wwiercenie się
zagłębiać się	zagłębianie się
zapuszczać się	zapuszczanie się
zagłębiać się	zagłębianie się
łączyć się	łączenie się
zespalać się	zespalanie się
wrastać	wrastanie
wtłaczać	wtłaczanie
wpychać	wpychanie
wtłoczyć	wtłoczenie
wepchnąć	wepchnięcie
podporządkowywać	podporządkowywanie
wtłaczać	wtłaczanie
wtłaczać	wtłaczanie
wprowadzać	wprowadzanie
wtłaczać	wtłaczanie
nasycać	nasycanie
alkoholizować	alkoholizowanie
alkoholizować	alkoholizacja
apreturować	apretura
apreturować	apreturowanie
aromatyzować	aromatyzowanie
gazować	gazowanie
napowietrzać	napowietrzanie
nasączać	nasączanie
nawaniać	nawanianie
zagłębiać	zagłębianie
wbijać	wbijanie
zagłębić	zagłębienie
wbić	wbicie
wkręcać	wkręcanie
wkręcić	wkręcenie
wgłębiać	wgłębianie
wgłębić	wgłębienie
napadać	napadanie
atakować	atakowanie
nacierać	nacieranie
najeżdżać	najeżdżanie
nalatywać	nalatywanie
naskakiwać	naskakiwanie
naskakiwać	naskok
wsiadać	wsiadanie
wjeżdżać	wjeżdżanie
skakać do gardła	skakanie do gardła
wyskakiwać z gębą	wyskakiwanie z gębą
wyskakiwać z pyskiem	wyskakiwanie z pyskiem
rzucać się do gardła	rzucanie się do gardła
napaść	napadnięcie
