cisnąć	ciskać
rozpalić	rozpalać
rozżarzyć	rozżarzać
rozżarzyć	rozżarzać
rozpalić	rozpalać
rozmyć	rozmywać
rozmyć	rozmywać
rozprowadzić	rozprowadzać
rozmazać	rozmazywać
rozmazać	rozmazywać
roziskrzyć	roziskrzać
uchlać się	uchlewać się
upoić się	upajać się
urżnąć się	urzynać się
przyćmić	przyćmiewać
zaćmić	zaćmiewać
uwalić się	uwalać się
wstawić się	wstawiać się
zaprawić się	zaprawiać się
zakropić się	zakrapiać się
przeprowadzić	przeprowadzać
sprawdzić	sprawdzać
zbadać	badać
prześwietlić	prześwietlać
zapruć się	zapruwać się
przeniknąć	przenikać
prześwietlić	prześwietlać
prześwietlić	prześwietlać
prześwietlić	prześwietlać
naświetlić	naświetlać
prześwietlić	prześwietlać
posrebrzyć	posrebrzać
posrebrzyć	posrebrzać
osrebrzyć	osrebrzać
podświetlić	podświetlać
okaleczyć	okaleczać
nawalić się	nawalać się
skrzywdzić	krzywdzić
okaleczyć	okaleczać
zażyć	zażywać
przyjąć	przyjmować
okaleczyć	okaleczać
dać w żyłę	dawać w żyłę
wstrzyknąć	wstrzykiwać
zaćpać	ćpać
pochylić	skłaniać
pochylić	pochylać
pogrążyć	pogrążać
pogrążyć	pogrążać
zgubić	gubić
zajarać	jarać
zaciągnąć się	zaciągać się
wciągnąć	wciągać
wessać	wsysać
rozepchnąć się	rozpychać się
rozciągnąć się	rozciągać się
wyciągnąć się	wyciągać się
przykleić się	kleić się
przylepić się	lepić się
chlapnąć językiem	chlapać językiem
chlapnąć jęzorem	chlapać jęzorem
chlapnąć ozorem	chlapać ozorem
nagrzać	nagrzewać
ocieplić	ocieplać
wygrzać	wygrzewać
wznieść się	wznosić się
podnieść się	podnosić się
unieść się	unosić się
wzbić się	wzbijać się
wzlecieć	wzlatywać
wsiąść	wsiadać
dosiąść się	dosiadać się
dopłynąć	dopływać
powalić	powalać
powalić	powalać
powalić	powalać
pochować	chować
pogrzebać	grzebać
zasypać	zasypywać
pogrzebać	grzebać
przekreślić	przekreślać
przewyższyć	przewyższać
przerosnąć	przerastać
przewyższyć	przewyższać
przerosnąć	przerastać
przerosnąć	przerastać
przerosnąć	przerastać
przykuć	przykuwać
unieruchomić	unieruchamiać
przykuć	przykuwać
przygwoździć	przygważdżać
przywiązać	przywiązywać
przywiązać	przywiązywać
obezwładnić	obezwładniać
skuć	skuwać
skuć	skuwać
skuć	skuwać
skuć	skuwać
posadzić	sadzać
usadowić	usadawiać
uśpić	usypiać
opustoszeć	pustoszeć
uśpić	usypiać
złagodzić	łagodzić
uśmierzyć	uśmierzać
zamortyzować	amortyzować
znieczulić	znieczulać
uśpić	usypiać
uśpić	usypiać
uwięzić	więzić
uzbroić	uzbrajać
wpatrzyć się	wpatrywać się
wgapić się	wgapiać się
wypłynąć	wypływać
wślepić się	wślepiać się
ujść	uchodzić
ściec	ściekać
zbić	zbijać
stłoczyć	stłaczać
wpłynąć	wpływać
zaawizować	awizować
zadać raz	zadawać raz
odbić się	odbijać się
przeglądnąć się	przeglądać się
odciąć się	odcinać się
odgraniczyć się	odgraniczać się
wyodrębnić się	wyodrębniać się
osłabnąć	słabnąć
ucichnąć	ucichać
uspokoić się	uspokajać się
uciszyć się	uciszać się
zgasnąć	gasnąć
złagodnieć	łagodnieć
opaść	opadać
przygasnąć	przygasać
stracić na sile	tracić na sile
przybrać na sile	przybierać na sile
zagasnąć	zagasać
rozjaśnić się	rozjaśniać się
rozjarzyć się	rozjarzać się
rozproszyć się	rozpraszać się
rozpromienić się	rozpromieniać się
rozświetlić się	rozświetlać się
rozwidnić się	rozwidniać się
przygasnąć	przygasać
przyćmić się	przyćmiewać się
zmierzchnąć	zmierzchać
ozłocić	ozłacać
ozłocić	ozłacać
wyzłocić	wyzłacać
wysrebrzyć	wysrebrzać
oddzielić się	oddzielać się
odpaść	odpadać
odpaść	odpadać
skończyć się	kończyć się
odpaść	odpadać
utuczyć	tuczyć
odpaść	odpasać
umiejscowić się	umiejscawiać się
usytuować się	sytuować się
uplasować się	plasować się
uplasować się	plasować się
narodzić się	rodzić się
spisać się	spisywać się
zatriumfować	triumfować
zatryumfować	tryumfować
poczuć się	czuć się
wywyższyć się	wywyższać się
pochwalić się	chwalić się
zatriumfować	triumfować
przeważyć	przeważać
wziąć górę	brać górę
wyprzedzić	wyprzedzać
zastartować	startować
zmierzyć	mierzyć
określić	określać
zmierzyć się	mierzyć się
zremisować	remisować
znokautować	nokautować
oswoić	oswajać
udomowić	udomawiać
powlec	powlekać
oblec	oblekać
oblec	oblekać
rozmnożyć się	rozmnażać się
urodzić	rodzić
zestrofować	strofować
złajać	łajać
odczarować	odczarowywać
odczynić	odczyniać
odżegnać	odżegnywać
postarzyć	postarzać
pokłócić się	kłócić się
przemówić się	przemawiać się
wyszabrować	szabrować
wyszabrować	szabrować
poniżyć	poniżać
zdyskredytować	dyskredytować
obrazić	obrażać
zaprzysiąc	zaprzysięgać
zaprzysiąc	zaprzysięgać
zaprzysiąc	zaprzysięgać
wściec się	wściekać się
zbiesić się	biesić się
zaprzysięgnąć	zaprzysięgać
zaprzysięgnąć	zaprzysięgać
zaprzysięgnąć	zaprzysięgać
pokłócić	kłócić
zwaśnić	waśnić
obalić	obalać
pozbyć się	pozbywać się
usunąć	usuwać
obalić	obalać
obalić	obalać
zbić	zbijać
obalić	obalać
objawić	objawiać
zregenerować się	regenerować się
odrodzić się	odradzać się
odpokutować	odpokutowywać
przeciwstawić	przeciwstawiać
skontrastować	kontrastować
wyrównać	wyrównywać
zrównoważyć	równoważyć
przeciwstawić	przeciwstawiać
przejawić	przejawiać
zidentyfikować	identyfikować
utożsamić	utożsamiać
upewnić	upewniać
utwierdzić	utwierdzać
utwierdzić	utwierdzać
utrwalić	utrwalać
umocnić	umacniać
utwierdzić	utwierdzać
oddziałać	oddziaływać
pogorszyć się	pogarszać się
popsuć się	psuć się
przyćmić	przyćmiewać
wpoić	wpajać
wykreować	kreować
wykreować	kreować
zaszczepić	zaszczepiać
wszczepić	wszczepiać
uszlachetnić	uszlachetniać
zaszczepić	zaszczepiać
zaszczepić	zaszczepiać
wszczepić	wszczepiać
zbankrutować	bankrutować
splajtować	plajtować
zbankrutować	bankrutować
zreorganizować	reorganizować
przebudować	przebudowywać
odebrać	odbierać
przyjąć	przyjmować
skonsolidować	konsolidować
zabezpieczyć	zabezpieczać
skonsolidować	konsolidować
pożyczyć	pożyczać
zredukować	redukować
oddłużyć	oddłużać
podupaść	podupadać
podupaść	podupadać
sprywatyzować	prywatyzować
zrestrukturyzować	restrukturyzować
zreformować	reformować
uwolnić	uwalniać
zwolnić	zwalniać
usamodzielnić	usamodzielniać
uniezależnić	uniezależniać
uniezależnić się	uniezależniać się
usamodzielnić się	usamodzielniać się
obciążyć	obciążać
zadłużyć	zadłużać
wyprowadzić się	wyprowadzać się
wynieść się	wynosić się
wynieść się	wynosić się
opuszczać	opuścić
opuścić	opuszczać
spuścić	spuszczać
nagrać	nagrywać
utrwalić	utrwalać
potępić	potępiać
zestresować	stresować
skomponować	komponować
zainscenizować	inscenizować
zaaranżować	aranżować
zainscenizować	inscenizować
zbeletryzować	beletryzować
zekranizować	ekranizować
sfilmować	filmować
przenieść na ekran	przenosić na ekran
udramatyzować	dramatyzować
uteatralizować	teatralizować
sfilmować	filmować
nakręcić	nakręcać
sparodiować	parodiować
podpatrzyć	podpatrywać
podglądnąć	podglądać
przepleść	przeplatać
przetkać	przetykać
przepleść	przeplatać
wyreżyserować	reżyserować
wyreżyserować	reżyserować
spopularyzować	popularyzować
upamiętnić	upamiętniać
pobudzić	pobudzać
pobudzić	pobudzać
zainspirować	inspirować
zatytułować	tytułować
zabandażować	bandażować
odrąbać	odrąbywać
wypiąć	wypinać
wypiąć	wypinać
zagipsować	gipsować
zoperować	operować
rozkraczyć	rozkraczać
rozczapierzyć	rozczapierzać
rozcapierzyć	rozczapierzyć
przestrzelić	przestrzeliwać
przykurczyć	przykurczać
przegryźć	przegryzać
przekąsić	przekąszać
podwinąć	podwijać
podkurczyć	podkurczać
podkulić	podkulać
zagiąć	zaginać
podgiąć	podginać
odstrzelić	odstrzeliwać
odstrzelić	odstrzeliwać
odstrzelić	odstrzeliwać
obuć	obuwać
doczepić	doczepiać
dokleić	doklejać
dolepić	dolepiać
przykleić	przyklejać
przylepić	przylepiać
przytwierdzić	przytwierdzać
umocować	umocowywać
zamocować	zamocowywać
nawinąć	nawijać
namotać	motać
okręcić	okręcać
obwinąć	obwijać
opleść	oplatać
oplątać	oplątywać
zawinąć	zawijać
spowić	spowijać
spowinąć	spowijać
otulić	otulać
owinąć	owijać
złączyć	złączać
scalić	scalać
spoić	spajać
zespolić	zespalać
zestawić	zestawiać
odczepić	odczepiać
przypiąć	przypinać
wpiąć	wpinać
odpiąć	odpinać
podpiąć	podpinać
podpiąć	podpinać
podczepić	podczepiać
pomieścić	pomieszczać
zlokalizować	lokalizować
umiejscowić	umiejscawiać
usadowić	usadawiać
przewiesić	przewieszać
powiesić	wieszać
zawiesić	zawieszać
przewiesić	przewieszać
przybić	przybijać
przybić	przybijać
odbić	odbijać
odcisnąć	odciskać
odgnieść	odgniatać
przybić	przybijać
przyklepać	przyklepywać
przygnieść	przygniatać
dobić	dobijać
przybić	przybijać
przywalić	przywalać
rozbawić	rozbawiać
wymienić	wymieniać
zamienić	zamieniać
zastąpić	zastępować
odprawić	odprawiać
wybrukować	brukować
ogrodzić	ogradzać
pokryć	pokrywać
oblodzić	obladzać
obmurować	obmurowywać
omurować	omurowywać
obmurować	obmurowywać
obrzeżyć	obrzeżać
obramować	obramowywać
odgrodzić	odgradzać
odśnieżyć	odśnieżać
podmyć	podmywać
podmyć	podmywać
rozjeździć	rozjeżdżać
udeptać	udeptywać
utwardzić	utwardzać
utwardzić	utwardzać
wyasfaltować	asfaltować
wydeptać	wydeptywać
zadeptać	zadeptywać
zadeptać	zadeptywać
wydeptać	wydeptywać
wyrąbać	wyrąbywać
wyrąbać	wyrąbywać
wyrąbać	wyrąbywać
przyszpilić	przyszpilać
wytyczyć	wytyczać
wytyczyć	tyczyć
wytyczyć	wytyczać
oflagować	oflagowywać
przyprzeć	przypierać
przygwoździć	przygważdżać
przyprzeć do muru	przypierać do muru
przyszpilić	przyszpilać
zabudować	zabudowywać
zasłonić	zasłaniać
przytroczyć	przytraczać
zabudować	zabudowywać
zachwaścić	zachwaszczać
zlekceważyć	lekceważyć
zachwaścić	zachwaszczać
porosnąć	porastać
zadrzewić	zadrzewiać
wykorkować	korkować
wyżwirować	żwirować
przywiesić	przywieszać
uwiesić	uwieszać
zawiesić	zawieszać
zaminować	minować
zamontować	zamontowywać
założyć	zakładać
uczepić	uczepiać
zamulić	zamulać
zanieczyścić	zanieczyszczać
upleść	uplatać
uwić	wić
zapleść	zaplatać
zamulić	zamulać
skazić	skażać
uwiązać	uwiązywać
zatruć	zatruwać
wypleść	wyplatać
wypleść	wyplatać
wpleść	wplatać
uzdatnić	uzdatniać
okroić	okrajać
okroić	okrawać
okroić	okrawać
okroić	okrawać
oberżnąć	obrzynać
zatknąć	zatykać
przytkać	przytykać
odetkać	odtykać
zakneblować	kneblować
zaczopować	zaczopowywać
zaszpuntować	szpuntować
odszpuntować	odszpuntowywać
odkorkować	odkorkowywać
uszczuplić	uszczuplać
zatamować	tamować
zatkać	zatykać
zamknąć usta	zamykać usta
zatkać usta	zatykać usta
zamknąć buzię	zamykać buzię
zatkać buzię	zatykać buzię
zamknąć gębę	zamykać gębę
zamknąć mordę	zamykać mordę
zamknąć pysk	zamykać pysk
zatkać dziurę	zatykać dziurę
zapchać dziurę	zapychać dziurę
zasadzić	zasadzać
wetknąć	wtykać
wsunąć	wsuwać
opatentować	patentować
oznaczyć	oznaczać
oznaczyć	oznaczać
wyróżnić	wyróżniać
dojść do siebie	dochodzić do siebie
dojść do zdrowia	dochodzić do zdrowia
stanąć na nogi	stawać na nogi
wrócić do zdrowia	wracać do zdrowia
wylizać się	wylizywać się
rozchorować się	rozchorowywać się
zapaść	zapadać
dorobić się	dorabiać się
doprawić się	doprawiać się
przetestować	testować
przyporządkować	przyporządkowywać
rozbudować	rozbudowywać
rozbudować	rozbudowywać
rozbudować	rozbudowywać
zdeformować	deformować
zniekształcić	zniekształcać
zaśmiecić	zaśmiecać
oszpecić	oszpecać
pogorszyć	pogarszać
naszpikować	szpikować
zepsuć	psuć
zaśmiecić	zaśmiecać
zachwaścić	zachwaszczać
dorobić	dorabiać
dorobić	dorabiać
dorobić	dorabiać
wymyślić	wymyślać
skolekcjonować	kolekcjonować
nabić	nabijać
nabić	nabijać
wbić	wbijać
nabić	nabijać
wybić	wybijać
podłożyć	podkładać
podłożyć	podkładać
podłożyć	podkładać
podłożyć	podkładać
przerzucić	przerzucać
przerzucić	przerzucać
przemycić	przemycać
przerzucić	przerzucać
przerzucić	przerzucać
przerzucić	przerzucać
wpuścić	wpuszczać
wpuścić	wpuszczać
wrzucić	wrzucać
wsadzić	wsadzać
zamknąć	zamykać
wsadzić	wsadzać
wygrzebać	wygrzebywać
wygrzebać	wygrzebywać
wydrążyć	wydrążać
wygrzebać	wygrzebywać
odgrzebać	odgrzebywać
wyjąć	wyjmować
wyłowić	wyławiać
wyłowić	wyławiać
wykryć	wykrywać
wyłuszczyć	wyłuszczać
wyłuskać	wyłuskiwać
rozwinąć	rozwijać
zgarnąć	zgarniać
rozwinąć	rozwijać
rozwinąć	rozwijać
rozwinąć	rozwijać
zgarnąć	zgarniać
rozwinąć	rozwijać
rozwinąć	rozwijać
rozwinąć	rozwijać
rozwinąć	rozwijać
zgarniać	zgarnąć
odprowadzić	odprowadzać
zrzucić	zrzucać
odpowietrzyć	odpowietrzać
upuścić	upuszczać
rozwinąć się	rozwijać się
rozwinąć się	rozwijać się
rozwinąć się	rozwijać się
rozwinąć się	rozwijać się
odwinąć	odwijać
odwinąć	odwijać
rozpakować	rozpakowywać
rozpakować	rozpakowywać
rozpakować	rozpakowywać
odpakować	odpakowywać
wypakować	wypakowywać
zawinąć	zawijać
zawinąć	zawijać
zawinąć	zawijać
zwinąć	zwijać
odbębnić	odbębniać
odfajkować	odfajkowywać
odpędzlować	odpędzlowywać
odmachać	odmachiwać
odmachnąć	odmachiwać
machnąć	machać
odpieprzyć	odpieprzać
odpierdolić	odpierdalać
odcierpieć	cierpieć
przecierpieć	cierpieć
znieść	znosić
wytrzymać	wytrzymywać
rozzuchwalić	rozzuchwalać
rozbestwić	rozbestwiać
rozwydrzyć	rozwydrzać
spauzować	pauzować
dospać	dosypiać
wyciszyć się	wyciszać się
cofnąć się rakiem	cofać się rakiem
cofnąć się	cofać się
dać spokój	dawać sobie spokój
podarować	darować
machnąć ręką	machać ręką
położyć lachę	kłaść lachę
odejść	odchodzić
odpuścić sobie	odpuszczać sobie
spisać na straty	spisywać na straty
położyć krzyżyk	kłaść krzyżyk
zarzucić	zarzucać
zwinąć żagle	zwijać żagle
zwinąć chorągiewkę	zwijać chorągiewkę
odpuścić	odpuszczać
odhartować	odhartowywać
ostudzić	ostudzać
wystudzić	wystudzać
przestudzić	przestudzać
oziębić	ziębić
ustawić	ustawiać
rozstawić	rozstawiać
rozstawić	rozstawiać
przywrócić	przywracać
opróżnić	opróżniać
rozbudować się	rozbudowywać się
rozbudować się	rozbudowywać się
rozbudować się	rozbudowywać się
rozbudować się	rozbudowywać się
naładować się	naładowywać się
nażreć się	nażerać się
obeżreć się	obżerać się
popuścić pasa	popuszczać pasa
utuczyć się	tuczyć się
zapaść się	zapasać się
upaść się	paść się
utyć	tyć
zgrubieć	grubieć
nabrać ciała	nabierać ciała
nabrać wagi	nabierać wagi
obrosnąć w tłuszcz	obrastać w tłuszcz
porosnąć sadłem	porastać sadłem
poprawić się	poprawiać się
przybrać na wadze	przybierać na wadze
zaokrąglić się	zaokrąglać się
odurzyć się	odurzać się
wyznaczyć	wyznaczać
paść na kolana	padać na kolana
rozpłynąć się	rozpływać się
spreparować	preparować
wygarbować	garbować
wyprawić	wyprawiać
spreparować	preparować
spreparować	preparować
zaimpregnować	impregnować
nasycić	nasycać
wprowadzić	wprowadzać
zakonserwować	konserwować
zachować	zachowywać
zakonserwować	konserwować
nawoskować	woskować
odbarwić	odbarwiać
urwać się	urywać się
odłączyć się	odłączać się
zafoliować	foliować
zalaminować	laminować
ofornirować	fornirować
zmontować	montować
zmontować	montować
sportretować	portretować
sportretować	portretować
skarykaturować	karykaturować
skarykaturować	karykaturować
wyśmiać się	wyśmiewać się
zredagować	redagować
zredagować	redagować
zadiustować	adiustować
zaadiustować	adiustować
zdubbingować	dubbingować
wyrychtować	rychtować
rozgrabić	rozgrabiać
podbić bębenka	podbijać bębenka
podkadzić	podkadzać
przypochlebić	przypochlebiać
przypochlebić się	przypochlebiać się
wziąć pod włos	brać pod włos
przeczekać	przeczekiwać
opalić się	opalać się
przypiec się	przypiekać się
spiec się	spiekać się
przyrumienić się	przyrumieniać się
spalić się	spalać się
wypalić	wypalać
opalić się	opalać się
wywróżyć	wróżyć
speszyć	peszyć
zmieszać	mieszać
wywróżyć z ręki	wróżyć z ręki
wykukać	wykukiwać
poplątać	plątać
wystudiować	studiować
pokwitować	kwitować
zaświergotać	świergotać
rozdziawić się	rozdziawiać się
rozdziawić się	rozdziawiać się
rozdziawić	rozdziawiać
spowinąć się	spowijać się
uwypuklić się	uwypuklać się
przybrać	przybierać
nabrać	nabierać
formować się	uformować się
wzmóc się	nasilać się
wzmóc się	wzmagać się
uwydatnić się	uwydatniać się
uwypuklić się	uwypuklać się
uwyraźnić się	uwyraźniać się
odsunąć się	odsuwać się
obniżyć się	obniżać się
osunąć się	osuwać się
usunąć się	usuwać się
obsunąć się	obsuwać się
osunąć się	osuwać się
obsunąć się	obsuwać się
oddać się	oddawać się
pogrążyć się	pogrążać się
pomknąć	pomykać
zapowiedzieć	zapowiadać
obiecać	obiecywać
wywróżyć	wróżyć
wywnioskować	wnioskować
przemknąć	przemykać
przemknąć się	przemykać się
dojść do wniosku	dochodzić do wniosku
przemknąć	przemykać
wyciągnąć wniosek	wyciągać wniosek
wyrozumować	wyrozumowywać
wysnuć wniosek	wysnuwać wniosek
wydedukować	dedukować
rozbić się	rozbijać się
zawalić się	zawalać się
załamać się	załamywać się
zahamować	hamować
wyhamować	wyhamowywać
wyhamować	wyhamowywać
stłumić	tłumić
wyhamować	wyhamowywać
podporządkować	podporządkowywać
wysunąć się	wysuwać się
zapluć	zapluwać
zgęstnieć	gęstnieć
stężeć	tężeć
stwardnieć	twardnieć
zastygnąć	zastygać
zanieczyścić się	zanieczyszczać się
zastygnąć	zastygać
zjarać się	jarać się
zwęglić się	zwęglać się
ulec	ulegać
zwęglić się	zwęglać się
spopielić się	spopielać się
ubliżyć	ubliżać
zapluć się	zapluwać się
spowinowacić się	spowinowacać się
spowinowacić	spowinowacać
powaśnić	waśnić
przesiedlać	przesiedlać się
skoligacić	koligacić
skoligacić	spowinowacić
zasymilować się	asymilować się
przystosować się	przystosowywać się
dostosować się	dostosowywać się
zasymilować	asymilować
przystosować	przystosowywać
wydobyć głos	wydobywać głos
ożywić się	ożywiać się
pokruszyć się	kruszyć się
rozkruszyć się	rozkruszać się
oblepić	oblepiać
obkleić	obklejać
okleić	oklejać
postawić kabałę	stawiać kabałę
postawić karty	stawiać karty
pyknąć się	pykać się
pyknąć	pykać
pyknąć	pykać
oblepić	oblepiać
oblepić	oblepiać
oblepić	oblepiać
odlecieć	odlatywać
napęcznieć	pęcznieć
zatoczyć	zataczać
wtoczyć	wtaczać
zakreślić	zakreślać
zatoczyć	zataczać
zmaterializować się	materializować się
zmieścić	mieścić
uwalać się	walać się
ugiąć się	uginać się
zwalić się	zwalać się
schudnąć	chudnąć
wyszczupleć	szczupleć
stracić na wadze	tracić na wadze
zmizernieć	mizernieć
zmiąć się	miąć się
zdradzić	zdradzać
wynarodowić	wynaradawiać
zgermanizować	germanizować
zniemczyć	zniemczać
zhellenizować	hellenizować
obrobić	obrabiać
obrobić	obrabiać
obgadać	obgadywać
obrobić	obrabiać
podporządkować się	podporządkowywać się
ugiąć się	uginać się
sypnąć się	sypać się
zsypać się	zsypywać się
sypnąć się	sypać się
obsypać się	obsypywać się
odjechać	odjeżdżać
sypnąć się	sypać się
okrzesać	okrzesywać
sypać się	sypnąć się
ogładzić	ogładzać
przeforsować	przeforsowywać
przeprzeć	przepierać
wyprać	prać
przeprać	przepierać
potrwać	trwać
pozostać	pozostawać
zostać	zostawać
pomieszkać	pomieszkiwać
wybronić	wybraniać
uratować	ratować
wyratować	ratować
zreanimować	reanimować
ożywić	ożywiać
przywrócić ... do życia	przywracać ... do życia
wydalić	wydalać
wykonać czynność fizjologiczną	wykonywać czynność fizjologiczną
wypróżnić się	wypróżniać się
oddać kał	oddawać kał
zrobić kupę	robić kupę
oddać mocz	oddawać mocz
scalić	scalać
komasować	skomasować
spróbować	próbować
podjąć próby	podejmować próby
podjąć wysiłki	podejmować wysiłki
poruszyć niebo i ziemię	poruszać niebo i ziemię
poruszyć niebo i piekło	poruszać niebo i piekło
poruszyć wszystkie sprężyny	poruszać wszystkie sprężyny
wyjść z siebie	wychodzić z siebie
wyjść ze skóry	wychodzić ze skóry
wyleźć ze skóry	wyłazić ze skóry
sypnąć się	sypać się
rozsypać się	rozsypywać się
popsuć się	psuć się
stanąć na głowie	stawać na głowie
stanąć na rzęsach	stawać na rzęsach
stanąć na uszach	stawać na uszach
dołożyć starań	dokładać starań
podjąć starania	podejmować starania
rozłożyć się	rozkładać się
zbutwieć	butwieć
sfermentować	fermentować
zgnić	gnić
spróchnieć	próchnieć
popsuć się	psuć się
zepsuć się	psuć się
zunifikować	unifikować
zunifikować	unifikować
zdezorganizować się	dezorganizować się
sypnąć się	sypać się
zsynchronizować	synchronizować
rozerwać się	rozrywać się
rozedrzeć się	rozdzierać się
zminiaturyzować	miniaturyzować
przywrzeć	przywierać
przywrzeć	przywierać
przylepić się	przylepiać się
przyrosnąć	przyrastać
przyrosnąć	przyrastać
przyrosnąć	przyrastać
przymarznąć	przymarzać
odmarznąć	odmarzać
przywiązać się	przywiązywać się
upowszechnić się	upowszechniać się
zdenominować	denominować
doliczyć	doliczać
odliczyć	odliczać
doliczać	doliczyć
zdublować	dublować
zdublować	dublować
zdublować	dublować
zdublować	dublować
zapisać	zapisywać
zanotować	notować
skapitalizować	kapitalizować
podwoić	podwajać
zdwoić	zdwajać
zwielokrotnić	zwielokrotniać
uwielokrotnić	uwielokrotniać
potroić	potrajać
ustokrotnić	ustokrotniać
nadpłacić	nadpłacać
naliczyć	naliczać
skapitalizować	kapitalizować
odliczyć	odliczać
odmierzyć	odmierzać
odliczyć	odliczać
wymienić	wymieniać
opodatkować	opodatkowywać
oprocentować	oprocentowywać
spłacić	spłacać
odrobić	odrabiać
odpracować	odpracowywać
poręczyć	poręczać
poręczyć	poręczać
potrącić	potrącać
odtrącić	odtrącać
przepłacić	przepłacać
przepłacić	przepłacać
przysądzić	przysądzać
zrefinansować	refinansować
przewartościować	przewartościowywać
zrewaluować	rewaluować
zbałamucić	bałamucić
przystawić się	przystawiać się
dowalić się	dowalać się
dostawić się	dostawiać się
podwalić się	podwalać się
przywalić się	przywalać się
uwieść	uwodzić
odbić	odbijać
skusić	kusić
zalecić się	zalecać się
poderwać	podrywać
uderzyć do panny	uderzać do panny
uderzyć do dziewczyny	uderzać do dziewczyny
uderzyć w konkury	uderzać w konkury
zarwać	zarywać
wystartować	startować
umizgnąć się	umizgiwać się
umizgnąć się	umizgać się
zalecić się	zalecać się
naciągnąć	naciągać
naparzyć się	naparzać się
zaparzyć się	zaparzać się
skonwertować	konwertować
skonwertować	konwertować
uiścić	uiszczać
umorzyć	umarzać
zwaloryzować	waloryzować
wpłacić	wpłacać
odwzajemnić się	odwzajemniać się
odwzajemnić	odwzajemniać
odpłacić	odpłacać
odpłacić się	odpłacać się
wyegzekwować	egzekwować
wyegzekwować	egzekwować
zaktywizować	aktywizować
uaktywnić	uaktywniać
ożywić	ożywiać
wzmóc	wzmagać
zdezaktywizować	dezaktywizować
zdestabilizować	destabilizować
ustabilizować	stabilizować
znormalizować	normalizować
udoskonalić	udoskonalać
wyćwiczyć	ćwiczyć
ugładzić	ugładzać
wygładzić	wygładzać
wyszlifować	wyszlifowywać
wytrenować	trenować
wygimnastykować	gimnastykować
zsubordynować	subordynować
ruszyć	ruszać
ruszyć	ruszać
ruszyć	ruszać
ruszyć	ruszać
ruszyć	ruszać
ruszyć	ruszać
poruszyć	poruszać
podjąć	podejmować
naruszyć	naruszać
napocząć	napoczynać
zgodzić się	zgadzać się
posprzeczać się	sprzeczać się
zaakceptować	akceptować
zaakceptować	akceptować
wziąć w cugle	brać w cugle
wziąć w karby	brać w karby
wziąć w ryzy	brać w ryzy
poskromić	poskramiać
okiełznać	okiełznywać
okiełzać	okiełzywać
uzależnić	uzależniać
okręcić wokół palca	okręcać wokół palca
wejść na głowę	wchodzić na głowę
wsiąść na głowę	wsiadać na głowę
wleźć na głowę	włazić na głowę
wejść na kark	wchodzić na kark
wsiąść na kark	wsiadać na kark
wleźć na kark	włazić na kark
wejść na łeb	włazić na łeb
wsiąść na łeb	wsiadać na łeb
wleźć na łeb	włazić na łeb
wziąć pod pantofel	brać pod pantofel
wciągnąć	wciągać
wpisać	wpisywać
zaksięgować	księgować
wtrącić się	wtrącać się
wścibić się	wścibiać się
wściubić się	wściubiać się
wpieprzyć się	wpieprzać się
wpierdolić się	wpierdalać się
zakumulować	akumulować
skumulować	kumulować
wsadzić nos	wsadzać nos
wetknąć nos	wtykać nos
wścibić nos	wścibiać nos
wepchnąć nos	wpychać nos
wsadzić nos w nie swoje sprawy	wsadzać nos w nie swoje sprawy
wetknąć nos w nie swoje sprawy	wtykać nos w nie swoje sprawy
wścibić nos w nie swoje sprawy	wścibiać nos w nie swoje sprawy
wepchnąć nos w nie swoje sprawy	wpychać nos w nie swoje sprawy
zdematerializować	dematerializować
zdematerializować	dematerializować
wsadzić nos w cudze sprawy	wsadzać nos w cudze sprawy
wetknąć nos w cudze sprawy	wtykać nos w cudze sprawy
wścibić nos w cudze sprawy	wścibiać nos w cudze sprawy
wepchnąć nos w cudze sprawy	wpychać nos w cudze sprawy
zmaterializować	materializować
urzeczywistnić	urzeczywistniać
zryczałtować	ryczałtować
przysposobić	przysposabiać
przygarnąć	przygarniać
zaopiekować się	opiekować się
narzucić się	narzucać się
nastręczyć się	nastręczać się
przeciwstawić się	przeciwstawiać się
stanąć dęba	stawać dęba
stanąć okoniem	stawać okoniem
stanąć sztorcem	stawać sztorcem
stawić czoła	stawiać czoła
stawić czoło	stawiać czoło
stawić opór	stawiać opór
wywyższyć	wywyższać
wynieść	wynosić
rozkochać	rozkochiwać
pokochać	kochać
rozmiłować	rozmiłowywać
ubłagać	ubłagiwać
wybłagać	wybłagiwać
ubłagać	ubłagiwać
przebłagać	przebłagiwać
rozminować	rozminowywać
odchwaścić	odchwaszczać
opleć	opielać
wypielić	wypielać
odsłonić	odsłaniać
wydeptać	wydeptywać
odwieść	odwodzić
odciągnąć	odciągać
odwieść	odwodzić
odwieść	odwodzić
odciągnąć	odciągać
przetrzymać	przetrzymywać
przetrzymać	przetrzymywać
przetrzymać	przetrzymywać
wykorzenić	wykorzeniać
wykorzenić	wykorzeniać
wyżalić się	wyżalać się
poślubić	poślubiać
zaślubić	zaślubiać
pobrać się	pobierać się
wstąpić w związek małżeński	wstępować w związek małżeński
wziąć ślub	brać ślub
chajtnąć się	chajtać się
zniweczyć	niweczyć
unicestwić	unicestwiać
wyjść za mąż	wychodzić za mąż
pójść za mąż	iść za mąż
wydać się za mąż	wydawać się za mąż
zbojkotować	bojkotować
