trzmiel	trzmiele i trzmielce|trzmiele
oceannik maoryski	oceanniki
oceannik białogardły	oceanniki
burzyk	burzykowate|petrelowate
żarłacz szary|rekin szary	mustelowate
młot|rekin młot|głowomłot pospolity|ryba młot	młotowate
krzywoząb podsadnikowy	krzywoszyjowate
tęposz	krzywoszyjowate
krzywoszyj	krzywoszyjowate
mokradłosz	krzywoszyjowate
moczarnik	krzywoszyjowate
amfiuma dwupalczasta	amfiumy
amfiuma trójpalczasta	amfiumy
żebrowiec algierski	salamandrowate
jaskinnica zmienna	bezpłucnikowate|salamandry bezpłucne
jaskinnica żółta	bezpłucnikowate|salamandry bezpłucne
drabik	drabikowate
krzewik	krzewikowate
lori kukang	lorisowate|lorisy|małpiatki lori
lori mały	lorisowate|lorisy|małpiatki lori
lori kalabarski	lorisowate|lorisy|małpiatki lori
galago senegalski|galago karłowaty	galagowate|galago
galago gruboogonowy|galago olbrzymi	galagowate|galago
jaskinnica sardyńska	bezpłucnikowate|salamandry bezpłucne
jaskinnica cesarska	bezpłucnikowate|salamandry bezpłucne
galago Allena	galagowate|galago
galago Demidoffa	galagowate|galago
jaskinnica francuska	bezpłucnikowate|salamandry bezpłucne
jaskinnica cętkowana	bezpłucnikowate|salamandry bezpłucne
ropuszka korsykańska	ropuszkowate|krągłojęzyczne
głowomłot tropikalny	młotowate
łopatogłów	młotowate
głowomłot olbrzymi	młotowate
rekinek leniwy	rekinkowate
nurzec peruwiański	nurce
nurzec magellański	nurce
nurzec mały	nurce
nurzec czarnoskrzydły	nurce
rekinek plamisty|rekinek panterka	rekinkowate
rekinek brunatny	rekinkowate
piłogon	rekinkowate
rekinek natalski	rekinkowate
płaszczka gwiaździsta|płaszczka promienista|raja promienista	rajowate|płaszczkowate|płaszczki właściwe
raja arktyczna|raja polarna	rajowate|płaszczkowate|płaszczki właściwe
błotniszek wełnisty	błotniszkowate
źródliskowiec	błotniszkowate
sajmiri|sajmiri wiewiórcza	płaksowate
chwytnica lemurowata	chwytnice
zdrojek	zdrojkowate
moczara|żaglik	zdrojkowate
płaszczka naga|raja gładka	rajowate|płaszczkowate|płaszczki właściwe
raja ostronosa	rajowate|płaszczkowate|płaszczki właściwe
raja czarnobrzucha	rajowate|płaszczkowate|płaszczki właściwe
raja piaskowa	rajowate|płaszczkowate|płaszczki właściwe
raja kosmata	rajowate|płaszczkowate|płaszczki właściwe
tujnik maleńki	tujowcowate
jodłówka pospolita	tujowcowate
tujowiec	tujowcowate
miko czarny	pazurkowcowate|pazurkowce
raja dwuplama	rajowate|płaszczkowate|płaszczki właściwe
raja maltańska	rajowate|płaszczkowate|płaszczki właściwe
raja kanadyjska	rajowate|płaszczkowate|płaszczki właściwe
raja zimowa amerykańska	rajowate|płaszczkowate|płaszczki właściwe
raja gwiaździsta	rajowate|płaszczkowate|płaszczki właściwe
raja białoplama	rajowate|płaszczkowate|płaszczki właściwe
raja nabijana|raja ciernista|płaszczka nabijana	rajowate|płaszczkowate|płaszczki właściwe
ropucha amerykańska	ropuchowate|ropuchy właściwe
ropucha Fowlera	ropuchowate|ropuchy właściwe
ropucha dębowa	ropuchowate|ropuchy właściwe
ropucha karłowata	ropuchowate|ropuchy właściwe
ropucha kubańska	ropuchowate|ropuchy właściwe
ropucha nadrzewna	ropuchowate|ropuchy właściwe
ropucha nosata	ropuchy nosate
ropucha panterowata	ropuchowate|ropuchy właściwe
ropucha Rokoko	ropuchowate|ropuchy właściwe
ropucha strumieniowa	ropuchy strumieniowe
raja maderska	rajowate|płaszczkowate|płaszczki właściwe
raja drobnooka	rajowate|płaszczkowate|płaszczki właściwe
raja motyl	rajowate|płaszczkowate|płaszczki właściwe
raja nakrapiana	rajowate|płaszczkowate|płaszczki właściwe
raja plamista	rajowate|płaszczkowate|płaszczki właściwe
raja długonosa	rajowate|płaszczkowate|płaszczki właściwe
raja bruzdowana	rajowate|płaszczkowate|płaszczki właściwe
raja listnik|listnik	rajowate|płaszczkowate|płaszczki właściwe
raja głębinowa	rajowate|płaszczkowate|płaszczki właściwe
raja siwa	rajowate|płaszczkowate|płaszczki właściwe
muriki szary	czepiaki
wełniak szary|małpa wełnista	czepiaki
ropucha wodna	ropuchowate|ropuchy właściwe
ropucha żyworodna	ropuchowate|ropuchy właściwe
ropucha żyworodna gwinejska	ropuchowate|ropuchy właściwe
ropucha żyworodna Torniera	ropuchowate|ropuchy właściwe
salamandra srebrzysta	bezpłucnikowate|salamandry bezpłucne
salamandra teksaska	bezpłucnikowate|salamandry bezpłucne
salamandra z Osoi	bezpłucnikowate|salamandry bezpłucne
salamandra źródlana	bezpłucnikowate|salamandry bezpłucne
straszak kapsztadzki	straszakowate|straszaki
żaba bagienna zachodnia	świstkowate|żaby południowe
żaba bagienna tasmańska	świstkowate|żaby południowe
żaba Darwina	świstkowate|żaby południowe
żaba latająca japońska	nogolotkowate|żaby latające
żaba latająca kostnogłowa	nogolotkowate|żaby latające
hulman szary	gerezy
pagi|nosacz mentawajski	gerezy
gereza oliwkowa	gerezy
gereza ruda	gerezy
rokselana	gerezy
langur nilgiri	gerezy
duk|duk wspaniały|langur wspaniały|langur książęcy	gerezy
żaba marmurkowana|prosiak	prosiakowate
żaba ogoniasta	liopelmowate
żaba oranżeryjna	świstkowate|żaby południowe
żaba owcza	wąskopyskowate|żaby wąskopyskie
żaba południowobrazylijska	świstkowate|żaby południowe
żaba południowa karłowata	świstkowate|żaby południowe
ponocnica mirikina	ponocnice
żaba szczekająca	świstkowate|żaby południowe
saki szatanka|szatanka|czuprynek szataniec	saki|małpeczki
żaba seszelska	seszelkowate|żaby seszelskie
saki białolica	saki|małpeczki
saki szara|czuprynek	saki|małpeczki
uakari szkarłatny|uakari biały|uakari łysy	saki|małpeczki
żaba świstun	świstkowate|żaby południowe
żabka karolińska	wąskopyskowate|żaby wąskopyskie
uakari czarnogłowy	saki|małpeczki
titi czerwony	saki|małpeczki
kolczatka australijska	kolczatkowate
prakolczatka	kolczatkowate
ssak jajorodny	ssaki jajorodne|prassaki
kowari	niełazowate|workowce drapieżne
mulgara	niełazowate|workowce drapieżne
myszowór|tafa|mysz workowata|tuan	niełazowate|workowce drapieżne
gruboogonik australijski|dunnart gruboogonowy	niełazowate|workowce drapieżne
ryjowniczka karłowata|płaskogłówka malutka	niełazowate|workowce drapieżne
mrówkożer workowaty	mrówkożerowate|mrówkożery
wilk workowaty|tygrys tasmański|wilk tasmański|fałszywy tygrys|tygrys|Tassie|Tazzy	wilki workowate
zbójnik	zbójnikowate
drakon|strzałosmok	drakonowate
żurawiec	płonnikowate
płonniczek słoikowy	płonnikowate
złotowłos strojny	płonnikowate
beztorbik bambusowy	beztorbikowate
widłaczek	widłakowate
wielkouch króliczy|wielkouch	jamrajokształtne|jamraje
wielkouch mniejszy	jamrajokształtne|jamraje
jamraj zwyczajny	jamrajowate|borsuki workowate
jamraj złoty	jamrajowate|borsuki workowate
krótkonos brązowy|jamraj brunatny	jamrajowate|borsuki workowate
jamraj pręgowany	jamrajowate|borsuki workowate
żaba latająca malajska	nogolotkowate|żaby latające
kret workowaty	krety workowate
bezlist	bezlistowate
jeżolist zwyczajny	białozębowate
żółw wężoszyi|chelodyna australijska|żółw długoszyjny|wężogłówka australijska	żółwie wężoszyjne|żółwie wężoszyje|matamatowate
chelodyna rotiańska	żółwie wężoszyjne|żółwie wężoszyje|matamatowate
wężogłówka nowogwinejska	żółwie wężoszyjne|żółwie wężoszyje|matamatowate
matamata	żółwie wężoszyjne|żółwie wężoszyje|matamatowate
żółw Irwina	żółwie wężoszyjne|żółwie wężoszyje|matamatowate
hydromeduza argentyńska|wężogłówka argentyńska	żółwie wężoszyjne|żółwie wężoszyje|matamatowate
elseya zębata	żółwie wężoszyjne|żółwie wężoszyje|matamatowate
wklęsłopancerzówka czerwonogłowa|żółw czerwonogłowy|platynogłówka	żółwie wężoszyjne|żółwie wężoszyje|matamatowate
pelomeduza afrykańska|żółw hełmiasty|żółw hełmogłowy	pelomeduzowate
arrau	pelomeduzowate
karetta	żółwie morskie
żółw zielony|żółw jadalny	żółwie morskie
żółw szylkretowy	żółwie morskie
żółw zatokowy|żółw oliwkowy Kempa	żółwie morskie
żółw oliwkowy	żółwie morskie
żółw natator|żółw australijski	żółwie morskie
żółw skórzasty	żółwie skórzaste
żółw jaszczurowaty|żółw kajmanowy|skorpucha jaszczurowata	skorpuchowate
drzewnica górska|pałaneczka mała|karłowaty opos górski	drzewnicowate|oposy karłowate
pałaneczka gruboogonowa	drzewnicowate|oposy karłowate
pałanka bobuk	pałankowate|oposy australijskie
kuskus szary	pałankowate|oposy australijskie
wolatucha	pseudopałankowate
pseudopałanka naskalna	pseudopałankowate
pałanka wędrowna	pseudopałankowate
pseudopałanka zielona	pseudopałankowate
lotopałanka karłowata|lotopałanka krótkogłowa|workolot karłowaty	lotopałankowate
lotopałanka	lotopałankowate
ostronóg|ostronos workowaty|pałanka miodojad	ostronogowate|ostronogi
żółw sępi	skorpuchowate
akrobatka karliczka	akrobatki
żółw dwupazurzasty|żółw miękkoskóry|żółw nowogwinejski|miękkoskórek dwupazurzasty	miękkoskórkowate|żółwie dwupazurzaste|żółwie miękkoskóre
kangurzak rudawy	kanguroszczurowate
kanguroszczur	kanguroszczurowate
żółw spłaszczony|spłaszczek tabaskański	spłaszczkowate|żółwie spłaszczone
poturu|kanguroszczur właściwy	kanguroszczurowate
torebnik piżmowy	kanguroszczurowate
piżmik brzytwogrzbiety	mułowcowate|żółwie piżmowe|żółwie mułowe
żółw wonny	mułowcowate|żółwie piżmowe|żółwie mułowe
żółw ostropyski|krzyżopierś trójstępkowy	krzyżopiersiowate
mułowiec pensylwański	mułowcowate|żółwie piżmowe|żółwie mułowe
żółw białopyski	mułowcowate|żółwie piżmowe|żółwie mułowe
piżmik trójstępkowy	mułowcowate|żółwie piżmowe|żółwie mułowe
żółw wielkogłowy|wielkogłów potokowy	żółwie wielkogłowe|wielkogłowowate
żółw błotny	żółwie błotne|żółwie słodkowodne
żółw cętkowany|żółw kropkowany	żółwie błotne|żółwie słodkowodne
żółw leśny	żółwie błotne|żółwie słodkowodne
żółw torfowiskowy	żółwie błotne|żółwie słodkowodne
terapena	terapeny
żółw malowany	żółwie błotne|żółwie słodkowodne
mapnik Cagle'a	żółwie błotne|żółwie słodkowodne
mapnik piłogrzbiety	żółwie błotne|żółwie słodkowodne
żółw ostrogrzbiety	żółwie błotne|żółwie słodkowodne
żółw diamentowy|terapena diamentowa	żółwie błotne|żółwie słodkowodne
żółw żółtobrzuchy	żółwie błotne|żółwie słodkowodne
żółw czerwonobrzuchy	żółwie błotne|żółwie słodkowodne
żółw florydyjski	żółwie błotne|żółwie słodkowodne
żółw ozdobny	żółwie błotne|żółwie słodkowodne
śluzica brunatna	śluzicowate
śluzica atlantycka|śluzica	śluzicowate
helikoprion	edestydy
megalodon	lamnokształtne
kanguroszczur stepowy|kanguroszczur pustynny	kanguroszczurowate
drzewiak|kangur drzewny	drzewiaki|kangury drzewne
gładysz paprociowaty|gładyszek tępolistny	miecherowate
miechera	miecherowate
panderichtys	mięśniopłetwe
osadniczek	osadniczkowate
eustenopteron|eusthenopteron	mięśniopłetwe
lew workowaty	dwuprzodozębowce
ogonopiór uszasty	ogonopiórowate
nadrzewnik gładkoogoniasty	tupajowate|wiewiórecznikowate
anatana indyjska	tupajowate|wiewiórecznikowate
tupaja pospolita|wiewiórecznik pospolity|wiewiórecznik	tupajowate|wiewiórecznikowate
warzęcha mała	ibisowate
warzęcha czerwonolica	ibisowate
warzęcha królewska	ibisowate
warzęcha żółtodzioba	ibisowate
warzęcha różowa	ibisowate
tygryska papuaska	czaplowate
tygryska białoczuba	czaplowate
tygryska rdzawoszyja	czaplowate
tygryska ciemna	czaplowate
tygryska nagobroda	czaplowate
rakojad	czaplowate
bącznik	czaplowate
batagur baska|batagur słodkowodny	batagurowate|batagury
agatis|soplica|damara	araukariowate|igławowate
kalagur malajski	batagurowate|batagury
żółw chiński	batagurowate|batagury
żółw świątynny	batagurowate|batagury
kaczuga indyjska|pangszura indyjska	batagurowate|batagury
żółw pawiooki|morenia pawiooka	batagurowate|batagury
żółw sundajski|pudełecznik sundajski	batagurowate|batagury
ślepowron atlantycki	czaplowate
pudełecznik trójpasy	batagurowate|batagury
ślepowron maurytyjski	czaplowate
ślepowron wielkogłowy	czaplowate
ślepowron rdzawy	czaplowate
żółw białobrewy|żółw zębobrzegi	batagurowate|batagury
ślepowron żółtoczelny	czaplowate
wollemia|wolemia	araukariowate|igławowate
wodnica ruwenzorska	tenrekowate|kretojeże
wodnica kameruńska	tenrekowate|kretojeże
tenrek pręgowany	tenrekowate|kretojeże
tenrek zwyczajny|kretojeż bezogonowy|tenrek	tenrekowate|kretojeże
złotokret	złotokrety
złotokret olbrzymi	złotokrety
żółw ciernisty|żółw kolczasty	batagurowate|batagury
żółw kaspijski	batagurowate|batagury
orlicja|żółw malajski olbrzymi	batagurowate|batagury
żabuti czarny|żółw leśny	żółwie lądowe
ryjoskoczek	ryjoskoczki|ryjoskoczkowate
żabuti leśny|żółw brazylijski	żółwie lądowe
ryjoskoczek rudawy	ryjoskoczki|ryjoskoczkowate
ryjoskoczek krótkouchy	ryjoskoczki|ryjoskoczkowate
glyptodon	gliptodonty
wężówka	wężówki
leniwiec trójpalczasty	leniwcowate|leniwce trójpalczaste
złotokret hotentocki	złotokrety
leniwiec grzywiasty|leniwiec brazylijski	leniwcowate|leniwce trójpalczaste
leniwiec pstry|leniwiec brunatny	leniwcowate|leniwce trójpalczaste
głuptak przylądkowy	głuptaki|głuptakowate
głuptak australijski	głuptaki|głuptakowate
głuptak czarnoskrzydły	głuptaki|głuptakowate
głuptak niebieskonogi|gap niebieskonogi	głuptaki|głuptakowate
głuptak peruwiański	głuptaki|głuptakowate
głuptak maskowy	głuptaki|głuptakowate
kokietnik	zastrzalinowate|podokarpowate
obłuszyn	zastrzalinowate|podokarpowate
zastrzalin|podokarp	zastrzalinowate|podokarpowate
nierozwidnia	zastrzalinowate|podokarpowate
głowocis	głowocisowate
torreja|czwórczak	cisowate
głuptak galapagoski	głuptaki|głuptakowate
głuptak czerwononogi	głuptaki|głuptakowate
głuptak białobrzuchy	głuptaki|głuptakowate
kaługa	bieługi
nibyłopatonos amudaryjski	nibyłopatonosy|pseudołopatonosy
stroigła|kuningamia	cyprysowate
żółw gwiaździsty	żółwie lądowe
zauropodomorf	zauropodomorfy
dinozaur gadziomiedniczny	dinozaury gadziomiedniczne|gadziomiedniczne
żółw olbrzymi	żółwie lądowe
żółw słoniowy	żółwie lądowe
żółw lamparci|żółw plamisty	żółwie lądowe
leniwiec dwupalczasty|unau	leniwce dwupalczaste
cetiozaur	cetiozaury
żółw birmański	żółwie lądowe
leniwiec krótkoszyi|leniwiec Hoffmana	leniwce dwupalczaste
żółw promienisty	żółwie lądowe
żółw pustynny	żółwie lądowe
mrówkojad wielki|mrówkojad trójpalczasty	mrówkojady
tamandua meksykańska	mrówkojady
wiosłonos amerykański|wieloząb|wiosłonos	wiosłonosowate|łyżkowce|jesiotry wiosłonose
góralek drzewny	góralki
góralek przylądkowy|góralek abisyński	góralki
krowa morska	diugoniowate|diugonie
niszczuka	niszczukowate
amia|mękławka|miękławka	amiowate|miękławkowate
elops	elopsowate|oszczerowate
żółw madagaskarski	żółwie lądowe
żółw norowy	żółwie lądowe
żółw żółtogłowy|żółw złotogłowy	żółwie lądowe
albula	albulowate
żółw Torniera|żółw szczelinowy	żółwie lądowe
manat afrykański	manatowate|manaty|lamantyny|brzegowce
żółw geometryczny	żółwie lądowe
żółw brunatny	żółwie lądowe
żółw ząbkowany	żółwie lądowe
żółw namiotowy	żółwie lądowe
żółw pajączkowy	żółwie lądowe
żółw śródziemnomorski|żółw mauretański|żółw iberyjski	żółwie lądowe
manat rzeczny	manatowate|manaty|lamantyny|brzegowce
dziergacz białobrewy	wróble
dziergacz wąsaty	wróble
dziergacz łuskowany	wróble
dziergacz kasztanowaty	wróble
belotka	belotkowate
dławigad	bocianowate
kleszczak azjatycki	bocianowate
echidna ogniwowa	murenowate|mureny
kleszczak afrykański	bocianowate
żabiru czerwononogi	bocianowate
żabiru afrykański|bocian siodlasty	bocianowate
żabiru amerykański|żabiru argentyński	bocianowate
gromadnik siwogłowy	wróble
gromadnik czarnogłowy	wróble
bezpłetwiec|gęś skąpopłetwa	bezpłetwce
tkacz	wróble
skrzydłoszpon czarnoszyi|skrzydłoszpon	skrzydłoszpony
drzewica białolica	drzewice
drzewica czarnobrzucha	drzewice
drzewica plamista	drzewice
drzewica karaibska	drzewice
drzewica dwubarwna	drzewice
drzewica australijska	drzewice
drzewica wędrowna	drzewice
drzewica indyjska	drzewice
pokraczka	drzewice
skrzydłoszpon rogaty|skrzydłoszpon	skrzydłoszpony
węgorz	węgorzowate
pekari Wagnera	pekari
pekari obrożny	pekari
pekari białobrody	pekari
szpagietka bahamska	szpagietkowate
kanczyl afrykański	kanczylowate|kanczyle
kanczyl indyjski	kanczylowate|kanczyle
kanczyl malajski	kanczylowate|kanczyle
sarna syberyjska|sarna azjatycka	jeleniowate|pełnorożce
taruka	jeleniowate|pełnorożce
huemal	jeleniowate|pełnorożce
pstrokaczka	pstrokaczki
śnieżka tybetańska	wróble
śnieżka czarnoskrzydła	wróble
wróbel	wróble
skrzydłoszpon obrożny|skrzydłoszpon	skrzydłoszpony
sterniczka maskowa	sterniczki
sterniczka jamajska	sterniczki
sterniczka peruwiańska	sterniczki
pasożytka	sterniczki
sterniczka argentyńska	sterniczki
sterniczka australijska	sterniczki
sterniczka afrykańska	sterniczki
sterniczka zwyczajna|sterniczka|sterniczka białogłowa	sterniczki
połykacz	gardzielcokształtne
ryba kostnoszkieletowa|ryba kostna	ryby kostnoszkieletowe|kostnoszkieletowe|ryby kostne
murena	murenowate|mureny
iglak	iglaste|szpilkowe
jesiotr	jesiotry
mulak	jeleniowate|pełnorożce
pudu ekwadorski|pudu północny|pudu szatanek	jeleniowate|pełnorożce
gęsiec	piżmówki
kamieniuszka	tracze
kaczka labradorska	tracze
lodówka	tracze
birginiak|kaczka srokata	tracze
uhla pstrodzioba|uhla amerykańska	tracze
uhla garbonosa	tracze
markaczka|markaczka zwyczajna	tracze
markaczka amerykańska	tracze
cyraneczka płowa	kaczki właściwe
gągołek	tracze
sierpiec	tracze
cynamończyk	cynamończyki
gąszczak rdzawy|krzakówka rdzawa	gąszczaki|krzakówki
gąszczak krzykliwy|krzakówka krzykliwa	gąszczaki|krzakówki
gardzielec	gardzielcokształtne
okapi	żyrafowate
zębatek	altanniki
miauczek białouchy	altanniki
miauczek zielony	altanniki
miauczek czarnouchy	altanniki
budnik	altanniki
parkietnik|altannik Archbolda	altanniki
cudokaczka	piżmówki
magelanka zmienna	kazarki
jedwabnica	altanniki
magelanka skalna	kazarki
korołaz białogardły	korołazy
korołaz papuaski	korołazy
korołaz rudobrewy	korołazy
korołaz białobrewy	korołazy
korołaz rdzawy	korołazy
korołaz brunatny	korołazy
korołaz ciemny	korołazy
modroplamek	chwostki
modrochwostka szerokodzioba	chwostki
modrochwostka rdzawogrzbieta	chwostki
chwostka rudoskrzydła	chwostki
chwostka jasnowąsa	chwostki
chwostka szafirowa	chwostki
chwostka wspaniała	chwostki
chwostka modra	chwostki
aloza niebieska|aloza małooka	śledziowate
ryba ławicowa	ryby ławicowe
parposz|aloza parposz	śledziowate
czarnogrzbietka	śledziowate
aloza chikora	śledziowate
nilgau	bydło
murarka	miesierkowate|miesiarkowate
pszczolinka	pszczolinki
gryziel	gryziele
aloza tęczowa|aloza wielkooka	śledziowate
aloza amerykańska|złotośledź|szed|szad|aloza wielka	śledziowate
menhaden brazylijski	śledziowate
menhaden argentyński	śledziowate
takin	kozłowate
koziorożec	kozłowate
kołosz	krzyżakowate
koza	kozłowate
krzyżaczek	krzyżakowate
guzoń pajęczarz	naśladownikowate
kornutka	pszczoły właściwe|pszczoły rojne
czyhak sześciooki	czyhakowate
rozsnuwacz	rozsnuwaczowate
ślizgun	ślizgunowate
cofnik	ukośnikowate
bokochód	ukośnikowate
kwietnik	ukośnikowate
serau kędzierzawy|serau japoński	kozłowate
serau białogrzywy	kozłowate
tar himalajski	kozłowate
porobnica	porobnice|porobnicowate
goral długoogoniasty|goral długoogonowy|goral chiński	kozłowate
goral|goral zwyczajny	kozłowate
świnia	świniowate
miesierka|miesiarka	miesierkowate|miesiarkowate
wałczatka	miesierkowate|miesiarkowate
ssak nieparzystokopytny	nieparzystokopytne
spójnica	spójnice
obrostka	obrostki
magelanka siwogłowa	kazarki
magelanka rudogłowa	kazarki
etiopka	kazarki
gęsiówka maurytyjska	kazarki
ohar|podgorzelec|kaczka norowa	kazarki
chwostka modrogłowa	chwostki
chwostka świetna	chwostki
chwostka koroniasta	chwostki
chwostka żałobna	chwostki
chwostka czerwonogrzbieta	chwostki
chwostka białoskrzydła	chwostki
magelanka andyjska	kazarki
piżmówka amerykańska|kaczka piżmowa	piżmówki
grzywienka	piżmówki
miodówka	miodojady
żarłacz	żarłaczowate
mustel	mustelowate
raszpla	raszplowate|skwatowate|aniołowate
ogończa	ogończowate|ogończe
orleń	orleniowate
miodopoik czarnobrody	miodojady
miodopoik wielodzioby	miodojady
miodopoik brązowogłowy	miodojady
miodopoik białogardły	miodojady
miodopoik czerwonobrewy	miodojady
miodopoik białobrewy	miodojady
miodopoik czarnogłowy	miodojady
czarnomiodzik	miodojady
płowogłowik	miodojady
miodczyk	miodojady
paskowik ołowiowy	miodojady
paskowik żółtawy	miodojady
paskowik rdzawoboczny	miodojady
paskowik rudogrzbiety	miodojady
paskowik górski	miodojady
paskowik szarogłowy	miodojady
zadrzechnia	zadrzechnie
etmaloza	śledziowate
lepiarka	lepiarkowate
samotka	lepiarkowate
taszczyn	grzebaczowate
nasosznik	nasosznikowate
wardzanka	grzebaczowate
sardynela	sardynele
poskocz	poskoczowate
prząstnik	koliściakowate
tkaniec	tkańcowate
osnuwik	osnuwikowate
plądrownik osobliwy	osnuwikowate
osnuwek okazały	osnuwikowate
nasnuwnik	osnuwikowate
sieciarz jaskiniowy	kwadratnikowate
czaik jesienny	kwadratnikowate
wymyk	pogońcowate
karolinka	piżmówki
malajka|piżmówka malajska	piżmówki
dziwonos szaroboczny|dziwonos	piżmówki
krzywonos	kaczki właściwe
marmurka|kaczka jarzębata	kaczki właściwe
różanka	grążyce|kaczki nurkujące
hełmiatka|hełmiatka zwyczajna|kaczka hełmiasta	grążyce|kaczki nurkujące
hełmiatka różowodzioba	grążyce|kaczki nurkujące
hełmiatka czerwonooka	grążyce|kaczki nurkujące
głowienka długodzioba	grążyce|kaczki nurkujące
głowienka preriowa	grążyce|kaczki nurkujące
dorab	dorabowate|wilcze śledzie
krąbiel|dusumia	śledziokształtne
owca	kozłowate
półowca	kozłowate
wigorczyk lucernowiec	smuklikowate
smuklik	smuklikowate właściwe
ścieska	miesierkowate|miesiarkowate
ogrotek	miesierkowate|miesiarkowate
szmeronia	miesierkowate|miesiarkowate
smółka	miesierkowate|miesiarkowate
nożycówka	miesierkowate|miesiarkowate
makatka	miesierkowate|miesiarkowate
wytrzeszczka	grzebaczowate
złotolitka	złotolitki
wałęsak	pogońcowate
krzeczek naziemnik	pogońcowate
krzeczek polny	pogońcowate
podgorzałka madagaskarska	grążyce|kaczki nurkujące
miodopijek długodzioby	miodojady
miodopijek rdzawoszyi	miodojady
bagnik nadwodny|kłębosz nadwodny	darownikowate
bagnik przybrzeżny|kłębosz białobrzegi	darownikowate
podgorzałka zielonogłowa	grążyce|kaczki nurkujące
srokatnik	miodojady
darownik przedziwny	darownikowate
ogorzałka nowozelandzka	grążyce|kaczki nurkujące
kędziornik	miodojady
czerniczka|czernica obrożna|czerniczka amerykańska	grążyce|kaczki nurkujące
ogorzałka mała	grążyce|kaczki nurkujące
szmaragdowiec zwyczajny	miodojady
nowogwinejka	kaczki właściwe
zbrojówka	zbrojówki
filemonek jednobarwny	miodojady
filemonek marmurkowy	miodojady
filemonek siwogłowy	miodojady
miodojadek łuskogłowy	miodojady
miodojadek oliwkowy	miodojady
miodojadek żółtouchy	miodojady
miodojadek brązowy	miodojady
miodojadek szarouchy	miodojady
miodojadek srebrnouchy	miodojady
wielopłetwiec	wielopłetwce|miastugi
miodojadek łuskowany	miodojady
miodojadek szarogardły	miodojady
miodojadek górski	miodojady
miodojadek złotouchy	miodojady
miodojadek białogardły	miodojady
podgorzałka australijska	grążyce|kaczki nurkujące
kaczka czubata	kaczki właściwe
kaczka białogardła	kaczki właściwe
czuprynka	kaczki właściwe
świstun chilijski	kaczki właściwe
świstun amerykański	kaczki właściwe
moręgówka	kaczki właściwe
brązówka	kaczki właściwe
krzyżówka florydzka	kaczki właściwe
gmachówka	mrówkowate
miodaczek złotoskrzydły	miodojady
miodaczek białouchy|miodaczek paskobrzuchy	miodojady
miodaczek białolicy	miodojady
śpiesznik rysień	śpiesznikowate
kątnik	lejkowcowate
kątnik rdzawy	lejkowcowate
lejkowiec labiryntowy	lejkowcowate
kobiernik	osnuwikowate
plądrak czarny	osnuwikowate
mangora	krzyżakowate
rośliniowiec	krzyżakowate
liścianek sektornik	krzyżakowate
wilkosz	pogońcowate
aulonia sieciarka	pogońcowate
korsarz piratnik	pogońcowate
trawnikowiec pospolity|trawnikowiec	trawnikowcowate
kwadratnik trzcinowy	kwadratnikowate
kwadratnik długonogi	kwadratnikowate
krzyżówka hawajska	kaczki właściwe
krzyżówka białooka	kaczki właściwe
kaczka filipińska	kaczki właściwe
kaczka pacyficzna	kaczki właściwe
kaczka pstrodzioba	kaczki właściwe
kaczka żółtodzioba	kaczki właściwe
kaczka madagaskarska	kaczki właściwe
cyranka modroskrzydła	kaczki właściwe
cynamonka	kaczki właściwe
płaskonos przylądkowy	kaczki właściwe
płaskonos jasnogłowy	kaczki właściwe
płaskonos czarnolicy	kaczki właściwe
cyraneczka madagaskarska	kaczki właściwe
cyraneczka szara	kaczki właściwe
cyraneczka australijska	kaczki właściwe
cyraneczka kasztanowata	kaczki właściwe
cyraneczka auklandzka	kaczki właściwe
cyraneczka południowa	kaczki właściwe
cyraneczka rdzawa	kaczki właściwe
rożeniec białolicy	kaczki właściwe
srebrzanka czerwonodzioba	kaczki właściwe
cyraneczka żółtodzioba	kaczki właściwe
cyraneczka andyjska	kaczki właściwe
rożeniec żółtodzioby	kaczki właściwe
rożeniec krótkosterny	kaczki właściwe
cyraneczka bajkalska|cyranka syberyjska|kłochtun	kaczki właściwe
srebrzanka andyjska	kaczki właściwe
srebrzanka hotentocka	kaczki właściwe
sępnik różowogłowy|urubu różowogłowy	kondorowate
sępnik pstrogłowy|urubu pstrogłowy	kondorowate
filemon sępiogłowy	miodojady
filemon sędziwy	miodojady
wścieklica marszczysta	wścieklice
filemon białoszyi	miodojady
wścieklica płatkorożna	wścieklice
wścieklica podobna	wścieklice
wścieklica Schencka	wścieklice
wścieklica uszatka|wścieklica szorstka	wścieklice
filemon mały	miodojady
gładyszek	wścieklice
sępnik żółtogłowy|urubu żółtogłowy	kondorowate
sępnik czarny|urubu czarny	kondorowate
koczowniczka	mrówkowate
nadrzewnica	mrówkowate
rybołów australijski	rybołowy|rybołowate
mrówka złodziejka	wścieklice
murawka	wścieklice
nieróbka	wścieklice
otrupka	wścieklice
sierpnica	wścieklice
wysmuklica	wścieklice
wysmuklica Nylandera	wścieklice
złośnica	mrówkowate
żniwiarka	wścieklice
namrówka Ravoux'a	wścieklice
brzeszczotek	brzeszczotkowate|nożowce|brzeszczotowate|śledziówki
gaur|seladang|indyjski bizon	bydło
banteng	bydło
kuprej	bydło
osiec	oścowate
skakun arlekinowy|pląs zebra	skakunowate|skakuny|skaczele
skoczek łąkowy	skakunowate|skakuny|skaczele
